,,,Data Collection 1,,,,,,,,,,Date Collection 2,,,,,,,,,
Intake,Name,Code,Date,Video,Actigraph,Bioharness,Polar,Position,Researcher-Ethogram,Researcher-Name,Trainer-Ethogram,Trainer-Name,Date,Video,Actigraph,Bioharness,Polar,Position,Researcher-Ethogram,Researcher-Name,Trainer-Ethogram,Trainer-Name
1,Diva,04-01-LD,20/05/2019,Done,Done,Done,Missing,Done,Done,Hazel,Done,Susan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Earl,04-02-LE,20/05/2019,Done,Done,Done,Done,Done,Done,"Con, Hazel",Done,"Allyce, Susan",03/07/2019,Done,Done,Done,Done,,Done,Hazel,Done,"Allyce, Susan"
1,Douglas,04-03-LD,20/05/2019,Done,Done,Done,Done,Done,Done,Hazel,Done,Allyce,04/07/2019,Done,Done,Done,Done,,Done,Hazel,Done,Allyce
1,Zodiac,04-04-LZ,20/05/2019,Done,Done,Done,Done,Done,Done,Hazel,Done,Susan,16/07/2019,Done,Done,Missing,Done,,Done,Hazel,Done,Susan
1,Fargo,04-05-LF,23/05/2019,Done,Missing,Done,Done,"Done, but no IMU data",Done,Hazel,Done,Allyce,03/07/2019,Done,Done,Done,Done,,Done,Hazel,Done,Allyce
1,Frida,04-06-LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Elf,04-07-LE,22/05/2019,Done,Done,Done,Done,Done,Done,"Con, Hazel",Done,Allyce,03/07/2019,Done,Done,Done,Done,,Done,Hazel,Done,Allyce
1,Emmy,04-08-LE,18/06/2019,Done,Done,Done,Done,,Done,Con,Done,Susan,12/08/2019,Done,Done,Missing,Done,Done,Done,Con,Done,Susan
2,Dugg,05-01-LD,22/05/2019,Done,Done,Done,Done,Done,Done,"Con, Hazel",Done,Susan,17/07/2019,Done,Done,Missing,Done,Done,Done,Hazel,Done,Susan
2,Flora,05-02-LF,23/05/2019,Done,Missing,Done,Done,"Done, but no IMU data",Done,Con,Done,Allyce,16/07/2019,Done,Done,Missing,Done,,Done,Hazel,Done,Allyce
2,Fawn,05-03-LF,29/05/2019,Done,Done,Done,Done,Done,Done,"Con, Hazel",Done,Susan,17/07/2019,Done,Done,Missing,Done,Done,Done,Hazel,Done,Susan
2,Zeb,05-04-LZ,22/05/2019,Done,Done,Done,Done,Done,Done,"Con, Hazel",Done,Allyce,17/07/2019,Done,Done,Missing,Done,,Done,Hazel,Done,Allyce
2,Eldin,05-05-LE,29/05/2019,Done,Done,Done,Done,Done,Done,Con,Done,Susan,17/07/2019,Done,Done,Missing,Done,,Done,Hazel,Done,Susan
3,Edrick,05-11-LE,13/06/2019,Done,Done,Done,Done,Done,Done,"Con, Hazel",Done,Susan,31/07/2019,Done,Done,Missing,Done,Done,Done,Hazel,Done,Susan
3,Finesse,05-12-LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Esme,05-13-LE,13/06/2019,Done,Done,Done,Done,Done,Done,"Con, Hazel",Done,Susan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ebbi,05-14-LE,13/06/2019,Done,Done,Done,Done,,Done,Con,Done,Allyce,31/07/2019,Done,Done,Missing,Done,Done,Done,Hazel,Done,Allyce
3,Gaston,05-15-LG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Hugo,05-21-LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Eliza,05-22-LE,18/06/2019,Done,Done,Done,Done,,Done,Con,Done,Susan,12/08/2019,Done,Done,Missing,Done,Done,Done,Con,Done,Susan
5,Goober,07-01-LG,29/07/2019,Done,Done,Missing,Done,Done,Done,Hazel,Done,Susan,17/09/2019,Done,Done,Done,Done,,Done,Hazel,Done,Susan
5,Herbie,07-02-LH,29/07/2019,Done,Done,Missing,Done,Done,Done,Con,Done,Allyce,17/09/2019,Done,Done,Done,Done,,Done,Con,Done,Allyce
5,Evie,07-03-LE,29/07/2019,Done,Done,Missing,Done,Done,Done,Con,Done,Allyce,17/09/2019,Done,Done,Done,Done,,Done,Con,Done,Allyce
5,Zac,07-04-LZ,29/07/2019,Done,Done,Missing,Done,Done,Done,Con,Done,Allyce,18/09/2019,Done,Done,Done,Done,,Done,Con,Done,Allyce
6,Ziggy,07-11-LZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Gav,07-12-LG,21/08/2019,Done,Missing,Done,Done,,Done,Con,Done,Allyce,14/10/2019,Done,Done,Done,Done,,Done,Con,Done,Allyce
6,Effie,07-13-LE,21/08/2019,Done,Missing,Done,Done,,Done,Hazel,Done,Susan,10/10/2019,Done,Done,Done,Done,,Done,Hazel,Done,Susan
