Timestamp,Dog code,Data Collection Number,Data Collection Date,Assessor,Video Start Time (HH:MM:SS),Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Familiarisation-Comments,Call Back-Start Time (MM:SS) ,Call Back-Response,Call Back-Comments,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Walking-Comments,Standing-Start Time (MM:SS) ,Standing-Response,Standing-Comments,Sitting-Start Time (MM:SS) ,Sitting-Response,Sitting-Comments,Lying-Start Time (MM:SS) ,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Lying-Comments,Body check-Start Time (MM:SS),Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Body Check-Comments,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Tea Towel-Comments,Distractions-Start Time (MM:SS),Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Distractions-Finish Time (MM:SS) ,Distractions-Comments,Kong-Presentation-Start Time (MM:SS) ,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Interaction-Finish Time (MM:SS),Kong-Return-Handler,Kong-Comments,Dog-Start Time (MM:SS),Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Dog-Comments,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Crate-Finish Time (MM:SS),Crate-Comments,Petting-Start Time (MM:SS),Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Finish Time (MM:SS),Petting-Responsiveness-After,Petting-Comments,Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Isolation-Comments,Reunion-Response,Reunion-Comments,Noise-Start Time (MM:SS),Noise-Time (MM:SS),Noise-Confidence,Noise-Walk Finish Time (MM:SS),Noise-Comments,Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Lip Smacking
4/15/2020 9:56:11,04-01-LD,1,2019-05-25,Allyce,,,2 - Rarely,4 - Constantly,1 - Never,,,1 - on the first command,,,2 - Somewhat distracted,2 - rare,"2 - lead tense, weight evenly distributed over all 4 paws",1 - Dog walks out ahead the handler,,,3 - Good (2 attempts),,,2 - Not great (3-4 attempts),Started well but got bored quickly and wanted to move off. Second attempt she lay down immediately where we left her for the duration as it was time for her to do the next section. Officially 3 attempts though as she wasn't asked to lay down. ,,4 - Excellent (1 attempt),3 - reasonably settled,,Wasnt asked to lie down so didnt respond to command but stayed in the down position when asked to stay and didnt break it. ,,4 - Willing,4 - Willing,No,No,,"Although her tail was slightly lowered, she was otherwise fine and didn't stir. She jumped up as soon as she clicked that I was asking it of her and she stood still. She wagged her tail at the end so I feel she was happy with me checking her. ",,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,"Second response - tried to drop fore-body posture to remove tea-towel (as this was successful in the first response). She didnt realise that it had fallen off and then tried to remove it with her mouth, albeit that it had already fallen off - then realised that it was off and returned to normal state. ",,6,3,4,5,5,3,3,3,2 - rare (1-2),,2 - is indifferent,,"I have marked Diva as indifferent because this would probably be the closest option available to her response. Though Diva wasnt completely indifferent - she didnt show any apprehension or fear, nor did she even approach let alone show high activity. She merely noticed, wagged her tail and moved on without pause. ",,4 - Very interested,"Diva was well behaved during this exercise with only one hind-quarter shuffle. But from her fixation on the kong, and un-diverted attention (apart from one gaze away) she was clearly very interested in it. ",,None,3 - Interacts with kong continuously,1 - Stays close to assessor,1 - Not bothered to let it go,,,When she retrieved the kong she merely pushed it around with her nose. ,,"5 - Very Interested, moves towards dog immediately",1 - on the first command,,"While Diva showed interest on initially seeing the dog, she quickly lost interest and decided to rather investigate her surroundings thereafter. ",,"4 - won't go in, almost forced/did not go",1 - Never,3 - Occasionally,4 - Constantly,1 - Never,,,4 - Constantly,3 - Occasionally,"5 - Moderately stressed, poor self-modulation",,No,,Diva spent most of the time showing stress toward the crate - she began whining almost immediately (and I am sure that this would be her whines rather than the other dog as per the timing of it) and constantly pacing and even barking at times. She lay down at the very end when she gave up sniffing but she was definitely not settled. ,,1 - slightly playful,2 - Sometimes,"3 - slightly excited, tail wagging",,2 - explorative,,,3 - Occasionally,2 - Rarely,2 - Rarely,3 - Occasionally,1 - Never,No,,,4 - activated approach,"I would say she was quite activated and enthused by my reunion even if she didn't stay by my side. Her demeanor changed from distress to happiness and a wagging tail. However, she did tend to pace a little and then come back again. ",,,"4 - investigating, remain calm;",,,,,,,,,,,,,
4/15/2020 11:38:49,04-02-LE,1,2019-05-20,Allyce,,,4 - Constantly,1 - Never,4 - Constantly,Wouldn't leave the side of the handler,,1 - on the first command,"Didn't leave so calling back wasn't really necessary. However, tail began wagging and was a lot happier to be back on lead rather than let off on his own - demeanor improved",,2 - Somewhat distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",3 - Dog walks behind the handler,"Dog very obsessed with handler, when he comes over his initial sniffing and excitement at the environment, he locks attention is drawn to handler support. Even at one time trying to mouth at handlers hand and get attention and play. I would say this is probably a coping mechanism at being unsure over his environment",,3 - Good (2 attempts),"Standing Response:
First response he stepped off the platform - handler corrected the position. Thereafter a good and uninterrupted response. ",,4 - Excellent (1 attempt),Did sitting response first - when handler brought him onto the platform he immediately assume seated position so the assessors allowed him to first show this response. The sit was not asked so the response was not necessarily as was requested but Earl did keep his position and not move for the duration of the sit,,3 - Good (2 attempts),"4 - very settled,almost asleep",,Handler did struggle to get the dog into the down position but once in the position the response was excellent. I have scored good as per the difficulty in trying to get the dog into the position initially. The response thereafter was excellent. ,,1 - Refuse,3 - Cooperative,No,No,,"Early refused to get onto the table, not even wanted to put his fore-paws up and even after food lure and after handler climbs onto table herself in order to encourage.

Immediate change in posture - tail and ears lowered, back posture heightened and turned head toward handler and away from assessor holding him ",,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,,He seemed indifferent but from his body language he was more shutting down with the tea towel rather than being indifferent and hence I have stated indifferent and also change from neutral. Tail stopped wagging and becomes quite inhibited,,1,2,4,1,3,2,2,3,1 - not observed (0),,2 - is indifferent,,,,2 - Somewhat interested,"Kept seated, didnt shuffle, looks away for a time, and though he seems fixated I think he is more waiting on handler to make next move rather than having and very high interest over the kong",,Left,3 - Interacts with kong continuously,1 - Stays close to assessor,1 - Not bothered to let it go,,,Difficult to denote lateralisation with surety. However from the left tilt as he lay down and his head facing toward his left I would say he favoured his left paw ,,"0 - Cautious, seeks handler support",0 - does not leave trainer's side/comes back without being called,,A cautious reaction to the dog rather than that of perhaps concern. He doesnt leave the handlers side but I wouldnt say this is due to disinterest. He kept his eyes fixed on the dog passing by and looked over to handler twice for reassurance. ,,1 - without any encouragement,2 - Rarely,3 - Occasionally,1 - Never,1 - Never,,,1 - Never,1 - Never,"2 - Mildly stressed, good self-modulation",,Yes,,Handler mentions that urination is from stress although from the sniffing around the blanket I wouldn't want to rule out that this was perhaps not stress related,,2 - moderately playful,1 - Never,"3 - slightly excited, tail wagging",,1 - indifferent,,,3 - Occasionally,3 - Occasionally,3 - Occasionally,1 - Never,1 - Never,No,,Spent half the time at the gate and the other half exploring and sniffing,4 - activated approach,Considering Earls quite withdrawn natural demeanour I would call his response activated for him personally even though not necessarily for another dog. I also considered that when they went walking he was so excited to have her back that he made a small vocal wince at being back with her and even mouthed at her hand. ,,,"3 - minor reaction, but recovers",,,,,,,,,,,,,
4/15/2020 13:22:55,04-02-LE,2,2019-07-03,Allyce,,,4 - Constantly,3 - Occasionally,3 - Occasionally,Early does begin to sniff and explore a little midway through this process however he still doesn't veer far off from the handler,,2 - on the second or more,,,2 - Somewhat distracted,1 - not observed,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks beside /at the heels of the handler,"Definitely more confidence and comfort shown as he is a little more attuned to his environment. However, he is still very fixated on his handler and even tries to mouth her hand a few times for attention. ",,4 - Excellent (1 attempts),,,2 - Not great (3-4 attempts),"When he finally sat he maintained his position, but it took a number of attempts to get him into that seated position to begin with. ",,1 - Poor (5+ attempts),"4 - very settled,almost asleep",,"It took several attempts to get him to go into a down position. He initially moved from seated to standing rather than down, and then moved off the platform. The handler eventually attempts it off the platform and needs a few more goes. When Earl does adopt the down position he maintains it but I wonder if he would if handler were to stand up rather than remain crouched. He did seem settled though in his posture with hand quarters tilted to the side",,3 - Cooperative,3 - Cooperative,No,No,,3 attempts with food lure to get onto the table but jumped up otherwise unassisted. Assumed seated position for the first half of the body check but stood when asked for the second half. Seemed quite head shy and wasnt too fond of having his muzzle eyes and ears checked but seemed fine with the other checks. ,,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,,While I have remarked indifferent this is only because he makes no movements or attempts to get the towel off. His demeanor however subtle though is not neutral as his activity gets inhibited - ie his tail stops wagging. ,,1,2,3,3,3,2,3,3,1 - not observed (0),,2 - is indifferent,,,,2 - Mostly interested,More interested I would say this time than last. Did break the sit once but otherwise quite behaved and turned head away twice,,Left,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",,,After Marinara had confirmed this time that Earl was using his left paw I feel confident that me seeing him using his left paw in the first video is confirmed. ,,"1 - Not interest in other dog, does not move",0 - does not leave trainer's side/comes back without being called,,,,1 - without any encouragement,1 - Never,3 - Occasionally,1 - Never,1 - Never,,,1 - Never,1 - Never,"2 - Mildly stressed, good self-modulation",,No,,No urinating but doesnt seem to be a blanket in the crate this time,,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",,1 - indifferent,,,4 - Constantly,1 - Never,1 - Never,1 - Never,1 - Never,No,,,4 - activated approach,Definitely happier to be with handler. ,,,"4 - investigating, remain calm;",,Slight look over as source but didnt react much at all or really investigate too much. Would have chosen a  more indifferent reaction to this if it were more available. ,,,,,,,,,,,
4/15/2020 14:39:14,04-02-LE,1,2019-05-20,Susan Turtle,,1.24,4 - Constantly,2 - Rarely,4 - Constantly,Dog went in had a sniff and a shake then never moved from beside handler,,NA,Dog didn't move from beside handler,1.4,1 - Hardly distracted,2 - rare,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks beside /at the heels of the handler,Dg stressed during walking can here him panting and will look to hold the lead,3.33,3 - Good (2 attempts),Only put 2 down as first time he stood with front feet off the platform and handler reproached the platform again.,2.48,4 - Excellent (1 attempt),Panting constantly during sitting,4.16,3 - Good (2 attempts),2 - slightly unsettled,5.16,"Stayed down, continue to pant.",5.57,NA,3 - Cooperative,NA,NA,6.45,Dog not fully relaxed during check,6.55,No,Yes,Yes,Yes,Yes,NA,No,No,Yes,No,No,No,7.18,Dog was panting and standing in front of the handler.,7.46,1,3,4,1,4,3,3,4,3 - sometimes (3-5),,3 - looks for the handler or is hesitant toward the person,8.22,"answered 3 as he was friendly, tail wagging but did not interact with human",8.44,4 - Very interested,stayed sitting,9.07,NA,3 - Interacts with kong continuously,1 - Stays close to assessor,1 - Not bothered to let it go,9.2,,followed handler while handler put kong out of sight,9.51,"3 - Mildly interested in other dog, does not move",0 - does not leave trainer's side/comes back without being called,10.15,,10.3,1 - without any encouragement,NA,4 - Constantly,1 - Never,1 - Never,,,1 - Never,1 - Never,"2 - Mildly stressed, good self-modulation",,Yes,12.08,"urinated in crate after scenting, unsure if it is stress, or if he needed to go as he hadn't gone to prior to test or health",12.1,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",12.46,1 - indifferent,enjoyed the interaction calmly initially but then lost interest,12.52,2 - Rarely,3 - Occasionally,2 - Rarely,1 - Never,1 - Never,NA,14.22,,3 - calm approach,calm and pleasant approach to see handler,15.03,,"4 - investigating, remain calm;",,initially midly reacts to noise but investigates when approaches the bucket,0,3,0,0,0,0,0,0,0,2,
4/15/2020 20:06:25,04-01-LD,1,2019-05-20,Susan Turtle,,1.1,2 - Rarely,4 - Constantly,1 - Never,Seemed relaxed and very interested in the crate by scenting,1.56,1 - on the first command,,2.04,1 - Hardly distracted,2 - rare,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks beside /at the heels of the handler,Handler walks in first circle and turns around and walks back in a circle ,3.11,3 - Good (2 attempts),,3.58,3 - Good (2 attempts),when she went into the down the handler left her as advised by Marinara,4.42,4 - Excellent (1 attempt),3 - reasonably settled,5.23,,5.36,2 - Hesitant,3 - Cooperative,No,No,6.1,,6.31,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,6.52,Dog plays with dot during first response and dog goes to roll on second response,7.37,5,3,4,5,4,3,3,3,3 - sometimes (3-5),,4 - approaches the person,6.28,,8.48,2 - Mostly interested,"settled. reminded once to sit, looked away twice",9.16,None,3 - Interacts with kong continuously,2 - Moves away from assessor,1 - Not bothered to let it go,9.28,,Dog only moves slightly away from handler as licking the kong and it's moving. Follow handler after they remove the kong,9.52,"5 - Very Interested, moves towards dog immediately",NA,10.15,looses interest in dog and explores the environment and comes back towards the handler,11.01,"4 - won't go in, almost forced/did not go",1 - Never,2 - Rarely,4 - Constantly,2 - Rarely,,,4 - Constantly,4 - Constantly,"6 - Extremely stressed, does not settle",,No,11.5,,11.56,1 - slightly playful,1 - Never,2 - indifferent;,12.24,2 - explorative,"dog comes to the handler for petting, moves away scenting, comes back for petting and moves away again.",12.31,3 - Occasionally,3 - Occasionally,3 - Occasionally,3 - Occasionally,1 - Never,No,13.44,,2 - explorative,,14.2,,"4 - investigating, remain calm;",,,0,3,0,7,3,0,0,0,0,1,
4/15/2020 20:58:36,04-02-LE,2,2019-07-03,Susan Turtle,,0.17,4 - Constantly,2 - Rarely,4 - Constantly,Dog stayed with the handler and moved around the handler towards the end,1.22,2 - on the second or more,came back calmly,1.28,1 - Hardly distracted,2 - rare,"1 - lead relaxed, dog not straining against the lead",2 - Dog walks beside /at the heels of the handler,occasionally tries to bite the lead,2.47,4 - Excellent (1 attempts),can hear him panting,4.1,2 - Not great (3-4 attempts),"took a while to respond to the sit, but once he did he didn't move",5.34,2 - Not great (3-4 attempts),3 - reasonably settled,6.29,"dog did it off platform, handler stayed crouched down beside the dog but not giving it attention",6.45,2 - Hesitant,3 - Cooperative,NA,NA,7.2,dog not keen on looking in his mouth and moved head away.,7.42,NA,Yes,No,No,No,No,NA,No,Yes,No,No,No,8.17,,8.48,1,2,3,3,3,2,3,3,3 - sometimes (3-5),,3 - looks for the handler or is hesitant toward the person,9.24,,9.47,2 - Mostly interested,"moved once, looked away once",10.42,Left,3 - Interacts with kong continuously,1 - Stays close to assessor,"2 - Upset, but let it go",11.21,,followed handler ,11.42,"2 - Not interested in other dog, explores environment",0 - does not leave trainer's side/comes back without being called,12.21,"sniff ground around handler, but goes back to standing beside the handler",12.35,1 - without any encouragement,2 - Rarely,3 - Occasionally,1 - Never,1 - Never,,,1 - Never,1 - Never,"3 - Mildly stressed, poor self-modulation",,No,13.48,,13.52,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",14.13,2 - explorative,dog was calm but moved away sniffing the ground,14.24,4 - Constantly,1 - Never,1 - Never,1 - Never,1 - Never,No,16.02,possibly one small whine,3 - calm approach,,16.37,,"3 - minor reaction, but recovers",,,0,1,0,1,0,0,0,0,0,0,
4/16/2020 14:53:11,04-03-LD,1,2019-05-20,Allyce,,,2 - Rarely,3 - Occasionally,2 - Rarely,Explored about 70% of the time and only came to his handler once where he waited for interaction,,1 - on the first command,,,2 - Somewhat distracted (3-4),1 - not observed,"1 - no tension, lead relaxed","3 - Dogs walk occasionally behind the handler, needs encouragement","Douglas walks at heel most of the time, but sometimes falls back and needs encouragement. Falling back associated mostly with his environmental distraction.",,2 - Not great (3-4 attempts),the final attempt was accepted by assessor and handler to begin with sitting section of the test. But was not requested of him before it was done and so I have put it as a failed attempt,,4 - Excellent (1 attempt),A little unsettled but maintained the sit anyways with handler intervention,,3 - Good (2 attempts),1 - very unsettled,,"Broke the down command at the end and was not asked to and hence I have counted it as a broken attempt even though the assessor and trainer decided to move on afterward. He was antsy during this exercise, shifting weight and posture hinting at a possible break as well as wagging tail showing his excitement and hinting at lack of being truly settled. ",,3 - Cooperative,3 - Cooperative,No,No,,"Was lured onto the table and needing hoisting to get on properly, although he was willing for his fore-paws to be up, I think this was more related to the lure placed on the table. He stood relatively still until the end but with his diminished neutrality I would said it was more co-operation than it was willingness",,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,The first attempt was very short-lived. I think he investigated the towel when it was off (both attempts) more than attempted to play with it. First attempt immediate reversal in order to get the towel off. Both attempts = successful removal of the towel,,4,3,3,6,1,3,2,6,3 - sometimes (3-5),4 - strong tension,5 - approaches the person,,"Food was noticed in the first attempt before anything else. Intervention needed to get focus on first object and then again after moving away from the food where he exhibited his distraction for the third and fourth time. He doesnt notice the stuffed toy and then turns to the food for a fifth time after seeing the ""human"" again. After car passes he is immediately pulling toward the food again with a high tension on the lead. All 5 pulling attempts toward the food stimulus.",,"5 - Overly interested, dog jumps at handler","tail waging, lifts hind quarters and mouths and then at the end jumps up at handler. ",,Both,"3 - Interacts with kong continuously, but calm",1 - Stays close to handler,"3 - Very upset, but let it go",,4 - Intensely follows the handler,Was on lead so needed to follow handler but I believe would have done so irrespective as he was jumping up at the handler for the kong,,"5 - Very Interested, moves towards dog immediately",1 - on the first command,,Moved toward the dog immediately but then lost interest quickly and began to explore,,1 - without any encouragement,2 - Rarely,1 - Never,3 - Occasionally,2 - Rarely,,,3 - Occasionally,1 - Never,"5 - Moderately stressed, poor self-modulation",,No,,,,1 - slightly playful,2 - Sometimes,"4 - very excited, moving around;",,2 - calmly interacts with the handler,,,3 - Occasionally,2 - Rarely,2 - Rarely,2 - Rarely,1 - Never,No,,,3 - calm approach,,,,"5 - investigating, remain calm",,,,,,,,,,,,,
4/16/2020 15:27:01,04-03-LD,2,2019-07-04,Allyce,,,2 - Rarely,4 - Constantly,1 - Never,Change to original handler. ,,1 - on the first command,,,1 - Hardly distracted (1-2),1 - not observed,"1 - no tension, lead relaxed","3 - Dogs walk occasionally behind the handler, needs encouragement",Almost not distracted all,,4 - Excellent (1 attempts),,,3 - Good (2 attempts),Only sat on second request - difficult to know whether this was due to uncertainty over what was being asked though as he sat immediately on the second request. Not broken once thereafter. ,,1 - Poor (5+ attempts),1 - very unsettled,,"Difficult to lie down on first request as he was too forwardly placed on the platform. However, he saw the rest of the requests as a game, and was very distracted by the environment. ",,2 - Hesitant,2 - Reluctant,No,No,,Very hesitant to climb onto the table and finally got on with assistance. I think if he wasnt being held during the examination he would have jumped off.,,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,3,3,4,6,2,3,3,5,4 - frequent (6-8),4 - strong tension,5 - approaches the person,,Obsessed with food from the first turn again and only has intentions of getting food throughout the entirety of this exercise and has high tension because of it. ,,"5 - Overly interested, dog jumps at handler",High level of excitement. Jumps up immediately and then once by breaking his sit. His tail is constantly wagging and he is showing anxiety over wanting the toy including lip smacking and shifting weight. ,,Both,"3 - Interacts with kong continuously, but calm",3 - Takes kong and moves away from handler,"5 - Very upset, does not let it go and tries to get it back",,4 - Intensely follows the handler,,,"5 - Very Interested, moves towards dog immediately",1 - on the first command,,,,1 - without any encouragement,2 - Rarely,1 - Never,1 - Never,1 - Never,,,1 - Never,1 - Never,"2 - Mildly stressed, good self-modulation",,No,,,,1 - slightly playful,2 - Sometimes,"3 - slightly excited, tail wagging",,1 - indifferent,Lost interest after a while,,3 - Occasionally,1 - Never,2 - Rarely,1 - Never,1 - Never,No,,He seemed to move away at a time but I dont think was explorative as much as it was a pacing movement in anticipation of the handlers return,3 - calm approach,,,,"3 - minor reaction, but recovers",,Slight startle but investigated and recovered very quickly,,,,,,,,,,,
4/16/2020 17:01:18,04-03-LD,1,2019-05-20,SusanTurtle,,,2 - Rarely,4 - Constantly,2 - Rarely,"nice and relaxed, strolling around",,1 - on the first command,very good,,1 - Hardly distracted (1-2),1 - not observed,"1 - no tension, lead relaxed",2 - Dog walks beside /at heel with the handler,dog relaxed,,2 - Not great (3-4 attempts),dog went to move and instead of standing it was suggested to sit ,,4 - Excellent (1 attempt),only turned once to look at the elastic strap,,4 - Excellent (1 attempt),2 - slightly unsettled,,handler gave a lot of support by coming over and petting him,,3 - Cooperative,3 - Cooperative,No,No,,tail stopped wagging once handler started exam,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,"first try was on lead, second try off lead",,3,4,4,5,1,3,3,5,3 - sometimes (3-5),3 - moderate tension,"6 - is very friendly, licks the person’s hands and wags its tail",,dog very much focused on the dog food bowl,,"5 - Overly interested, dog jumps at handler",generally sitting but towards the end he jumps up to get the kong,,Left,"3 - Interacts with kong continuously, but calm",1 - Stays close to handler,"2 - Upset, but let it go",,4 - Intensely follows the handler,jumps towards handler when handler has the kong towards the end of holding it. Also jump for the kong when the kong is being put back,,"5 - Very Interested, moves towards dog immediately",0 - does not leave trainer's side/comes back without being called,,,,2 - needs some encouragement,2 - Rarely,2 - Rarely,3 - Occasionally,1 - Never,,,3 - Occasionally,1 - Never,"3 - Mildly stressed, poor self-modulation",,No,,,,1 - slightly playful,1 - Never,"4 - very excited, moving around;",,2 - calmly interacts with the handler,,,3 - Occasionally,2 - Rarely,2 - Rarely,2 - Rarely,1 - Never,No,,,3 - calm approach,,,,"5 - investigating, remain calm",,looks but investigates,,,,,,,,,,,
4/16/2020 17:50:21,04-03-LD,2,2019-07-04,Susan Turtle,,,2 - Rarely,4 - Constantly,1 - Never,dog relaxed and scenting,,1 - on the first command,dog not far from handler,,1 - Hardly distracted (1-2),1 - not observed,"1 - no tension, lead relaxed",2 - Dog walks beside /at heel with the handler,,,4 - Excellent (1 attempts),used food reward,,NA,,,1 - Poor (5+ attempts),2 - slightly unsettled,,"handler was using food, another person entered the pod basement",,2 - Hesitant,3 - Cooperative,No,No,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,slight improvement the 2nd time,,1,3,4,5,1,3,4,5,4 - frequent (6-8),4 - strong tension,"4 - positively looks at person, does not engage with them",,food orinated,2,4 - Very interested,"jumped to grab kong prior to being asked to sit, broke sit once",,Left,"4 - Interacts with kong continuously, but intensely",3 - Takes kong and moves away from handler,"4 - Very upset, does not let it go",,4 - Intensely follows the handler,initially stayed near the handler and then moved away to the matt after awhile. jumped up to grab the kong as the kong was being returned.,,"4 - Moderately interested in other  dog, moves towards dog after sometime",1 - on the first command,,came back towards the handler and moved back to wards the dog prior to recall,,2 - needs some encouragement,2 - Rarely,1 - Never,2 - Rarely,1 - Never,,,1 - Never,1 - Never,"2 - Mildly stressed, good self-modulation",,No,,,,1 - slightly playful,1 - Never,"3 - slightly excited, tail wagging",,2 - calmly interacts with the handler,,,3 - Occasionally,2 - Rarely,2 - Rarely,1 - Never,1 - Never,No,,"mildly stressed, panting",3 - calm approach,,,,"3 - minor reaction, but recovers",,"mild reaction, looks but doesn't move away",,,,,,,,,,,
