Code,DOA,Name,PR Sup,DOB,Sex,Source,Status,End Date,Breed,Coat Colour,Litter,Age at Start,Duration
04-01-LD,2019-04-24,Diva,Catherine,2018-02-11,F,IGDB,GD,2019-12-13,LRx,,D,437,233
04-02-LE,2019-04-24,Earl,Catherine,2018-03-12,M,IGDB,AD,2019-11-29,LRx,,E,408,219
04-03-LD,2019-04-24,Douglas,Rose,2018-02-11,M,IGDB,W,2019-08-06,LRx,,D,437,104
04-04-LZ,2019-04-24,Zodiac,Rose,2018-04-06,M,Private breeder,GD,2019-10-25,LR,,Z,383,184
04-05-LF,2019-04-24,Fargo,Graham,2018-03-16,M,IGDB,GD,2019-11-25,LRx,,F,404,215
04-06-LF,2019-04-24,Frida,Graham,2018-03-16,F,IGDB,W,2019-08-02,LRx,,F,404,100
04-07-LE,2019-04-24,Elf,Frances,2018-03-12,M,IGDB,GD,2019-11-25,LRx,,E,408,215
04-08-LE,2019-04-24,Emmy,Graham,2018-03-12,F,IGDB,W,2019-08-19,LRx,,E,408,117
05-01-LD,2019-05-01,Dugg,Graham,2018-02-11,M,Home bred,AD,2019-10-25,LRxGR,,D,444,177
05-02-LF,2019-05-01,Flora,Graham,2018-03-16,F,Home bred,GD,2019-12-20,LRxGR,,F,411,233
05-03-LF,2019-05-01,Fawn,Catherine,2018-03-16,F,Home bred,GD,2019-11-25,LR,,F,411,208
05-04-LZ,2019-05-01,Zeb,Catherine,2018-04-06,M,Private breeder,W,2019-08-06,LR,,Z,390,97
05-05-LE,2019-05-01,Eldin,Rose,2018-03-12,M,Home bred,GD,2019-12-13,LRx,,E,415,226
05-11-LE,2019-05-15,Edrick,Rose,2018-03-12,M,IGDB,GD,2020-07-09,LRx,,E,429,421
05-12-LF,2019-05-15,Finesse,Rose,2018-03-16,F,IGDB,W,2019-07-03,LR,,F,425,49
05-13-LE,2019-05-15,Esme,Graham,2018-03-12,F,IGDB,GD,2019-12-13,LRx,,E,429,212
05-14-LE,2019-05-15,Ebbi,Graham,2018-03-12,F,IGDB,AD,2019-10-25,LRx,,E,429,163
05-15-LG,2019-05-15,Gaston,Graham,2018-04-15,M,IGDB,GD,2020-02-03,LRx,,G,395,264
05-21-LH,2019-05-30,Hugo,Frances,2018-05-11,M,IGDB,W,2019-07-05,LRxGR,,H,384,36
05-22-LE,2019-05-28,Eliza,Catherine,2018-03-12,F,IGDB,W,2019-11-12,LRx,,E,442,168
07-01-LG,2019-07-02,Goober,Graham,2018-04-15,M,IGDB,GD,2020-02-03,LRxGR,,G,443,216
07-02-LH,2019-07-02,Herbie,Graham,2018-05-11,M,IGDB,GD,,LRxGR,,H,417,0
07-03-LE,2019-07-02,Evie,Rose,2018-03-12,F,IGDB,GD,2020-02-02,LRxGR,,E,477,215
07-04-LZ,2019-07-02,Zac,Rose,2018-04-06,M,Private breeder,W,2019-10-25,LR,,Z,452,115
07-11-LZ,2019-07-29,Ziggy,Rose,2018-04-06,M,Private breeder,W,2019-08-13,LR,,Z,479,15
07-12-LG,2019-06-16,Gav,Rose,2018-04-15,M,Home bred,AD,2020-01-28,LRxGR,,G,427,226
07-13-LE,2019-07-30,Effie,Graham,2018-03-12,F,IGDB,GD,2020-02-03,LRxGR,,E,505,188
07-14-LG,2019-07-21,Gretel,Catherine,2018-04-15,F,IGDB,AD,2019-11-29,LRxGR,,G,462,131
07-15-LG,2019-07-29,Gilli,Frances,2018-04-15,F,IGDB,W,2019-10-01,LRxGR,,G,470,64
08-01-LH,2019-08-21,Harry,Rose,2018-05-11,M,IGDB,AD,2019-11-29,LRxGR,,H,467,100
08-02-LH,2019-08-21,Harvey,Rose,2018-05-11,M,IGDB,AD,2020-01-28,LRxGR,,H,467,160
08-03-LH,2019-08-21,Hans,Graham,2018-05-11,M,IGDB,AD,2020-02-12,LRxGR,,H,467,175
08-04-LH,2019-08-21,Harmony,Diana,2018-05-11,F,IGDB,AD,2019-11-29,LRxGR,,H,467,100
08-11-LJ,2019-08-28,Jira,Frances,2018-07-03,F,IGDB,GD,2020-02-03,LR,,J,421,159
08-12-LH,2019-08-28,Hayley,Frances,2018-05-11,F,IGDB,W,2019-12-04,LRxGR,,H,474,98
