Code,DOA,Name,PR Sup,DOB,Sex,Source,DC1,DC2,Status,End Date,Breed,Coat Colour,Litter,Age at Start,Duration,Label
04-01-LD,2019-04-24,Diva,Catherine,2018-02-11,F,IGDB,2019-05-20,,GD,2019-12-13,LRx,,D1,14.357584344647734,7.655187991539868,Success
04-02-LE,2019-04-24,Earl,Catherine,2018-03-12,M,IGDB,2019-05-20,2019-07-03,AD,2019-11-29,LRx,,E1,13.404792706215733,7.195219614365798,Success
04-03-LD,2019-04-24,Douglas,Rose,2018-02-11,M,IGDB,2019-05-20,2019-07-04,W,2019-08-06,LRx,,D1,14.357584344647734,3.4169079447216575,Fail
04-04-LZ,2019-04-24,Zodiac,Rose,2018-04-06,M,Private breeder,2019-05-20,2019-07-16,GD,2019-10-25,LR,,Z1,12.583420604119182,6.045298671430625,Success
04-05-LF,2019-04-24,Fargo,Graham,2018-03-16,M,IGDB,2019-05-23,2019-07-03,GD,2019-11-25,LR,,F1,13.273373169880285,7.06380007803035,Success
04-06-LF,2019-04-24,Frida,Graham,2018-03-16,F,IGDB,,,W,2019-08-02,LR,,F1,13.273373169880285,3.2854884083862093,Fail
04-07-LE,2019-04-24,Elf,Frances,2018-03-12,M,IGDB,2019-05-22,2019-07-03,GD,2019-11-25,LRx,,E1,13.404792706215733,7.06380007803035,Success
04-08-LE,2019-04-24,Emmy,Graham,2018-03-12,F,IGDB,2019-06-18,2019-08-12,W,2019-08-19,LRx,,E1,13.404792706215733,3.8440214378118647,Fail
05-01-LD,2019-05-01,Dugg,Graham,2018-02-11,M,IGDB,2019-05-22,2019-07-17,AD,2019-10-25,LRxGR,,D1,14.58756853323477,5.81531448284359,Success
05-02-LF,2019-05-01,Flora,Graham,2018-03-16,F,IGDB,2019-05-23,2019-07-16,GD,2019-12-20,LR,,F1,13.50335735846732,7.655187991539868,Success
05-03-LF,2019-05-01,Fawn,Catherine,2018-03-16,F,IGDB,2019-05-29,2019-07-17,GD,2019-11-25,LR,,F1,13.50335735846732,6.833815889443315,Success
05-04-LZ,2019-05-01,Zeb,Catherine,2018-04-06,M,Private breeder,2019-05-22,2019-07-17,W,2019-08-06,LR,,Z1,12.813404792706216,3.186923756134623,Fail
05-05-LE,2019-05-01,Eldin,Rose,2018-03-12,M,IGDB,2019-05-29,2019-07-17,GD,2019-12-13,LRx,,E1,13.634776894802767,7.425203802952833,Success
05-11-LE,2019-05-15,Edrick,Rose,2018-03-12,M,IGDB,2019-06-13,2019-07-31,GD,2020-07-09,LRx,,E1,14.094745271976837,13.83190619930594,Success
05-12-LF,2019-05-15,Finesse,Rose,2018-03-16,F,IGDB,,,W,2019-07-03,LR,,F1,13.963325735641389,1.6098893201092426,Fail
05-13-LE,2019-05-15,Esme,Graham,2018-03-12,F,IGDB,2019-06-13,,GD,2019-12-13,LRx,,E1,14.094745271976837,6.965235425778763,Success
