Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Outcome,Working,BT Start,BT Duration,Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Familiarisation-Comments,Call Back-Start Time (MM:SS) ,Call Back-Response,Call Back-Comments,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Walking-Comments,Standing-Start Time (MM:SS) ,Standing-Response,Standing-Comments,Sitting-Start Time (MM:SS) ,Sitting-Response,Sitting-Comments,Lying-Start Time (MM:SS) ,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Lying-Comments,Body check-Start Time (MM:SS),Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Body Check-Comments,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Tea Towel-Comments,Distractions-Start Time (MM:SS),Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Distractions-Finish Time (MM:SS) ,Distractions-Comments,Kong-Presentation-Start Time (MM:SS) ,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Interaction-Finish Time (MM:SS),Kong-Return-Handler,Kong-Comments,Dog-Start Time (MM:SS),Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Dog-Comments,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Crate-Finish Time (MM:SS),Crate-Comments,Petting-Start Time (MM:SS),Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Finish Time (MM:SS),Petting-Responsiveness-After,Petting-Comments,Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Isolation-Comments,Reunion-Response,Reunion-Comments,Noise-Start Time (MM:SS),Noise-Time (MM:SS),Noise-Confidence,Noise-Walk Finish Time (MM:SS),Noise-Comments,Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Lip Smacking,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Obedience_mean,S-Obedience_prod,S-Sensitivity,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarisation-Dog-Call,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Diva,04-01-LD,1,2019-05-20,A,LRx,F,D1,IGDB,2018-02-11,2019-04-24,2019-12-13,233 days,GD,Success,Success,14:46:21,0:14:36,,2.0,4.0,1.0,,,1.0,,,2.0,2.0,2.0,1.0,,,3.0,,,2.0,Started well but got bored quickly and wanted to move off. Second attempt she lay down immediately where we left her for the duration as it was time for her to do the next section. Officially 3 attempts though as she wasn't asked to lay down. ,,4.0,3.0,,Wasnt asked to lie down so didnt respond to command but stayed in the down position when asked to stay and didnt break it. ,,4.0,4.0,No,No,,"Although her tail was slightly lowered, she was otherwise fine and didn't stir. She jumped up as soon as she clicked that I was asking it of her and she stood still. She wagged her tail at the end so I feel she was happy with me checking her. ",,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,"Second response - tried to drop fore-body posture to remove tea-towel (as this was successful in the first response). She didnt realise that it had fallen off and then tried to remove it with her mouth, albeit that it had already fallen off - then realised that it was off and returned to normal state. ",,6,3,4,5,5,3.0,3.0,3.0,2.0,,2.0,,"I have marked Diva as indifferent because this would probably be the closest option available to her response. Though Diva wasnt completely indifferent - she didnt show any apprehension or fear, nor did she even approach let alone show high activity. She merely noticed, wagged her tail and moved on without pause. ",,4.0,"Diva was well behaved during this exercise with only one hind-quarter shuffle. But from her fixation on the kong, and un-diverted attention (apart from one gaze away) she was clearly very interested in it. ",,None,3.0,1.0,1.0,,,When she retrieved the kong she merely pushed it around with her nose. ,,6.0,2.0,,"While Diva showed interest on initially seeing the dog, she quickly lost interest and decided to rather investigate her surroundings thereafter. ",,4.0,1.0,3.0,4.0,1.0,,,4.0,3.0,5.0,,No,,Diva spent most of the time showing stress toward the crate - she began whining almost immediately (and I am sure that this would be her whines rather than the other dog as per the timing of it) and constantly pacing and even barking at times. She lay down at the very end when she gave up sniffing but she was definitely not settled. ,,1.0,2.0,3.0,,3.0,,,3.0,2.0,2.0,3.0,1.0,No,,,5.0,"I would say she was quite activated and enthused by my reunion even if she didn't stay by my side. Her demeanor changed from distress to happiness and a wagging tail. However, she did tend to pace a little and then come back again. ",,,4.0,,,,,,,,,,,,,,1.5,2.0,2.0,4.0,2.0,2.0,0.0,-2.0,3.0,24.0,4.0,2.5,2.5,4.5,360,3.5,135.0,-1.0,2.6666666666666665,12.0,4.0,12.0,1.5,2.0,-1.0,4.333333333333333,80.0,2.0,3.0,3.6666666666666665,48.0,2.0,3.0,2.5,6.0,2.5,6.0,2.3333333333333335,9.0,0.0,3.6666666666666665,45.0
Earl,04-02-LE,1,2019-05-20,A,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,Success,Medical,15:28:25,0:15:18,,4.0,1.0,4.0,Wouldn't leave the side of the handler,,1.0,"Didn't leave so calling back wasn't really necessary. However, tail began wagging and was a lot happier to be back on lead rather than let off on his own - demeanor improved",,2.0,1.0,1.0,3.0,"Dog very obsessed with handler, when he comes over his initial sniffing and excitement at the environment, he locks attention is drawn to handler support. Even at one time trying to mouth at handlers hand and get attention and play. I would say this is probably a coping mechanism at being unsure over his environment",,3.0,"Standing Response:
First response he stepped off the platform - handler corrected the position. Thereafter a good and uninterrupted response. ",,4.0,Did sitting response first - when handler brought him onto the platform he immediately assume seated position so the assessors allowed him to first show this response. The sit was not asked so the response was not necessarily as was requested but Earl did keep his position and not move for the duration of the sit,,3.0,4.0,,Handler did struggle to get the dog into the down position but once in the position the response was excellent. I have scored good as per the difficulty in trying to get the dog into the position initially. The response thereafter was excellent. ,,1.0,3.0,No,No,,"Early refused to get onto the table, not even wanted to put his fore-paws up and even after food lure and after handler climbs onto table herself in order to encourage.

Immediate change in posture - tail and ears lowered, back posture heightened and turned head toward handler and away from assessor holding him ",,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,,He seemed indifferent but from his body language he was more shutting down with the tea towel rather than being indifferent and hence I have stated indifferent and also change from neutral. Tail stopped wagging and becomes quite inhibited,,1,2,4,1,3,2.0,2.0,3.0,1.0,,2.0,,,,2.0,"Kept seated, didnt shuffle, looks away for a time, and though he seems fixated I think he is more waiting on handler to make next move rather than having and very high interest over the kong",,Left,3.0,1.0,1.0,,,Difficult to denote lateralisation with surety. However from the left tilt as he lay down and his head facing toward his left I would say he favoured his left paw ,,1.0,1.0,,A cautious reaction to the dog rather than that of perhaps concern. He doesnt leave the handlers side but I wouldnt say this is due to disinterest. He kept his eyes fixed on the dog passing by and looked over to handler twice for reassurance. ,,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,2.0,,Yes,,Handler mentions that urination is from stress although from the sniffing around the blanket I wouldn't want to rule out that this was perhaps not stress related,,2.0,1.0,3.0,,2.0,,,3.0,3.0,3.0,1.0,1.0,No,,Spent half the time at the gate and the other half exploring and sniffing,5.0,Considering Earls quite withdrawn natural demeanour I would call his response activated for him personally even though not necessarily for another dog. I also considered that when they went walking he was so excited to have her back that he made a small vocal wince at being back with her and even mouthed at her hand. ,,,3.0,,,,,,,,,,,,,,4.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,3.3333333333333335,36.0,2.0,1.0,0.3333333333333333,2.0,8,2.5,36.0,0.5,2.0,6.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,2.0,3.0,1.0,1.0,2.5,6.0,2.0,3.0,1.5,2.0,1.6666666666666667,3.0,0.0,3.3333333333333335,30.0
Earl,04-02-LE,2,2019-07-03,A,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,Success,Medical,14:34:35,0:16:56,,4.0,3.0,3.0,Early does begin to sniff and explore a little midway through this process however he still doesn't veer far off from the handler,,2.0,,,2.0,1.0,1.0,2.0,"Definitely more confidence and comfort shown as he is a little more attuned to his environment. However, he is still very fixated on his handler and even tries to mouth her hand a few times for attention. ",,4.0,,,2.0,"When he finally sat he maintained his position, but it took a number of attempts to get him into that seated position to begin with. ",,1.0,4.0,,"It took several attempts to get him to go into a down position. He initially moved from seated to standing rather than down, and then moved off the platform. The handler eventually attempts it off the platform and needs a few more goes. When Earl does adopt the down position he maintains it but I wonder if he would if handler were to stand up rather than remain crouched. He did seem settled though in his posture with hand quarters tilted to the side",,3.0,3.0,No,No,,3 attempts with food lure to get onto the table but jumped up otherwise unassisted. Assumed seated position for the first half of the body check but stood when asked for the second half. Seemed quite head shy and wasnt too fond of having his muzzle eyes and ears checked but seemed fine with the other checks. ,,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,,While I have remarked indifferent this is only because he makes no movements or attempts to get the towel off. His demeanor however subtle though is not neutral as his activity gets inhibited - ie his tail stops wagging. ,,1,2,3,3,3,2.0,3.0,3.0,1.0,,2.0,,,,2.0,More interested I would say this time than last. Did break the sit once but otherwise quite behaved and turned head away twice,,Left,3.0,1.0,2.0,,,After Marinara had confirmed this time that Earl was using his left paw I feel confident that me seeing him using his left paw in the first video is confirmed. ,,2.0,1.0,,,,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,2.0,,No,,No urinating but doesnt seem to be a blanket in the crate this time,,1.0,1.0,3.0,,2.0,,,4.0,1.0,1.0,1.0,1.0,No,,,5.0,Definitely happier to be with handler. ,,,4.0,,Slight look over as source but didnt react much at all or really investigate too much. Would have chosen a  more indifferent reaction to this if it were more available. ,,,,,,,,,,,,3.5,12.0,1.0,1.0,1.0,1.0,0.0,0.0,2.3333333333333335,8.0,3.0,0.3333333333333333,0.3333333333333333,2.25,18,2.75,54.0,0.5,2.3333333333333335,12.0,1.5,2.0,1.5,2.0,1.0,2.3333333333333335,8.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,1.5,2.0,2.0,4.0,0.0,3.3333333333333335,30.0
Earl,04-02-LE,1,2019-05-20,B,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,Success,Medical,15:28:25,0:15:18,1:24,4.0,2.0,4.0,Dog went in had a sniff and a shake then never moved from beside handler,,,Dog didn't move from beside handler,1:4,1.0,2.0,1.0,2.0,Dg stressed during walking can here him panting and will look to hold the lead,3:33,3.0,Only put 2 down as first time he stood with front feet off the platform and handler reproached the platform again.,2:48,4.0,Panting constantly during sitting,4:16,3.0,2.0,5:16,"Stayed down, continue to pant.",5:57,,3.0,,,6:45,Dog not fully relaxed during check,6:55,No,Yes,Yes,Yes,Yes,,No,No,Yes,No,No,No,7:18,Dog was panting and standing in front of the handler.,7:46,1,3,4,1,4,3.0,3.0,4.0,3.0,,3.0,8:22,"answered 3 as he was friendly, tail wagging but did not interact with human",8:44,4.0,stayed sitting,9:07,,3.0,1.0,1.0,9:2,,followed handler while handler put kong out of sight,9:51,4.0,1.0,10:15,,10:3,1.0,,4.0,1.0,1.0,,,1.0,1.0,2.0,,Yes,12:08,"urinated in crate after scenting, unsure if it is stress, or if he needed to go as he hadn't gone to prior to test or health",12:1,1.0,1.0,3.0,12:46,2.0,enjoyed the interaction calmly initially but then lost interest,12:52,2.0,3.0,2.0,1.0,1.0,,14:22,,4.0,calm and pleasant approach to see handler,15:03,,4.0,,initially midly reacts to noise but investigates when approaches the bucket,0,3,0,0,0,0,0,0,0,2,,4.0,16.0,1.5,2.0,3.0,3.0,1.5,1.0,3.3333333333333335,36.0,3.0,3.0,0.5,2.25,12,3.5,144.0,1.25,2.6666666666666665,12.0,2.5,4.0,1.0,1.0,,1.5,2.0,2.5,4.0,1.0,1.0,2.0,3.0,2.0,3.0,1.5,2.0,1.3333333333333333,2.0,1.0,3.0,24.0
Diva,04-01-LD,1,2019-05-20,B,LRx,F,D1,IGDB,2018-02-11,2019-04-24,2019-12-13,233 days,GD,Success,Success,14:46:21,0:14:36,1:1,2.0,4.0,1.0,Seemed relaxed and very interested in the crate by scenting,1:56,1.0,,2:04,1.0,2.0,1.0,2.0,Handler walks in first circle and turns around and walks back in a circle ,3:11,3.0,,3:58,3.0,when she went into the down the handler left her as advised by Marinara,4:42,4.0,3.0,5:23,,5:36,2.0,3.0,No,No,6:1,,6:31,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,6:52,Dog plays with dot during first response and dog goes to roll on second response,7:37,5,3,4,5,4,3.0,3.0,3.0,3.0,,4.0,6:28,,8:48,2.0,"settled. reminded once to sit, looked away twice",9:16,None,3.0,2.0,1.0,9:28,,Dog only moves slightly away from handler as licking the kong and it's moving. Follow handler after they remove the kong,9:52,6.0,,10:15,looses interest in dog and explores the environment and comes back towards the handler,11:01,4.0,1.0,2.0,4.0,2.0,,,4.0,4.0,6.0,,No,11:5,,11:56,1.0,1.0,2.0,12:24,3.0,"dog comes to the handler for petting, moves away scenting, comes back for petting and moves away again.",12:31,3.0,3.0,3.0,3.0,1.0,No,13:44,,3.0,,14:2,,4.0,,,0,3,0,7,3,0,0,0,0,1,,1.5,2.0,1.5,2.0,3.0,3.0,1.5,1.0,3.3333333333333335,36.0,2.5,2.5,3.5,4.25,300,3.25,108.0,-1.0,2.0,6.0,6.0,6.0,1.0,1.0,,4.666666666666667,96.0,2.0,4.0,4.0,64.0,1.5,2.0,1.5,2.0,2.0,3.0,2.3333333333333335,9.0,0.0,2.6666666666666665,18.0
Earl,04-02-LE,2,2019-07-03,B,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,Success,Medical,14:34:35,0:16:56,0:17,4.0,2.0,4.0,Dog stayed with the handler and moved around the handler towards the end,1:22,2.0,came back calmly,1:28,1.0,2.0,1.0,2.0,occasionally tries to bite the lead,2:47,4.0,can hear him panting,4:1,2.0,"took a while to respond to the sit, but once he did he didn't move",5:34,2.0,3.0,6:29,"dog did it off platform, handler stayed crouched down beside the dog but not giving it attention",6:45,2.0,3.0,,,7:2,dog not keen on looking in his mouth and moved head away.,7:42,,Yes,No,No,No,No,,No,Yes,No,No,No,8:17,,8:48,1,2,3,3,3,2.0,3.0,3.0,3.0,,3.0,9:24,,9:47,2.0,"moved once, looked away once",10:42,Left,3.0,1.0,2.0,11:21,,followed handler ,11:42,3.0,1.0,12:21,"sniff ground around handler, but goes back to standing beside the handler",12:35,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,3.0,,No,13:48,,13:52,1.0,1.0,3.0,14:13,3.0,dog was calm but moved away sniffing the ground,14:24,4.0,1.0,1.0,1.0,1.0,No,16:02,possibly one small whine,4.0,,16:37,,3.0,,,0,1,0,1,0,0,0,0,0,0,,4.0,16.0,1.5,2.0,3.0,3.0,1.5,1.0,2.6666666666666665,16.0,2.5,0.4,0.4,2.25,18,2.75,54.0,0.5,2.3333333333333335,12.0,2.0,3.0,1.5,2.0,1.0,2.3333333333333335,9.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,0.0,3.3333333333333335,36.0
Douglas,04-03-LD,1,2019-05-20,A,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,Fail,Fail,13:36:29,0:15:12,,2.0,3.0,2.0,Explored about 70% of the time and only came to his handler once where he waited for interaction,,1.0,,,2.0,1.0,1.0,3.0,"Douglas walks at heel most of the time, but sometimes falls back and needs encouragement. Falling back associated mostly with his environmental distraction.",,2.0,the final attempt was accepted by assessor and handler to begin with sitting section of the test. But was not requested of him before it was done and so I have put it as a failed attempt,,4.0,A little unsettled but maintained the sit anyways with handler intervention,,3.0,1.0,,"Broke the down command at the end and was not asked to and hence I have counted it as a broken attempt even though the assessor and trainer decided to move on afterward. He was antsy during this exercise, shifting weight and posture hinting at a possible break as well as wagging tail showing his excitement and hinting at lack of being truly settled. ",,3.0,3.0,No,No,,"Was lured onto the table and needing hoisting to get on properly, although he was willing for his fore-paws to be up, I think this was more related to the lure placed on the table. He stood relatively still until the end but with his diminished neutrality I would said it was more co-operation than it was willingness",,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,The first attempt was very short-lived. I think he investigated the towel when it was off (both attempts) more than attempted to play with it. First attempt immediate reversal in order to get the towel off. Both attempts = successful removal of the towel,,4,3,3,6,1,3.0,2.0,6.0,3.0,4.0,5.0,,"Food was noticed in the first attempt before anything else. Intervention needed to get focus on first object and then again after moving away from the food where he exhibited his distraction for the third and fourth time. He doesnt notice the stuffed toy and then turns to the food for a fifth time after seeing the ""human"" again. After car passes he is immediately pulling toward the food again with a high tension on the lead. All 5 pulling attempts toward the food stimulus.",,5.0,"tail waging, lifts hind quarters and mouths and then at the end jumps up at handler. ",,Both,3.0,1.0,3.0,,4.0,Was on lead so needed to follow handler but I believe would have done so irrespective as he was jumping up at the handler for the kong,,6.0,2.0,,Moved toward the dog immediately but then lost interest quickly and began to explore,,1.0,2.0,1.0,3.0,2.0,,,3.0,1.0,5.0,,No,,,,1.0,2.0,4.0,,3.0,,,3.0,2.0,2.0,2.0,1.0,No,,,4.0,,,,5.0,,,,,,,,,,,,,,2.0,4.0,1.0,1.0,3.5,12.0,2.5,11.0,3.0,24.0,3.0,1.6666666666666667,2.5,4.0,216,3.0,36.0,-1.0,3.75,180.0,4.0,12.0,1.5,2.0,-1.0,3.0,15.0,1.5,2.0,2.3333333333333335,9.0,2.5,4.0,3.0,8.0,2.5,6.0,2.0,6.0,0.0,3.6666666666666665,48.0
Douglas,04-03-LD,2,2019-07-04,A,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,Fail,Fail,14:31:54,0:17:35,,2.0,4.0,1.0,Change to original handler. ,,1.0,,,1.0,1.0,1.0,3.0,Almost not distracted all,,4.0,,,3.0,Only sat on second request - difficult to know whether this was due to uncertainty over what was being asked though as he sat immediately on the second request. Not broken once thereafter. ,,1.0,1.0,,"Difficult to lie down on first request as he was too forwardly placed on the platform. However, he saw the rest of the requests as a game, and was very distracted by the environment. ",,2.0,2.0,No,No,,Very hesitant to climb onto the table and finally got on with assistance. I think if he wasnt being held during the examination he would have jumped off.,,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,3,3,4,6,2,3.0,3.0,5.0,4.0,4.0,5.0,,Obsessed with food from the first turn again and only has intentions of getting food throughout the entirety of this exercise and has high tension because of it. ,,5.0,High level of excitement. Jumps up immediately and then once by breaking his sit. His tail is constantly wagging and he is showing anxiety over wanting the toy including lip smacking and shifting weight. ,,Both,3.0,3.0,5.0,,4.0,,,6.0,2.0,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,No,,,,1.0,2.0,3.0,,2.0,Lost interest after a while,,3.0,1.0,2.0,1.0,1.0,No,,He seemed to move away at a time but I dont think was explorative as much as it was a pacing movement in anticipation of the handlers return,4.0,,,,3.0,,Slight startle but investigated and recovered very quickly,,,,,,,,,,,,1.5,2.0,1.0,1.0,4.0,16.0,3.0,15.0,2.6666666666666665,12.0,2.0,1.8333333333333333,2.5,4.0,216,3.25,90.0,-0.75,4.25,300.0,4.0,12.0,1.5,2.0,-1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,2.5,6.0,2.0,4.0,1.6666666666666667,3.0,-1.0,3.0,24.0
Douglas,04-03-LD,1,2019-05-20,B,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,Fail,Fail,13:36:29,0:15:12,,2.0,4.0,2.0,"nice and relaxed, strolling around",,1.0,very good,,1.0,1.0,1.0,2.0,dog relaxed,,2.0,dog went to move and instead of standing it was suggested to sit ,,4.0,only turned once to look at the elastic strap,,4.0,2.0,,handler gave a lot of support by coming over and petting him,,3.0,3.0,No,No,,tail stopped wagging once handler started exam,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,"first try was on lead, second try off lead",,3,4,4,5,1,3.0,3.0,5.0,3.0,3.0,6.0,,dog very much focused on the dog food bowl,,5.0,generally sitting but towards the end he jumps up to get the kong,,Left,3.0,1.0,2.0,,4.0,jumps towards handler when handler has the kong towards the end of holding it. Also jump for the kong when the kong is being put back,,6.0,1.0,,,,2.0,2.0,2.0,3.0,1.0,,,3.0,1.0,3.0,,No,,,,1.0,1.0,4.0,,3.0,,,3.0,2.0,2.0,2.0,1.0,No,,,4.0,,,,5.0,,looks but investigates,,,,,,,,,,,,2.0,4.0,1.0,1.0,3.0,9.0,2.0,8.0,3.3333333333333335,32.0,3.0,2.5,2.5,4.0,240,3.0,45.0,-1.0,3.5,120.0,3.5,6.0,1.0,1.0,0.0,2.6666666666666665,18.0,1.5,2.0,2.3333333333333335,9.0,2.5,4.0,2.5,4.0,2.0,3.0,2.0,6.0,0.0,3.6666666666666665,48.0
Douglas,04-03-LD,2,2019-07-04,B,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,Fail,Fail,14:31:54,0:17:35,,2.0,4.0,1.0,dog relaxed and scenting,,1.0,dog not far from handler,,1.0,1.0,1.0,2.0,,,4.0,used food reward,,,,,1.0,2.0,,"handler was using food, another person entered the pod basement",,2.0,3.0,No,No,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,slight improvement the 2nd time,,1,3,4,5,1,3.0,4.0,5.0,4.0,4.0,4.0,,food orinated,2,4.0,"jumped to grab kong prior to being asked to sit, broke sit once",,Left,4.0,3.0,4.0,,4.0,initially stayed near the handler and then moved away to the matt after awhile. jumped up to grab the kong as the kong was being returned.,,5.0,2.0,,came back towards the handler and moved back to wards the dog prior to recall,,2.0,2.0,1.0,2.0,1.0,,,1.0,1.0,2.0,,No,,,,1.0,1.0,3.0,,3.0,,,3.0,2.0,2.0,1.0,1.0,No,,"mildly stressed, panting",4.0,,,,3.0,,"mild reaction, looks but doesn't move away",,,,,,,,,,,,1.5,2.0,1.0,1.0,4.0,16.0,3.0,15.0,2.5,4.0,2.5,3.5,2.5,3.25,60,3.25,60.0,0.0,4.0,256.0,3.5,10.0,1.5,2.0,-1.0,2.3333333333333335,12.0,1.0,1.0,1.3333333333333333,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.6666666666666667,3.0,0.0,3.3333333333333335,36.0
