Name,Data Collection Number,Code,Data Collection Date,Assessor,BT Start,BT Duration,Familiarisation-Start Time (MM:SS),Call Back-Start Time (MM:SS) ,Walking-Start Time (MM:SS),Standing-Start Time (MM:SS) ,Sitting-Start Time (MM:SS) ,Lying-Start Time (MM:SS) ,Lying-Finish Time (MM:SS),Body check-Start Time (MM:SS),Body check-Finish Time (MM:SS) ,Tea Towel-Start Time (MM:SS),Tea Towel-Finish Time (MM:SS),Distractions-Start Time (MM:SS),Distractions-Finish Time (MM:SS) ,Kong-Presentation-Start Time (MM:SS) ,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Finish Time (MM:SS),Dog-Start Time (MM:SS),Dog-Finish Time (MM:SS) ,Crate-Start Time (MM:SS) ,Crate-Finish Time (MM:SS),Petting-Start Time (MM:SS),Petting-Finish Time (MM:SS),Isolation-Start Time (MM:SS),Isolation-Finish Time (MM:SS) ,Noise-Start Time (MM:SS),Noise-Time (MM:SS),Noise-Walk Finish Time (MM:SS)
Clay,1,11-52-LC,2020-12-14,A,14:45:42,0:13:32,00:03,01:05,01:17,02:26,03:24,04:31,05:33,05:46,06:16,06:25,06:38,07:14,07:59,08:21,09:02,09:25,09:50,10:05,10:24,11:27,11:31,11:40,11:48,12:54,13:05,13:27,13:32
Diva,1,04-01-LD,2019-05-20,A,14:46:21,0:14:36,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diva,1,04-01-LD,2019-05-20,B,14:46:21,0:14:36,1:1,1:56,2:04,3:11,3:58,4:42,5:23,5:36,6:1,6:31,6:52,7:37,6:28,8:48,9:16,9:28,9:52,10:15,11:01,11:5,11:56,12:24,12:31,13:44,14:2,,
Diva,1,04-01-LD,2019-05-20,B,14:46:21,0:14:36,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diva,1,04-01-LD,20/05/2019,C,,,01:11,01:58,02:02,03:11,03:59,04:44,05:24,05:35,06:11,06:32,06:53,07:37,08:27,08:45,09:15,09:28,09:52,10:15,11:02,11:49,12:06,12:24,12:33,13:41,,14:20,
Dora,1,11-53-LD,2020-12-14,A,13:55:22,0:14:03,00:07,01:10,01:17,02:27,03:30,04:34,05:37,05:46,06:21,06:48,07:17,07:48,08:23,08:46 ,09:25,09:53,10:18,10:39,11:01,11:46,00:05 (2),00:17 (2),00:36 (2),01:32 (2),01:43 (2),02:09 (2),02:14 (2)
Douglas,1,04-03-LD,2019-05-20,A,13:36:29,0:15:12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,1,04-03-LD,2019-05-20,B,13:36:29,0:15:12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,1,04-03-LD,2019-05-20,A,13:36:29,0:15:12,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Douglas,1,04-03-LD,20/05/2019,C,,,01:17,02:01,02:13,03:24,04:28,05:16,05:58,06:21,06:48,07:00,07:16,08:13,09:02,09:50,10:18,10:30,11:00,11:20,11:38,12:40,12:42,13:12,13:30,14:30,,15:04,
Douglas,2,04-03-LD,2019-07-04,A,14:31:54,0:17:35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,2,04-03-LD,2019-07-04,B,14:31:54,0:17:35,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Douglas,2,04-03-LD,2019-07-04,A,14:31:54,0:17:35,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,2,04-03-LD,04/07/2019,C,,,00:20,01:20,01:23,02:47,03:49,04:48,07:35,08:10,08:44,09:00,09:27,09:59,10:50,11:10,12:00,12:45,13:04,13:30,13:47,14:57,15:03,15:30,15:40,16:39,,17:14,
Dugg,1,05-01-LD,2019-05-22,B,14:15:42,0:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugg,1,05-01-LD,22/05/2019,C,,,00:25,01:15,01:32,02:58,03:40,04:26,05:27,05:50,06:25,06:37,07:08,07:42,08:39,09:10,09:43,10:00,10:32,11:05,12:05,12:34,12:47,13:12,13:30,14:00,,14:35,
Dugg,1,05-01-LD,22/05/2019,D,,,00:25,01:16,01:33,02:56,03:38,04:26,05:29,05:51,06:27,06:37,07:08,07:43,08:38,09:09,09:43,10:00,10:32,10:54,11:58,12:30,12:44,13:14,13:28,14:02,,14:34,
Dugg,2,05-01-LD,2019-07-17,B,14:50:56,0:12:48,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugg,2,05-01-LD,17/07/2019,C,,,00:05,00:57,01:01,02:05,02:52,03:48,04:38,05:00,05:22,05:32,05:51,06:38,07:01,07:21,07:49,08:10,08:31,08:52,09:03,10:07,10:09,10:35,10:47,12:01,,12:32,
Earl,1,04-02-LE,2019-05-20,A,15:28:25,0:15:18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl,1,04-02-LE,2019-05-20,B,15:28:25,0:15:18,1:24,,1:4,3:33,2:48,4:16,5:16,5:57,6:45,6:55,7:18,7:46,8:22,8:44,9:07,9:2,9:51,10:15,10:3,12:08,12:1,12:46,12:52,14:22,15:03,,
Earl,1,04-02-LE,2019-05-20,A,15:28:25,0:15:18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl,1,04-02-LE,2019-05-20,B,15:28:25,0:15:18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl,1,04-02-LE,20/05/2019,D,,,00:01,01:37,01:40,03:41,02:48,04:18,05:16,05:55,06:40,06:55,07:17,07:46,08:20,08:43,09:07,09:21,09:51,10:18,10:26,12:07,12:09,12:44,12:52,14:20,,15:03,
Earl,1,04-02-LE,20/05/2019,C,,,00:00,01:37,01:40,03:40,02:52,04:25,05:15,06:06,06:39,06:54,07:18,07:47,08:20,08:42,09:09,09:19,09:52,10:15,10:34,12:08,12:10,12:44,12:52,14:20,,15:04,
Earl,2,04-02-LE,2019-07-03,A,14:34:35,0:16:56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl,2,04-02-LE,2019-07-03,B,14:34:35,0:16:56,0:17,1:22,1:28,2:47,4:1,5:34,6:29,6:45,7:2,7:42,8:17,8:48,9:24,9:47,10:42,11:21,11:42,12:21,12:35,13:48,13:52,14:13,14:24,16:02,16:37,,
Earl,2,04-02-LE,2019-07-03,A,14:34:35,0:16:56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl,2,04-02-LE,2019-07-03,B,14:34:35,0:16:56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl,2,04-02-LE,03/07/2019,C,,,00:17,01:22,01:29,02:49,04:09,05:32,06:26,06:46,07:20,07:43,08:16,08:49,09:23,09:43,10:43,11:22,11:42,12:29,12:35,13:50,13:52,14:13,14:24,16:00,,16:38,
Ebbi,1,05-14-LE,2019-06-13,A,14:54:56,0:16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebbi,1,05-14-LE,13/06/2019,D,,,00:08,01:09,01:14,03:19,04:22,05:29,07:50,08:01,08:41,08:56,09:23,09:55,10:30,10:54,11:33,11:56,12:18,12:44,12:55,14:14,14:19,14:34,14:47,15:48,,16:23,
Ebbi,2,05-14-LE,2019-07-31,A,14:14:49,0:17:31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebbi,2,05-14-LE,31/07/2019,C,,,00:12,01:26,01:30,02:35,04:20,05:29,08:25,8:53,09:28,09:38,10:17,10:58,11:18,11:40,12:28,12:56,13:20,13:42,13:56,14:55,14:57,15:30,15:46,16:44,,17:17,
Eddie,1,10-45-LE,2020-10-30,B,12:58:18,0:16:56,00:20,,01:40,02:54,03:55,05:04,06:17,06:27,06:42,06:57,07:47,08:25,09:39,10:15,11:11,11:25,11:54,12:15,12:45,12:46,13:52,14:13,14:42,16:05,16:15,16:45,16:51
Eddie,2,10-45-LE,2020-12-17,B,13:10:31,0:14:25,00:05,,01:07,02:08,03:14,04:18,05:25,05:36,06:04,06:22,06:48,07:19,08:04,08:27,09:06,09:28,09:56,10:09,10:25,11:33,11:35,11:59,12:18,13:39,13:48,14:19,14:24
Edrick,1,05-11-LE,2019-06-13,B,13:38:51,0:13:24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edrick,1,05-11-LE,13/06/2019,C,,,00:00,00:58,01:07,02:35,03:07,04:41,04:40,04:48,05:22,05:35,05:59,06:35,07:22,07:48,08:28,08:49,09:10,09:40,09:52,11:05,12:22,12:41,11:17,12:11,,13:05,
Edrick,1,05-11-LE,13/06/2019,D,,,00:05,00:58,01:07,02:36,03:09,03:41,04:42,04:48,05:23,05:34,06:00,06:36,07:22,07:47,08:27,08:50,09:11,09:39,09:49,11:00,11:23,12:41,11:20,11:14,,13:06,
Edrick,2,05-11-LE,2019-07-31,B,13:36:06,0:13:43,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edrick,2,05-11-LE,31/07/2019,C,,,00:08,01:22,01:30,02:56,03:42,04:32,05:33,05:40,05:58,06:08,06:29,07:01,07:33,07:54,08:33,08:56,09:32,10:10,10:24,11:33,11:35,11:41,11:56,12:51,,13:28,
Effie,1,07-13-LE,2019-08-21,B,12:47:14,0:15:52,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effie,1,07-13-LE,21/08/2019,C,,,00:10,01:07,01:12,02:57,05:34,06:13,07:50,07:57,08:23,08:35,08:56,09:41,10:06,10:24,10:59,11:22,11:35,11:58,12:23,13:25,13:27,13:35,13:48,14:56,,15:33,
Effie,2,07-13-LE,2019-10-10,B,13:14:50,0:17:43,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effie,2,07-13-LE,10/10/2019,C,,,00:18,01:11,01:16,02:35,03:09,04:13,06:05,06:38,07:15,07:48,08:23,09:20,09:54,10:38,11:05,12:00,12:33,13:20,13:53,15:01,15:03,15:23,15:41,16:34,,17:31,
Eldin,1,05-05-LE,2019-05-29,B,14:19:18,0:16:11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldin,1,05-05-LE,29/05/2019,D,,,00:31,01:12,02:15,03:40,04:23,04:59,05:46,06:03,06:48,07:12,07:32,08:18,09:25,09:51,10:45,11:22,11:44,12:13,12:24,13:36,13:37,14:03,14:10,15:18,,15:50,
Eldin,2,05-05-LE,2019-07-17,B,15:34:19,0:16:15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldin,2,05-05-LE,17/07/2019,C,,,00:13,02:05,02:10,03:44,04:52,06:07,07:16,07:23,08:07,08:25,08:41,09:14,09:47,10:06,10:36,11:05,11:29,11:50,12:00,13:28,13:31,13:51,13:59,15:17,,15:52,
Elf,1,04-07-LE,2019-05-22,A,15:27:46,0:15:39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elf,1,04-07-LE,22/05/2019,D,,,00:24,01:09,01:15,02:22,03:12,04:02,05:26,05:40,06:12,06:45,07:11,07:55,08:33,08:49,09:40,09:58,10:28,11:04,11:17,12:13,12:21,12:48,13:07,14:20,,15:15,
Elf,1,04-07-LE,22/05/2019,C,,,00:24,01:10,01:14,02:17,03:12,04:02,05:26,05:39,06:12,06:45,07:13,07:54,08:31,08:51,00:39,09:58,10:26,10:58,11:20,12:17,12:20,12:50,13:08,14:17,,15:15,
Elf,2,04-07-LE,2019-07-03,A,15:39:45,0:15:12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elf,2,04-07-LE,03/07/2019,C,,,00:12,01:13,01:16,04:29,02:46,03:34,05:06,05:15,05:42,06:01,06:43,07:17,07:58,08:14,08:51,09:32,09:55,10:17,10:30,11:27,11:30,11:55,12:11,13:57,,14:42,
Eliza,1,05-22-LE,2019-06-18,B,13:41:32,0:14:51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliza,1,05-22-LE,18/06/2019,D,,,00:11,01:13,01:19,02:30,03:36,04:19,05:23,05:33,06:04,06:18,06:51,07:20,08:01,08:20,09:11,09:34,09:56,10:32,10:40,12:11,12:13,12:32,12:40,13:45,,14:23,
Eliza,2,05-22-LE,2019-08-12,B,13:50:00,0:16:18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliza,2,05-22-LE,12/08/2019,D,,,00:20,01:14,01:30,02:22,03:14,04:29,05:25,05:40,06:20,06:44,07:14,07:54,08:30,09:21,09:56,10:11,10:45,11:20,11:43,13:08,13:26,13:32,13:45,15:03,,15:45,
Emmy,1,04-08-LE,2019-06-18,B,14:24:05,0:16:39,,,,,,,,,,,,,,,,,,,,,,,,does one small circle steadily walking,,,
Emmy,1,04-08-LE,18/06/2019,D,,,00:12,01:12,01:18,03:02,05:23,04:11,06:23,06:30,07:02,07:18,07:59,08:31,09:16,09:38,10:29,10:54,11:15,11:37,11:58,13:25,13:29,13:43,13:51,15:29,,16:09,
Emmy,2,04-08-LE,2019-08-12,B,14:21:07,0:17:43,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmy,2,04-08-LE,12/08/2019,D,,,00:12,01:22,01:31,02:46,04:26,05:45,06:47,07:41,08:14,08:24,08:53,09:29,10:08,10:32,11:11,11:54,12:15,12:41,12:58,14:13,14:23,14:45,14:53,16:14,,16:37,
Esme,1,05-13-LE,2019-06-13,B,14:20:06,0:14:56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esme,1,05-13-LE,13/06/2019,D,,,00:16,01:37,01:41,03:02,03:50,04:40,05:27,05:38,06:12,06:25,06:54,07:30,08:16,08:39,09:29,09:47,10:13,10:36,11:22,12:26,12:31,12:45,12:52,13:55,,14:27,
Esme,1,05-13-LE,13/06/2019,C,,,00:15,01:36,01:41,03:02,03:49,04:40,05:26,05:39,06:11,06:26,06:52,07:30,08:17,08:41,09:29,09:47,10:15,10:47,11:27,12:27,12:30,12:45,12:54,13:50,,14:27,
Evie,1,07-03-LE,2019-07-29,A,14:18:49,0:14:49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evie,1,07-03-LE,29/07/2020,D,,,00:15,01:12,01:20,02:26,03:27,04:38,05:24,05:34,06:07,06:23,06:49,07:20,07:55,08:14,08:59,09:53,10:07,10:48,10:57,12:05,12:11,12:29,12:36,13:55,,14:28,
Evie,2,07-03-LE,2019-09-17,A,14:25:06,0:15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evie,2,07-03-LE,17/09/2019,D,,,00:18,01:05,01:12,02:31,05:18,04:00,06:30,06:50,07:25,07:36,08:07,08:35,09:08,09:27,10:03,10:40,10:56,11:21,11:34,12:59,13:03,13:28,13:38,15:04,,15:29,
