Litter,Name,Breed,Source,DOB
B1,Bubbles,LRxGR,GDBUK,2018-10-04
C1,Clay,LR,GDBUK,2019-05-03
C2,Chhiri,LRxGR,GDBUK,2019-04-20
D1,Diva,LRx,IGDB,2018-02-11
D1,Douglas,LRx,IGDB,2018-02-11
D1,Dugg,LRxGR,IGDB,2018-02-11
D2,Dora,LR,GDBUK,2019-06-23
E1,Earl,LRx,IGDB,2018-03-12
E1,Elf,LRx,IGDB,2018-03-12
E1,Emmy,LRx,IGDB,2018-03-12
E1,Eldin,LRx,IGDB,2018-03-12
E1,Edrick,LRx,IGDB,2018-03-12
E1,Esme,LRx,IGDB,2018-03-12
E1,Ebbi,LRx,IGDB,2018-03-12
E1,Eliza,LRx,IGDB,2018-03-12
E1,Evie,LRx,IGDB,2018-03-12
E1,Effie,LRx,IGDB,2018-03-12
E2,Eddie,LR,GDBUK,2019-03-18
E3,Ezra,LRxGR,GDBUK,2019-05-04
F1,Fargo,LR,IGDB,2018-03-16
F1,Frida,LR,IGDB,2018-03-16
F1,Flora,LR,IGDB,2018-03-16
F1,Fawn,LR,IGDB,2018-03-16
F1,Finesse,LR,IGDB,2018-03-16
F1,Fergus,LR,IGDB,2018-03-16
G1,Gaston,LRxGR,IGDB,2018-04-15
G1,Goober,LRxGR,IGDB,2018-04-15
G1,Gav,LRxGR,IGDB,2018-04-15
G1,Gretel,LRxGR,IGDB,2018-04-15
G1,Gilli,LRxGR,IGDB,2018-04-15
H1,Hugo,LRxGR,IGDB,2018-05-11
H1,Herbie,LRxGR,IGDB,2018-05-11
H1,Harry,LRxGR,IGDB,2018-05-11
H1,Harvey,LRxGR,IGDB,2018-05-11
H1,Hans,LRxGR,IGDB,2018-05-11
H1,Harmony,LRxGR,IGDB,2018-05-11
H1,Hayley,LRxGR,IGDB,2018-05-11
H1,Hollie,LRxGR,IGDB,2018-05-11
H2,Harold,LR,PRV breeder,2020-01-10
I1,Irrie,LRxGR,IGDB,2018-06-28
I1,Idris,LRxGR,IGDB,2018-06-28
I1,Illana,LRxGR,IGDB,2018-06-28
J1,Jira,LR,IGDB,2018-07-03
J1,Jojo,LR,IGDB,2018-07-03
J1,Judson,LR,IGDB,2018-07-03
J1,Josie,LR,IGDB,2018-07-03
J1,Jazzi,LR,IGDB,2018-07-03
J1,July,LR,IGDB,2018-07-03
J1,Jane,LR,IGDB,2018-07-03
J1,Junior,LR,IGDB,2018-07-03
J1,Joy,LR,IGDB,2018-07-03
J1,Jessie,LR,IGDB,2018-07-03
J2,John,LRxGR,GDBUK,2018-11-26
K1,Kelvin,LRxGR,IGDB,2018-08-02
K1,Kirby,LRxGR,IGDB,2018-08-02
K1,Kacie,LRxGR,IGDB,2018-08-02
K1,Kain,LRxGR,IGDB,2018-08-02
K1,Katie,LRxGR,IGDB,2018-08-02
K1,Kaiser,LRxGR,IGDB,2018-08-02
K1,Kali,LRxGR,IGDB,2018-08-02
K1,Kyle,LRxGR,IGDB,2018-08-02
L1,Lexie,LR,IGDB,2018-08-17
L2,Leigh,GS,GDBUK,2019-05-16
M1,Mac,LR,IGDB,2018-08-25
M1,Meeko,LR,IGDB,2018-08-25
M1,Mara,LR,IGDB,2018-08-25
M1,Meg,LR,IGDB,2018-08-25
M1,Minnie,LR,IGDB,2018-08-25
M1,Milo,LR,IGDB,2018-08-25
M1,Molly,LR,IGDB,2018-08-25
M1,Mandy,LR,IGDB,2018-08-25
N1,Nina,LRxGR,IGDB,2018-12-23
N1,Niamh,LRxGR,IGDB,2018-12-23
N1,Noel,LRxGR,IGDB,2018-12-23
N1,Nala,LRxGR,IGDB,2018-12-23
N1,Noelle,LRxGR,IGDB,2018-12-23
N1,Niff,LRxGR,IGDB,2018-12-23
O1,Odin,LRxGR,IGDB,2019-01-12
O1,Oj,LRxGR,IGDB,2019-01-12
O1,Ozark,LRxGR,IGDB,2019-01-12
O1,Orbet,LRxGR,IGDB,2019-01-12
O1,Ocean,LRxGR,IGDB,2019-01-12
O1,Oonagh,LRxGR,IGDB,2019-01-12
P1,Pennie,LRx,IGDB,2019-01-30
P1,Patch,LRx,IGDB,2019-01-30
P1,Prince,LRx,IGDB,2019-01-30
P1,Peaches,LRx,IGDB,2019-01-30
P1,Peppa,LRx,IGDB,2019-01-30
P2,Piper,LR,GDBUK,2019-04-20
Q1,Quill,LRxGR,IGDB,2019-03-20
Q1,Quinten,LRxGR,IGDB,2019-03-20
Q1,Quincy,LRxGR,IGDB,2019-03-20
Q1,Quinto,LRxGR,IGDB,2019-03-20
Q1,Quayla,LRxGR,IGDB,2019-03-20
R1,Ramona,LRx,IGDB,2019-04-19
R1,Rita,LRx,IGDB,2019-04-19
R2,Rebecca,LRxGR,GDBUK,2019-04-15
R3,Rainbow,LR,GDBUK,2019-06-09
S1,Simon,LRx,IGDB,2019-04-19
S2,Saffron,LRxGR,GDBUK,2019-06-06
T1,Tosh,GR,GDBUK,2018-09-25
T2,Tango,LRxGR,IGDB,2019-05-23
T2,Teal,LRxGR,IGDB,2019-05-23
T2,Toto,LRx,IGDB,2019-05-23
T2,Thor,LRxGR,IGDB,2019-05-23
T2,Tessa,LRxGR,IGDB,2019-05-23
T2,Tommy,LRx,IGDB,2019-05-23
T2,Teemo,LRx,IGDB,2019-05-23
T2,Trinny,LRx,IGDB,2019-05-23
T3,Tim,LR,GDBUK,2019-04-20
T3,Toni,LR,GDBUK,2019-04-20
V1,Varley,LR,IGDB,2019-06-11
V1,Vale,LR,IGDB,2019-06-11
V1,Vaughan,LR,IGDB,2019-06-11
V1,Verona,LR,IGDB,2019-06-11
V1,Vista,LR,IGDB,2019-06-11
W1,Woulfie,LRx,IGDB,2019-07-01
Y1,Yeska,LRxGR,IGDB,2019-09-25
