Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,End Date,Status,Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Start Time (MM:SS) ,Call Back-Response,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Start Time (MM:SS) ,Standing-Attempts ,Standing-Response,Sitting-Start Time (MM:SS) ,Sitting-Attempts,Sitting-Response,Lying-Start Time (MM:SS) ,Lying-Attempts,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Body check-Start Time (MM:SS),Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea towel-Second Response [Indifferent],Tea towel-Second Response [Turns head],Tea towel-Second Response [Attempts to/Removes towel by moving],Tea towel-Second Response [Attempts to/Removes towel with mouth],Tea towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Distractions-Start Time (MM:SS),Distractions-First Response [Object],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Object],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Finish Time (MM:SS) ,Kong-Concentration-Start Time (MM:SS) ,Kong-Concentration-Response ,Kong-Retrieve-Start Time (MM:SS) ,Kong-Retrieve-Lateralisation,Kong-Retrieve-Response to stimulus,Kong-Retrieve-Response to assessor,Kong-Retrieve-Back,Kong-Retrieve-Finish Time (MM:SS),Dog-Start Time (MM:SS) ,Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Relaxing],Crate-Behaviours [Sniffing/Exploring],Crate-Behaviours [Attention Seeking],Crate-Behaviours [Digging],Crate-Behaviours [Licking/Mouthing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Response,Crate-Urinating,Crate-Finish Time (MM:SS),Petting-Start Time (MM:SS),Petting-Stimulus,Petting-Holding dog,Petting-Finish Time (MM:SS),Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Locomotion],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Noise-Time (MM:SS),Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Short Barks Count,Continuous Barks Duration,Continuous Barks Count,Whines Duration,Whines Count,Shakes Count,Jumps Count
Dugg,05-01-LD,1,22/05/2019,B,LRxGR,M,D,Home bred,Graham,11/02/2018,01/05/2019,25/10/2019,AD,00:25,1.0,4.0,1.0,01:16,2.0,01:33,1,1,1,2,02:56 ,1,4,03:38,2,3,04:26,3,2,3.0,05:29,05:51,3,No,No,06:27,06:37,No,Yes,Yes,No,No,No,Yes,No,Yes,No,07:08,07:43,5,2,2,6,2,2,3,4,3,3,08:38,09:09,4,09:43 ,None,3,1,1,10:00,10:32,5,2,10:54,11:58 ,3,2.0,1.0,3.0,1.0,1.0,4.0,4.0,4,No,12:30,12:44,1,3.0,13:14,13:28,4,1,1,1,4,No,14:02,14:34,09:30-09:33,01:25,,12:16-12:30,13:29; 13:39; 13:49; 13:51; 13:56,12:16-12:30; 13:41-13:46,na,na,na,na,5.0,19.0,2.0,14.0,1.0,1.0,1.0
Zeb,05-04-LZ,1,22/05/2019,B,LR,M,Z,Private breeder,Catherine,06/04/2018,01/05/2019,06/08/2019,W,00:17,3.0,2.0,4.0,01:40,,01:48,1,1,1,2,03:21,1,4,04:01,1,4,04:52,1,4,4.0,5:30,05:53,3,No,No,06:21,06:40,Yes,Yes,No,No,No,Yes,No,No,No,No,07:05,07:32,3,2,2,6,1,2,3,2,3,3,08:20,08:44,2,09:36,Right,3,1,2,09:52,10:46,4,2,11:05,11:44,2,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1,No,12:40,12:56,1,1.0,13:21,13:30,3,3,1,1,1,No,14:40,15:18,,13:18,,na,,,,,,,,,,,,1.0,
Earl,04-02-LE,1,20/05/2019,A,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,29/11/2019,AD,0:00,4.0,,,1:37,,01:40,1,1,1,2,3:40,1,3,2 :52 ,1,4,4:25,1,4,3.0,5:15,6:06,3,No,No,6:39,6:54,Yes,Yes,No,No,No,Yes,No,No,No,No,7:18,7:47,1,2,3,1,3,2,2,3,1,1,8:20,8:42,3,9:09,,3,1,2,9:19,9:52,1,0,10:15,10:34,1,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1,No,12:08,12:10,2,1.0,12:44,12:52,2,3,1,1,1,No,14:20,15:04,,00:18; 02:04; 08:03; 12:44,,na,,,,,,,,,,,,4.0,
Edrick,05-11-LE,1,13/06/2019,B,LRx,M,E,IGDB,Rose,12/03/2018,15/05/2019,09/07/2020,GD,00:05,3.0,3.0,3.0,00:58,1.0,01:07,1,1,1,2,02:36,1,4,03:09,1,4,03:41,1,4,4.0,04:42,04:48,3,No,No,05:23,05:34,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,06:00,06:36,3,3,3,5,2,1,1,3,2,2,07:22,07:47,3,08:27,,3,1,2,08:50,09:11,4,2,09:39,09:49,1,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1,No,11:00,11:23,2,2.0,12:41,11:20,4,1,1,3,1,No,11:14,13:06,05:50; 07:08; 11:19,na,na,10:03; 10:07; 11:37; 11:56,na,na,na,na,na,na,,,,4.0,4.0,,3.0
Esme,05-13-LE,1,13/06/2019,A,LRx,F,E,IGDB,Graham,12/03/2018,15/05/2019,13/12/2019,GD,00:15,2.0,3.0,2.0,1:36,1.0,01:41,2,1,1,2,3:02,2,3,3:49,1,4,4:40,1,4,3.0,5:26,5:39,3,No,No,6:11,6:26,Yes,No,No,No,No,Yes,No,No,No,No,6:52,7:30,4,4,4,5,2,2,2,4,2,3,8:17,8:41,3,9:29,Right,2,1,1,9:47,10:15,4,2,10:47,11:27,3,1.0,2.0,3.0,1.0,1.0,1.0,3.0,4,No,12:27,12:30,2,1.0,12:45,12:54,3,3,1,1,2,No,13:50,14:27,,00:18; 10:01,,na,11:58; 13:05; 13:11; 13:14,11:37-11:54; 12:14- 12:19,,,,,4.0,22.0,2.0,,,2.0,
Fawn,05-03-LF,1,29/05/2019,A,LR,F,F,Home bred,Catherine,16/03/2018,01/05/2019,25/11/2019,GD,00:09,2.0,4.0,1.0,1:10,1.0,01:18,2,2,1,2,2:43,1,4,3:16,1,4,3:47,1,4,3.0,4:49,5:00,2,Yes,Yes,5:38,6:50,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,7:54,8:39,5,3,3,6,2,3,4,5,3,4,9:35,9:51,3,10:30,None,3,2,3,11:06,11:58,6,1,12:35,12:55,1,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1,No,13:56,13:58,3,1.0,14:14,14:39,3,2,1,1,1,No,15:30,16:13,6:44; 7:19; 7:21; 7:35; 7:56; 8:03; 8:12; 9:19; 9:47; 15:33; 15:41,00:25; 00:57; 6:33,,na,,,,,,04:06; 04:24,,,,,,3.0,11.0
Elf,04-07-LE,1,22/05/2019,A,LRx,M,E,IGDB,Frances,12/03/2018,24/04/2019,25/11/2019,GD,00:24,3.0,3.0,1.0,1:10,,01:14,2,1,1,2,2:17,1,4,3:12,1,3,4:02,3,1,2.0,5:26,5:39,3,No,No,6:12,6:45,No,Yes,No,No,No,Yes,No,No,No,No,7:13,7:54,3,2,3,5,2,1,2,5,2,3,8:31,8:51,3,0:39,None,3,2,2,9:58,10:26,1,0,10:58,11:20,1,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1,No,12:17,12:20,2,1.0,12:50,13:08,4,1,1,1,1,No,14:17,15:15,,00:34,,na,,,,,,01:19; 03:20; 09:07,,,,,,1.0,
Emmy,04-08-LE,1,18/06/2019,B,LRx,F,E,IGDB,Graham,12/03/2018,24/04/2019,19/08/2019,W,00:12,3.0,3.0,2.0,01:12,1.0,01:18,2,2,2,3,03:02,3,2,05:23,1,4,04:11,1,4,4.0,06:23,06:30,3,,,07:02,07:18,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,07:59,08:31,3,2,2,4,2,1,2,2,2,2,09:16,09:38,2,10:29,Left,3,1,2,10:54,11:15,4,1,11:37,11:58,1,2.0,3.0,3.0,1.0,1.0,3.0,2.0,2,No,13:25,13:29,1,1.0,13:43,13:51,4,2,2,4,1,No,15:29,16:09,,00:36,,12:27; 12:37-12:43; 13:07; 14:00; 14:06; 14:22; 14:45; 15:01; 15:19,12:34,,,,,,1.0,,,14.0,9.0,1.0,
Flora,05-02-LF,1,23/05/2019,B,LRxGR,F,F,Home bred,Graham,16/03/2018,01/05/2019,20/12/2019,GD,00:23,1.0,4.0,1.0,01:20,1.0,01:28,3,1,1,2,04:17,2,3,02:30,2,2,03:47,2,3,2.0,05:00,05:14,2,,,05:51,06:20,Yes,No,No,No,No,Yes,No,No,No,No,07:12,07:52,2,2,3,6,1,2,2,6,3,4,08:22,08:39,3,09: 18,None,3,1,2,09:35,10:02,4,2,10:23,10:44,1,1.0,3.0,3.0,1.0,1.0,3.0,2.0,3,No,11:51,11:55,1,1.0,12:27,12:45,3,3,1,2,1,No,14:22,14:55,,01:05; 06:40,,09:11; 11:06-11:30; 11:40; 14:09,11:31,,,,,,1.0,,,27.0,4.0,2.0,
Ebbi,05-14-LE,1,13/06/2019,B,LRx,F,E,IGDB,Graham,12/03/2018,15/05/2019,25/10/2019,AD,00:08 ,2.0,4.0,1.0,01:09,1.0,01:14,2,2,2,2,03:19,1,4,04:22,2,4,05:29,2,2,3.0,07:50,08:01,3,No,No,08:41,08:56,Yes,Yes,No,No,No,No,Yes,Yes,No,No,09:23,09:55,1,2,2,1,1,3,2,1,1,1,10:30,10:54,2,11:33,Left,3,1,1,11:56,12:18,4,1,12:44,12:55,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1,No,14:14,14:19,2,1.0,14:34,14:47,4,1,2,1,1,No,15:48,16:23,,00:55; 01:18; 01:34;,,na,,,,,,,,,,,,4.0,
