Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,End Date,Status,Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Start Time (MM:SS) ,Call Back-Response,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Start Time (MM:SS) ,Standing-Attempts ,Standing-Response,Sitting-Start Time (MM:SS) ,Sitting-Attempts,Sitting-Response,Lying-Start Time (MM:SS) ,Lying-Attempts,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Body check-Start Time (MM:SS),Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea towel-Second Response [Indifferent],Tea towel-Second Response [Turns head],Tea towel-Second Response [Attempts to/Removes towel by moving],Tea towel-Second Response [Attempts to/Removes towel with mouth],Tea towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Distractions-Start Time (MM:SS),Distractions-First Response [Object],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Object],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Finish Time (MM:SS) ,Kong-Concentration-Start Time (MM:SS) ,Kong-Concentration-Response ,Kong-Retrieve-Start Time (MM:SS) ,Kong-Retrieve-Lateralisation,Kong-Retrieve-Response to stimulus,Kong-Retrieve-Response to assessor,Kong-Retrieve-Back,Kong-Retrieve-Finish Time (MM:SS),Dog-Start Time (MM:SS) ,Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Relaxing],Crate-Behaviours [Sniffing/Exploring],Crate-Behaviours [Attention Seeking],Crate-Behaviours [Digging],Crate-Behaviours [Licking/Mouthing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Response,Crate-Urinating,Crate-Finish Time (MM:SS),Petting-Start Time (MM:SS),Petting-Stimulus,Petting-Holding dog,Petting-Finish Time (MM:SS),Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Locomotion],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Noise-Time (MM:SS),Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Short Barks Count,Continuous Barks Duration,Continuous Barks Count,Whines Duration,Whines Count,Shakes Count,Jumps Count
Goober,07-01-LG,1,29/07/2019,A,LRxGR,M,G,IGDB,Graham,15/04/2018,02/07/2019,03/02/2020,GD,00:18,1.0,4.0,2.0,01:11,2.0,01:27,2,2,1,2,06:54,2,3,03:53,1,4,04:46,7,1,1.0,07:38,07:46,4,No,No,08:15,08:32,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,08:51,09:35,6,5,3,5,5,2,2,6,4,4,10:32,10:58,3,11:40,Left,3,1,1,12:05,12:28,4,1,12:58,13:11,1,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1,No,14:21,14:34,2,1.0,14:47,14:55,3,3,2,2,1,No,16:01,16:38,,00:21; 12:57,,11:33; 15:10,11:35,,,,,,1.0,,,2.0,2.0,2.0,
Dugg,05-01-LD,1,22/05/2019,A,LRxGR,M,D,Home bred,Graham,11/02/2018,01/05/2019,25/10/2019,AD,00:25,1.0,4.0,1.0,1:15,3.0,01:32,1,1,1,3,2:58,1,3,3:40,2,3,4:26,4,1,1.0,5:27,5:50,3,No,No,6:25,6:37,No,Yes,No,Yes,No,No,Yes,No,Yes,No,7:08,7:42,5,1,2,6,4,2,3,3,3,3,8:39,9:10,4,9:43,None,3,1,2,10:00,10:32,6,2,11:05,12:05,4,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4,No,12:34,12:47,3,1.0,13:12,13:30,4,1,1,1,4,No,14:00,14:35,9:20; 9:21; 9:27,01:23,,na,,12:16-12:30; 13:29-14:00,,,,,,45.0,2.0,,,1.0,3.0
Earl,04-02-LE,1,20/05/2019,B,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,29/11/2019,AD,00:01,4.0,1.0,3.0,01:37,,01:40,3,1,1,2,03:41,1,4,02:48,1,4,04:18,1,4,3.0,05:16,05:55,4,No,No,06:40,06:55,Yes,Yes,No,No,No,Yes,No,No,No,No,07:17,07:46,1,2,3,1,3,2,2,3,2,1,08:20,08:43,3,09:07,,3,1,2,09:21,09:51,3,0,10:18,10:26,1,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1,No,12:07,12:09,1,1.0,12:44,12:52,3,3,1,1,1,No,14:20,15:03,,00:19;  02:05,,na,,,,,,,,,,,,2.0,
Zeb,05-04-LZ,1,22/05/2019,A,LR,M,Z,Private breeder,Catherine,06/04/2018,01/05/2019,06/08/2019,W,0:11,3.0,2.0,3.0,1:39,1.0,01:45,1,1,1,2,3:20,1,4,4:02,1,4,4:50,1,4,,5:30,5:52,4,No,No,6:21,6:39,Yes,Yes,No,No,No,Yes,No,No,No,No,7:05,7:31,3,3,2,5,1,2,3,4,2,3,8:20,8:43,3,9:34,Right,3,1,2,9:52,10:45,4,1,11:05,11:45,2,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1,No,12:44,12:57,2,1.0,13:17,13:33,3,3,1,1,1,No,14:39,15:17,,13:16,,na,,,,,,,,,,,,1.0,
Dugg,05-01-LD,1,22/05/2019,B,LRxGR,M,D,Home bred,Graham,11/02/2018,01/05/2019,25/10/2019,AD,00:25,1.0,4.0,1.0,01:16,2.0,01:33,1,1,1,2,02:56 ,1,4,03:38,2,3,04:26,3,2,3.0,05:29,05:51,3,No,No,06:27,06:37,No,Yes,Yes,No,No,No,Yes,No,Yes,No,07:08,07:43,5,2,2,6,2,2,3,4,3,3,08:38,09:09,4,09:43 ,None,3,1,1,10:00,10:32,5,2,10:54,11:58 ,3,2.0,1.0,3.0,1.0,1.0,4.0,4.0,4,No,12:30,12:44,1,3.0,13:14,13:28,4,1,1,1,4,No,14:02,14:34,09:30-09:33,01:25,,12:16-12:30,13:29; 13:39; 13:49; 13:51; 13:56,12:16-12:30; 13:41-13:46,na,na,na,na,5.0,19.0,2.0,14.0,1.0,1.0,1.0
Zeb,05-04-LZ,1,22/05/2019,B,LR,M,Z,Private breeder,Catherine,06/04/2018,01/05/2019,06/08/2019,W,00:17,3.0,2.0,4.0,01:40,,01:48,1,1,1,2,03:21,1,4,04:01,1,4,04:52,1,4,4.0,5:30,05:53,3,No,No,06:21,06:40,Yes,Yes,No,No,No,Yes,No,No,No,No,07:05,07:32,3,2,2,6,1,2,3,2,3,3,08:20,08:44,2,09:36,Right,3,1,2,09:52,10:46,4,2,11:05,11:44,2,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1,No,12:40,12:56,1,1.0,13:21,13:30,3,3,1,1,1,No,14:40,15:18,,13:18,,na,,,,,,,,,,,,1.0,
Earl,04-02-LE,1,20/05/2019,A,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,29/11/2019,AD,0:00,4.0,,,1:37,,01:40,1,1,1,2,3:40,1,3,2 :52 ,1,4,4:25,1,4,3.0,5:15,6:06,3,No,No,6:39,6:54,Yes,Yes,No,No,No,Yes,No,No,No,No,7:18,7:47,1,2,3,1,3,2,2,3,1,1,8:20,8:42,3,9:09,,3,1,2,9:19,9:52,1,0,10:15,10:34,1,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1,No,12:08,12:10,2,1.0,12:44,12:52,2,3,1,1,1,No,14:20,15:04,,00:18; 02:04; 08:03; 12:44,,na,,,,,,,,,,,,4.0,
Elf,04-07-LE,1,22/05/2019,B,LRx,M,E,IGDB,Frances,12/03/2018,24/04/2019,25/11/2019,GD,00:24,3.0,3.0,3.0,1:09,,01:15,2,1,1,2,2:22,1,4,3:12,1,4,4:02,3,2,3.0,5:26,5:40,3,No,No,6:12,6:45,Yes,Yes,No,No,No,Yes,No,No,No,No,7:11,7:55,3,2,3,5,2,1,2,5,3,2,8:33,08:49,3,09:40,None,3,2,2,09:58,10:28,1,0,11:04,11:17,1,2.0,4.0,2.0,4.0,1.0,2.0,1.0,2,No,12:13,12:21,3,1.0,12:48,13:07,4,1,1,2,1,No,14:20,15:15,,00:34,,11:58;13:59,,,,,,,,,,2.0,2.0,1.0,
Edrick,05-11-LE,1,13/06/2019,A,LRx,M,E,IGDB,Rose,12/03/2018,15/05/2019,09/07/2020,GD,0:00 ,3.0,3.0,1.0,00:58,1.0,1:07,1,1,1,2,2:35,1,3,3:07,1,4,4:41,1,4,3.0,4:40,4:48,4,No,No,5:22,5:35,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,5:59,6:35,2,4,3,5,2,3,2,3,3,3,7:22,7:48,3,8:28,Right,3,1,2,8:49,9:10,4,3,9:40,9:52,1,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2,No,11:05,12:22,2,1.0,12:41,11:17,4,1,1,2,1,No,12:11,13:05,05:31; 05:48; 07:06; 11:18,08:59,,10:00; 10:06; 11:54,,,,,,02:55; 03:28; 04:37,,,,3.0,3.0,1.0,4.0
Fawn,05-03-LF,1,29/05/2019,B,LR,F,F,Home bred,Catherine,16/03/2018,01/05/2019,25/11/2019,GD,00:10,2.0,4.0,1.0,01:11,1.0,01:19 ,1,1,1,2,02:42,1,4,03:16,1,4,3:47,1,4,4.0,04:49,05:00,3,Yes,Yes,05:38,06:49,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,07:55,08:39,5,3,3,5,3,3,4,4,3,3,09:35,09:51,3,10:30,None,3,1,3,11:06,12:07,6,1,12:31,12:53,1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2,No,13:58,13:59,3,1.0,14:26,14:37,4,2,1,1,1,No,15:34,16:13,07:58; 11:37,0:25,,na,,,,,,,,,,,,1.0,2.0
