Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,End Date,Status,Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Start Time (MM:SS) ,Call Back-Response,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Start Time (MM:SS) ,Standing-Attempts ,Standing-Response,Sitting-Start Time (MM:SS) ,Sitting-Attempts,Sitting-Response,Lying-Start Time (MM:SS) ,Lying-Attempts,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Body check-Start Time (MM:SS),Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea towel-Second Response [Indifferent],Tea towel-Second Response [Turns head],Tea towel-Second Response [Attempts to/Removes towel by moving],Tea towel-Second Response [Attempts to/Removes towel with mouth],Tea towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Distractions-Start Time (MM:SS),Distractions-First Response [Object],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Object],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Finish Time (MM:SS) ,Kong-Concentration-Start Time (MM:SS) ,Kong-Concentration-Response ,Kong-Retrieve-Start Time (MM:SS) ,Kong-Retrieve-Lateralisation,Kong-Retrieve-Response to stimulus,Kong-Retrieve-Response to assessor,Kong-Retrieve-Back,Kong-Retrieve-Finish Time (MM:SS),Dog-Start Time (MM:SS) ,Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Relaxing],Crate-Behaviours [Sniffing/Exploring],Crate-Behaviours [Attention Seeking],Crate-Behaviours [Digging],Crate-Behaviours [Licking/Mouthing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Response,Crate-Urinating,Crate-Finish Time (MM:SS),Petting-Start Time (MM:SS),Petting-Stimulus,Petting-Holding dog,Petting-Finish Time (MM:SS),Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Locomotion],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Noise-Time (MM:SS),Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Short Barks Count,Continuous Barks Duration,Continuous Barks Count,Whines Duration,Whines Count,Shakes Count,Jumps Count
Fawn,05-03-LF,2,17/07/2019,A,LR,F,F,Home bred,Catherine,16/03/2018,01/05/2019,25/11/2019,GD,00:14,1.0,4.0,1.0,00:47,1.0,00:56,2,3,1,2,2:15,2,3,3:18,1,4,3:50,1,4,3.0,4:40,4:51,4,No,No,5:13,5:29,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,6:23,7:16,6,3,4,4,3,2,2,3,4,3,8:04,8:40,3,9:10,None,3,2,2,9:21,9:44,7,0,10:30,11:17,1,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2,No,12:12,12:22,3,2.0,12:43,13:01,4,1,2,1,1,No,14:08,14:54,1:37; 10:02,1:24; 14:02,,na,,,,06:48; 10:40; 13:48; 13:56,,03:41,,,,,,2.0,2.0
Zeb,05-04-LZ,2,17/07/2019,A,LR,M,Z,Private breeder,Catherine,06/04/2018,01/05/2019,06/08/2019,W,00:12,,4.0,1.0,01:40,1.0,01:46,1,1,1,3,13:01,1,4,4:11,1,4,5:20,1,4,3.0,6:11,6:39,4,No,No,7:12,7:27,Yes,Yes,No,No,No,Yes,No,No,No,No,8:08,8:44,3,2,3,5,1,2,2,4,2,4,9:12,9:42,4,10:09,,3,2,3,10:32,10:55,2,0,11:24,11:35,1,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1,No,12:38,12:44,2,3.0,13:10,13:26,3,2,1,1,1,No,14:51,15:32,9:34; 9:37; 9:41; 9:35,11:01,,na,,,,,,,,,,,,1.0,4.0
Dugg,05-01-LD,2,17/07/2019,A,LRxGR,M,D,Home bred,Graham,11/02/2018,01/05/2019,25/10/2019,AD,00:05 ,2.0,3.0,2.0,00:57,1.0,01:01,1,1,1,3,2:05,1,4,2:52,2,3,3:48,1,4,4.0,4:38,5:00,4,No,No,5:22,5:32,No,Yes,No,Yes,No,No,Yes,No,Yes,No,5:51,6:38,3,2,2,3,1,3,2,3,2,2,7:01,7:21,3,7:49,Left,3,1,2,8:10,8:31,4,0,8:52,9:03,1,1.0,2.0,3.0,2.0,3.0,1.0,1.0,3,No,10:07,10:09,3,1.0,10:35,10:47,4,1,2,1,2,No,12:01,12:32,,00:15; 08:50; 10:20,10:17,na,11:54,,,,,,1.0,,,,,3.0,
Douglas,04-03-LD,2,04/07/2019,A,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,06/08/2019,W,0:20,2.0,4.0,2.0,1:20,1.0,01:23,1,1,1,3,2:47,1,4,3:49,1,4,4:48,6,1,1.0,7:35,8:10,4,No,No,8:44,9:00,No,Yes,No,Yes,No,No,Yes,No,Yes,No,9:27,9:59,2,2,3,4,1,2,2,4,2,3,10:50,11:10,4,12:00,Both,3,2,3,12:45,13:04,5,1,13:30,13:47,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1,No,14:57,15:03,2,2.0,15:30,15:40,3,1,2,1,1,No,16:39,17:14,11:08; 11:09; 11:17; 11:54; 11:46; 11:47,00:47; 15:18,,na,,,,,,,,,,,,2.0,6.0
Zodiac,04-04-LZ,2,16/07/2019,A,LR,M,Z,Private breeder,Rose,06/04/2018,24/04/2019,25/10/2019,GD,0:10,2.0,3.0,2.0,1:05,1.0,01:10,1,1,1,2,2:20,1,4,3:05,1,4,3:52,1,4,3.0,4:49,5:09,3,No,No,5:36,5:56,No,Yes,No,Yes,No,No,Yes,No,Yes,No,6:18,7:09,2,2,3,4,1,2,2,3,2,2,7:33,8:02,3,8:19,None,3,1,2,9:44,10:11,6,1,10:56,11:06,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1,No,12:22,12:24,2,2.0,12:37,12:51,4,1,1,1,1,No,14:08,14:40,7:54,06:13; 10:25,8:41,na,,,,,,,,,,,,2.0,1.0
Earl,04-02-LE,2,03/07/2019,A,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,29/11/2019,AD,00:17,3.0,2.0,3.0,1:22,2.0,1:29,1,1,1,2,2:49,1,4,4:09,1,4,5:32,1,4,3.0,6:26,6:46,3,No,No,7:20,7:43,Yes,No,No,No,No,Yes,No,No,No,No,8:16,8:49,1,2,3,3,3,2,2,2,1,1,9:23,9:43,3,10:43,Left,3,1,2,11:22,11:42,1,0,12:29,12:35,1,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1,No,13:50,13:52,1,1.0,14:13,14:24,4,1,1,1,1,No,16:00,16:38,,01:31,,na,,,,,,,,,,,,1.0,
Fargo,04-05-LF,2,03/07/2019,A,LRx,M ,F,IGDB,Graham,16/03/2018,24/04/2019,25/11/2019,GD,0:33,2.0,3.0,2.0,1:26,2.0,1:38,1,1,1,2,2:53,2,3,5:30,2,2,4:38,1,4,3.0,5:45,5:56,4,No,No,6:20,6:38,Yes,Yes,No,No,No,No,No,Yes,No,No,7:07,7:45,1,2,2,3,1,2,2,3,2,2,8:23,8:53,3,9:47,Right,3,1,2,10:32,11:00,5,0,11:30,11:50,1,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1,No,13:05,13:10,1,1.0,13:45,13:56,4,1,1,1,1,No,15:37,16:17,,00:32; 07:03,,na,,,,,,,,,,,,2.0,
Elf,04-07-LE,2,03/07/2019,A,LRx,M,E,IGDB,Frances,12/03/2018,24/04/2019,25/11/2019,GD,0:12,2.0,3.0,2.0,1:13,,1:16,1,2,2,1,4:29,1,4,2:46,1,4,3:34,2,3,3.0,5:06,5:15,4,No,No,5:42,6:01,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,6:43,7:17,2,2,2,3,1,2,2,2,2,2,7:58,8:14,3,8:51,Left,3,1,2,9:32,9:55,3,0,10:17,10:30,2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,No,11:27,11:30,2,1.0,11:55,12:11,4,1,2,2,1,No,13:57,14:42,,01:20; 06:12,,13:22,,,,,,04:38,,,,1.0,1.0,2.0,
Eldin,05-05-LE,2,17/07/2019,A,LRx,M,E,Home bred,Rose,12/03/2018,01/05/2019,13/12/2019,GD,00:13,3.0,3.0,3.0,2:05,,2:10,1,1,1,1,3:44,1,4,4:52,2,3,6:07,1,4,3.0,7:16,7:23,3,No,No,8:07,8:25,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,8:41,9:14,2,3,2,4,2,3,2,2,2,2,9:47,10:06,3,10:36,Both,3,1,2,11:05,11:29,1,0,11:50,12:00,1,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1,No,13:28,13:31,2,1.0,13:51,13:59,3,2,1,1,1,No,15:17,15:52,0:43,,,na,,,,,,,,,,,,,1.0
Effie,07-13-LE,2,10/10/2019,A,LRxGR,F,E,IGDB,Graham,12/03/2018,30/07/2019,03/02/2020,GD,00:18,3.0,2.0,3.0,1:11,,1:16,1,1,1,2,2:35,1,4,3:09,1,4,4:13,7,1,1.0,6:05,6:38,4,No,No,7:15,7:48,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,8:23,9:20,2,2,2,3,2,2,2,2,2,2,9:54,10:38,3,11:05,Right,3,1,2,12:00,12:33,3,0,13:20,13:53,1,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1,No,15:01,15:03,3,1.0,15:23,15:41,4,1,1,1,1,No,16:34,17:31,15:19; 16:44,16:49,,na,,,,,,03:56,,,,,,1.0,2.0
