Code,DOA,Name,PR Sup,DOB,Sex,Source,Status,End Date,Breed,Coat Colour,Age at Start,Duration,Label
04-01-LD,2019-04-24,Diva,Catherine,2018-02-11,F,IGDB,GD,2019-12-13,LRx,,14.357584344647734,7.655187991539868,Success
04-02-LE,2019-04-24,Earl,Catherine,2018-03-12,M,IGDB,AD,2019-11-29,LRx,,13.404792706215732,7.195219614365798,Success
04-03-LD,2019-04-24,Douglas,Rose,2018-02-11,M,IGDB,W,2019-08-06,LRx,,14.357584344647734,3.416907944721657,Fail
04-04-LZ,2019-04-24,Zodiac,Rose,2018-04-06,M,Private breeder,GD,2019-10-25,LR,,12.583420604119182,6.045298671430625,Success
04-05-LF,2019-04-24,Fargo,Graham,2018-03-16,M,IGDB,GD,2019-11-25,LR,,13.273373169880283,7.06380007803035,Success
04-06-LF,2019-04-24,Frida,Graham,2018-03-16,F,IGDB,W,2019-08-02,LR,,13.273373169880283,3.2854884083862093,Fail
04-07-LE,2019-04-24,Elf,Frances,2018-03-12,M,IGDB,GD,2019-11-25,LRx,,13.404792706215732,7.06380007803035,Success
04-08-LE,2019-04-24,Emmy,Graham,2018-03-12,F,IGDB,W,2019-08-19,LRx,,13.404792706215732,3.8440214378118647,Fail
05-01-LD,2019-05-01,Dugg,Graham,2018-02-11,M,IGDB,AD,2019-10-25,LRxGR,,14.58756853323477,5.81531448284359,Success
05-02-LF,2019-05-01,Flora,Graham,2018-03-16,F,IGDB,GD,2019-12-20,LR,,13.50335735846732,7.655187991539868,Success
05-03-LF,2019-05-01,Fawn,Catherine,2018-03-16,F,IGDB,GD,2019-11-25,LR,,13.50335735846732,6.833815889443315,Success
05-04-LZ,2019-05-01,Zeb,Catherine,2018-04-06,M,Private breeder,W,2019-08-06,LR,,12.813404792706216,3.186923756134623,Fail
05-05-LE,2019-05-01,Eldin,Rose,2018-03-12,M,IGDB,GD,2019-12-13,LRx,,13.634776894802767,7.425203802952833,Success
05-11-LE,2019-05-15,Edrick,Rose,2018-03-12,M,IGDB,GD,2020-07-09,LRx,,14.094745271976835,13.83190619930594,Success
05-12-LF,2019-05-15,Finesse,Rose,2018-03-16,F,IGDB,W,2019-07-03,LR,,13.963325735641387,1.6098893201092426,Fail
05-13-LE,2019-05-15,Esme,Graham,2018-03-12,F,IGDB,GD,2019-12-13,LRx,,14.094745271976835,6.965235425778763,Success
05-14-LE,2019-05-15,Ebbi,Graham,2018-03-12,F,IGDB,AD,2019-10-25,LRx,,14.094745271976835,5.355346105669521,Success
05-15-LG,2019-05-15,Gaston,Graham,2018-04-15,M,IGDB,GD,2020-02-03,LRxGR,,12.977679213125526,8.673689398139592,Success
05-21-LH,2019-05-30,Hugo,Frances,2018-05-11,M,IGDB,W,2019-07-05,LRxGR,,12.616275488203042,1.1827758270190354,Fail
05-22-LE,2019-05-28,Eliza,Catherine,2018-03-12,F,IGDB,W,2019-11-12,LRx,,14.521858765067044,5.519620526088832,Fail
07-01-LG,2019-07-02,Goober,Graham,2018-04-15,M,IGDB,GD,2020-02-03,LRxGR,,14.554713649150909,7.096654962114211,Success
07-02-LH,2019-07-02,Herbie,Graham,2018-05-11,M,IGDB,GD,,LRxGR,,13.700486662970492,,Success
07-03-LE,2019-07-02,Evie,Rose,2018-03-12,F,IGDB,GD,2020-02-02,LRx,,15.671779708002218,7.06380007803035,Success
07-04-LZ,2019-07-02,Zac,Rose,2018-04-06,M,Private breeder,W,2019-10-25,LR,,14.850407605905666,3.778311669644141,Fail
07-11-LZ,2019-07-29,Ziggy,Rose,2018-04-06,M,Private breeder,W,2019-08-13,LR,,15.737489476169944,0.4928232612579313,Fail
07-12-LG,2019-06-16,Gav,Rose,2018-04-15,M,IGDB,AD,2020-01-28,LRxGR,,14.029035503809114,7.425203802952833,Success
07-13-LE,2019-07-30,Effie,Graham,2018-03-12,F,IGDB,GD,2020-02-03,LRx,,16.591716462350355,6.176718207766073,Success
07-14-LG,2019-07-21,Gretel,Catherine,2018-04-15,F,IGDB,AD,2019-11-29,LRxGR,,15.178956446744284,4.303989814985934,Success
07-15-LG,2019-07-29,Gilli,Frances,2018-04-15,F,IGDB,W,2019-10-01,LRxGR,,15.441795519415184,2.102712581367174,Fail
08-01-LH,2019-08-21,Harry,Rose,2018-05-11,M,IGDB,AD,2019-11-29,LRxGR,,15.343230867163596,3.2854884083862093,Success
08-02-LH,2019-08-21,Harvey,Rose,2018-05-11,M,IGDB,AD,2020-01-28,LRxGR,,15.343230867163596,5.256781453417935,Success
08-03-LH,2019-08-21,Hans,Graham,2018-05-11,M,IGDB,AD,2020-02-12,LRxGR,,15.343230867163596,5.749604714675866,Success
08-04-LH,2019-08-21,Harmony,Diana,2018-05-11,F,IGDB,AD,2019-11-29,LRxGR,,15.343230867163596,3.2854884083862093,Success
08-11-LJ,2019-08-28,Jira,Frances,2018-07-03,F,IGDB,GD,2020-02-03,LR,,13.83190619930594,5.223926569334073,Success
08-12-LH,2019-08-28,Hayley,Frances,2018-05-11,F,IGDB,W,2019-12-04,LRxGR,,15.573215055750632,3.219778640218485,Fail
08-13-LJ,2019-08-28,Jojo,Frances,2018-07-03,F,IGDB,AD,2019-11-29,LR,,13.83190619930594,3.0555042197991744,Success
09-01-LI,2019-09-04,Irrie,Frances,2018-06-28,F,IGDB,GD,2020-07-27,LRxGR,,14.226164808312284,10.743547095422905,Success
09-02-LJ,2019-09-04,Judson,Frances,2018-07-03,M,IGDB,GD,2020-06-08,LR,,14.061890387892976,9.133657775313662,Success
09-03-LJ,2019-09-04,Josie,Diana,2018-07-03,F,IGDB,GD,2020-08-17,LR,,14.061890387892976,11.433499661184008,Success
09-04-LJ,2019-09-04,Jazzi,"Rose, Diana",2018-07-03,F,IGDB,GD,2020-07-27,LR,,14.061890387892976,10.743547095422905,Success
10-01-LF,2019-10-02,Fergus,Graham,2018-03-16,M,IGDB,AD,2020-01-28,LR,,18.56300950738208,3.876876321895727,Success
10-02-LH,2019-10-02,Hollie,Graham,2018-05-11,F,IGDB,W,2019-11-26,LRxGR,,16.723135998685805,1.8070186246124151,Fail
10-03-LJ,2019-10-17,July,Graham,2018-07-03,F,IGDB,AD,2020-06-08,LR,,15.474650403499044,7.720897759707592,Success
