Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,End Date,Status,Video Start Time (HH:MM:SS),Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Familiarisation-Comments,Call Back-Start Time (MM:SS) ,Call Back-Response,Call Back-Comments,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Walking-Comments,Standing-Start Time (MM:SS) ,Standing-Response,Standing-Comments,Sitting-Start Time (MM:SS) ,Sitting-Response,Sitting-Comments,Lying-Start Time (MM:SS) ,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Lying-Comments,Body check-Start Time (MM:SS),Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Body Check-Comments,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Tea Towel-Comments,Distractions-Start Time (MM:SS),Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Distractions-Finish Time (MM:SS) ,Distractions-Comments,Kong-Presentation-Start Time (MM:SS) ,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Interaction-Finish Time (MM:SS),Kong-Return-Handler,Kong-Comments,Dog-Start Time (MM:SS),Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Dog-Comments,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Crate-Finish Time (MM:SS),Crate-Comments,Petting-Start Time (MM:SS),Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Finish Time (MM:SS),Petting-Responsiveness-After,Petting-Comments,Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Isolation-Comments,Reunion-Response,Reunion-Comments,Noise-Start Time (MM:SS),Noise-Time (MM:SS),Noise-Confidence,Noise-Walk Finish Time (MM:SS),Noise-Comments,Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Lip Smacking
Earl,04-02-LE,1,2019-05-20,B,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,29/11/2019,AD,,,5.0,1.0,1.0,,,,dog didn't move from beside the handler,,1,2,1,3,dog shows signs of stress by panting and occasionally biting the lead,,3,,,4.0,,,2,2.0,,panting during this time,,,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,,,,1,3,4,1,4,3.0,3.0,4.0,3,2.0,4,,,,2,"dog sat and waited, looked away once",,Left,3.0,1,1.0,,2.0,,,3,0.0,,,,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,Yes,,"may not have gone prior to test, may have a health problem",,1.0,1.0,3.0,,3.0,,,2.0,3.0,1.0,1.0,1.0,No,,"stayed at the gate initially, strolled around sniffing and went back to the gate",3.0,,,,4.0,,,,,,,,,,,,,
Douglas,04-03-LD,1,2019-05-20,A,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,06/08/2019,W,,,2.0,4.0,2.0,,,1.0,,,2,1,1,2,,3,2,,,4.0,Restless sit but maintained with handler support,,3,1.0,,"Very unsettled, shifting weight and needing constant handler support. Tail wagging and broke the stay at the end. ",,3.0,3,No,No,,"Change in demeanour, stiffened body posture but happy to wait until the check is complete",,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,,,,4,3,3,6,1,2.0,2.0,6.0,3,3.0,6,,,,5,"Attempted to get the kong as soon as handler had it in her hands, sat very fixated on kong, jumping up at handler toward end, and very eager throughout the concentration phase ",,Both,4.0,1,3.0,,3.0,,,5,0.0,,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,No,,,,1.0,1.0,4.0,,4.0,,,3.0,2.0,1.0,2.0,1.0,No,,,3.0,,,,4.0,,Minor startle - quick recovery. Investigates noise source (bucket),,,,,,,,,,,
Emmy,04-08-LE,1,2019-06-08,B,LRx,F,E,IGDB,Graham,12/03/2018,24/04/2019,19/08/2019,W,,,3.0,3.0,2.0,walks slowly around sniffing,,1.0,,,1,1,1,4,dog was very anxious in one corner which may have been due to a number of things such as the hoover under the camera which meant she didn't want to walk in a circle.,,1,"didn't use platform, platform made a slight noise when it went down, dog very anxious",,2.0,,,4,3.0,,"dog slid into when trying to do a sit, not asked but did the down instead of the sit. dog anxious but stayed down and did some sniffing.",,,3,No,No,,handler said that dog wouldn't go on the tale so they didn't try,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,picks tea towel up,,4,3,3,4,3,3.0,3.0,3.0,2,2.0,4,,,,2,"took a while to sit, then stands, then dog walks away eventually towards the end for a little while handler encourages back with treat",,Left,3.0,1,1.0,,2.0,handler put dog into a down,,4,1.0,,"dog not very interested initially, had a sniff near the handler and then went towards the other dog",,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,No,,dog constantly panting ,,1.0,1.0,3.0,,3.0,eventually moves away from handler,,3.0,2.0,1.0,3.0,1.0,No,does one small circle steadily walking,,3.0,,,,4.0,,initially a mild reaction to the sound and on the 2nd round she stopped and needed lots of encouragement. ,,,,,,,,,,,
Fargo,04-05-LF,1,2019-05-23,A,LR,M,F,IGDB,Graham,16/03/2018,24/04/2019,25/11/2019,GD,,,3.0,4.0,3.0,,,1.0,,,3,2,1,3,"While there was one time where Fargo sniffed the crate and it appeared like he was pulling, I would say this was more orientation than pulling. He was very distracted by his environment but never pulled out to attempt to approach any of the stimuli. Every now and then the tension on the lead went very slack and Fargo was falling behind but with minimal handler input he re-assumed his heel position. ",,2,Fargo broke his stand and was never asked to re-assume. He reassumes of his own accord later in the recording and then breaks it once more. . I have marked this as three attempts,,3.0,"Fargo assumed a sit, stand approach. The sit wasnt ever requested but was given as a response. However, he never maintained this sit and was constantly between the two behaviours. However, he is seated more than he stands and so i have marked this as 2 attempts",,4,2.0,,Fargo shifts his weight backward slightly. Handler is crouched beside him throughout the position and he is very engaged with the handler. I feel he would have likely broke this position without the level of support given. He is also seen sniffing. Definitely not settled enough considering the level of handler support he is given. ,,4.0,3,No,No,,Wasnt happy with paws being touched at all and a definite stiff body posture but was co-operative throughout.,,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,"While there was a very slight change in neutrality on the first response - it was barely noticeable. I did note, however, that the tea towel was not folded.",,6,2,3,2,2,2.0,2.0,3.0,3,3.0,4,,Picks the teddy up during the first phase,,4,Does lift hindquarters but sits back down without any handler intervention. Stares with profound interest but maintains good composure,,Righ,3.0,1,1.0,,1.0,Dog and handler very close to gate - so no need to follow,,5,1.0,,Is not called back but does go back to handler of own accord,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,,,,1.0,1.0,3.0,,2.0,,,4.0,1.0,2.0,,1.0,No,,Sounds like a slight whimper toward the middle - but not sure,3.0,,,,4.0,,"Very minor startle - did run toward the source but not excessively and was quite near to it to begin with. Good recovery,.",,,,,,,,,,,
Elf,04-07-LE,1,2019-05-22,A,LRx,M,E,IGDB,Frances,12/03/2018,24/04/2019,25/11/2019,GD,,,4.0,3.0,2.0,,,1.0,No need for call back ,,3,1,1,2,Loads of scenting,,4,Didnt use platform,,3.0,Broke when assessor spoke but otherwise excellent,,1,1.0,,"Starts ignoring the command when bored, and paws at handlers hand. Reluctant to maintain. And when he is laying down he is scenting quite alot ",,4.0,3,No,No,,Doesnt like hind quarter paws check,,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,,Only slight change in demeanour (stopped wagging tail) on second response. Inaudible groan - not sure if from him or from the crate dog for dog distraction,,3,2,3,5,2,2.0,2.0,5.0,3,3.0,4,,,,4,"lifts hindquarters briefly, yawns, intense start, whine, gets up and explores when he feels like he is not going to be getting it. ",,None,3.0,3,1.0,,2.0,,,1,0.0,,While there is a mild interest - as he is following the dog visually - he doesnt not make any attempt to go toward the dog. ,,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,No,,,,1.0,1.0,4.0,,5.0,"Took blanket out of the crate and didnt want to let go, even goes back for it when it is taken from him but this was definitely attention seeking behaviour as he drops the blanket when handler is out of sight and shows no interest thereafter.Also gives a small whine. ",,4.0,1.0,1.0,2.0,1.0,No,,,4.0,Activated body language but not over the top. Ignores the blanket,,,4.0,,No startle - but did want to investigate,,,,,,,,,,,
Dugg,05-01-LD,1,2019-05-22,B,LRxGR,M,D,IGDB,Graham,11/02/2018,01/05/2019,25/10/2019,AD,,,1.0,5.0,1.0,,,2.0,,,1,1,1,3,dog nice and relaxed,,3,,,2.0,"dog got up from the sit, asked again and dog ended up moving off the platform and reproached",,2,2.0,,moved from platform to ground handler stayed crouched beside the dog,,2.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,6,2,3,6,5,4.0,4.0,5.0,4,5.0,4,,highly distracted by food and teddy,,5,"initially sniffed around until dog realised that handler had a kong, then sat, stood and eventually jumped at handler x 3",,None,3.0,1,1.0,,2.0,,,5,2.0,,,,3.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,No,,,,1.0,3.0,3.0,,3.0,"dog picked up fleece from crate, handler initially held collar and then put dog on lead.",,4.0,2.0,2.0,1.0,4.0,No,,,4.0,"no petting took place, actively followed handler and handler put him on the lead. settled then",,,4.0,,very mild look at the bucket when it dropped,,,,,,,,,,,
Flora,05-02-LF,1,2019-05-23,A,LR,F,F,IGDB,Graham,16/03/2018,01/05/2019,20/12/2019,GD,,,2.0,5.0,1.0,Strange posture and gait due to the strap around chest. Quite activated and excited about the environment. Scratching constantly,,1.0,,,3,3,2,1,Goes between heel position and walking out. Very activated and excited still at this stage. Gave a slight leap at one stage and wanting to run out every now and then,,1,When initially asked to stand she sits and then subsequently lies down shortly after. Standing attempted toward end of the round. Very activated still and highly distracted by dogs barking in the background. Not focused really at all. ,,3.0,Sat without being asked to. Assessor said to leave her to sit for this round. Lies down soon after. Then assumes sit of own accord. Still very activated,,3,1.0,,"Broke down command but assessor said to allow dog to keep standing thereafter. Lying down he was shift weight, falling off sides, highly activated and needing a sufficient amount of handler support. He was very enthralled by his handler. ",,4.0,1,No,No,,highly activated and wanting to jump off the table. Tail wagging consistently and frantically and loads of panting,,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,"1st response - was moving but more out of hyperactivity than to try to get it off. However posture did stoop a little and thus not completely indifferent
2nd response - did move but toward the sound of the dogs barking. Still  very activated and very distracted by the dogs barking in the background",,3,2,6,6,2,2.0,4.0,6.0,4,5.0,6,,Doesnt lick the persons hand but does wag tail very frantically and I think perhaps doesnt approach due to handler intervention,,4,Whining and doesnt break sit but does nudge forward and backward to gain handlers attention,,None,4.0,1,2.0,,2.0,Intensely nudging and licking the kong ,,3,0.0,,Doesnt interact or even run after dog but when handlers leaves off toward the crate she shows more interest by going to gate and not wanting to come back,,2.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,3.0,4.0,No,,,,1.0,2.0,3.0,,2.0,,,3.0,3.0,2.0,3.0,1.0,No,,Ran toward with tail wagging frantically,4.0,,,,6.0,,"ran toward source, with heightened posture (curiosity)",,,,,,,,,,,
Fawn,05-03-LF,1,2019-05-29,B,LR,F,F,IGDB,Catherine,16/03/2018,01/05/2019,25/11/2019,GD,,,1.0,5.0,1.0,,,,dog had just gone to the handler after spending most of the time exploring handler,,3,3,2,2,handler and dog did loop x 5,,4,,,3.0,dog got up and sat again,,3,,,cant see if dog is settles as handler is in the way and stay crouched beside the dog ,,4.0,3,No,Yes,,dog anxious during vet check.,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,"on 2nd time, dog played and jumped to get tea towel from handler",,6,4,5,6,4,5.0,5.0,6.0,4,5.0,7,,"dog very distracted, handler used a lot of vocal leave it",,4,"jumped once when handler got given the kong, sat in front then fine, kept looking over briefly, got up and stood beside the handler",,None,3.0,3,1.0,,2.0,"handler put kong down a little bit away, dog picks up kong and moves slightly away from original spot",,6,2.0,,distraction dog carried dog toy,,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,No,,,,2.0,1.0,5.0,,5.0,dog gets excited,,,2.0,1.0,1.0,1.0,No,,,4.0,jumps up at handler,,,6.0,,pulls strongly to the bucket after it is dropped but ignores it the second time,,,,,,,,,,,
Eldin,05-05-LE,1,2019-05-29,B,LRx,M,E,IGDB,Rose,12/03/2018,01/05/2019,13/12/2019,GD,,,2.0,4.0,1.0,,,,dog had naturally come back to the handler,,2,2,2,3,,,4,,,4.0,,,4,3.0,,,,4.0,2,Yes,No,,anxious panting during vet exam,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,"doesn't move 2nd time, just turns around and removes it with his mouth",,6,5,5,1,5,4.0,4.0,5.0,3,4.0,7,,"didn't go near the food bowl the first time, went around 3 times",,4,"dog sat initially but then walk away, unsure if dog was aware of the stuffed kong, shown again and dog sat and waited for it.",,Both,3.0,2,2.0,,2.0,"dog sat for a short while and then walked away from the handler, dog may not have realised the handler had a stuffed kong, called dog back and showed him the kong.",,3,0.0,,dog moved after dog distraction dog had gone in,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,,just stood there,,1.0,1.0,3.0,,4.0,gets tea towel off the chair and brings to handler,,4.0,2.0,2.0,1.0,1.0,No,,jumped up on the wall ,3.0,,,,5.0,,wanted to go toward the bucket,,,,,,,,,,,
Diva,04-01-LD,1,2019-05-20,B,LRx,F,D,IGDB,Catherine,11/02/2018,24/04/2019,13/12/2019,GD,,,2.0,4.0,1.0,,,1.0,,,2,1,1,2,,,3,,,2.0,,,4,3.0,,dog went down herself ,,3.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,5,3,4,5,5,3.0,4.0,4.0,3,3.0,4,,,,2,sits calmly,,None,3.0,1,1.0,,2.0,,,5,0.0,,dog follows handler when they move towards the crate,,3.0,1.0,3.0,5.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,No,,,,1.0,1.0,3.0,,2.0,"dog initially walks away from handler when first left out, and then interacts with handler",,4.0,2.0,2.0,2.0,1.0,No,,,3.0,"calmly interacts with handler, moves away to look at everyone else and comes back again",,,4.0,,,,,,,,,,,,,
