Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Label,Outcome,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence
Earl,04-02-LE,2,2019-07-03,B,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,1.0,Success,14:34:35,0:16:56,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,1,3,4,3,3,3.0,3.0,3.0,2.0,2.0,4.0,2.0,settled,Left,3.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,No,4.0,4.0
Douglas,04-03-LD,2,2019-07-04,A,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,0.0,Fail,14:31:54,0:17:35,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,3,2,3,6,2,2.0,3.0,6.0,4.0,4.0,4.0,5.0,"Overly excited, mouthing at and jumping at handler for the kong. Eager to receive and struggles to maintain composure",Both,4.0,3.0,5.0,4.0,6.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,No,4.0,4.0
Emmy,04-08-LE,2,2019-08-12,B,LRx,F,E1,IGDB,2018-03-12,2019-04-24,2019-08-19,117 days,W,0.0,Fail,14:21:07,0:17:43,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,1,4,4,3,2,3.0,2.0,2.0,1.0,1.0,4.0,2.0,sits but looks away regularly,Both,3.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,No,1.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,No,4.0,5.0
Fargo,04-05-LF,2,2019-07-03,A,LR,M,F1,IGDB,2018-03-16,2019-04-24,2019-11-25,215 days,GD,2.0,Success,15:09:06,0:16:39,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,4.0,3.0,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,1,2,2,4,2,2.0,2.0,4.0,2.0,2.0,4.0,4.0,"Breaks sit throughout, circles handler and also tries to exhibit good behaviour to get the handler to give the kong (lies down)",Righ,3.0,1.0,2.0,2.0,6.0,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,No,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,No,4.0,3.0
Dugg,05-01-LD,2,2019-07-17,B,LRxGR,M,D1,IGDB,2018-02-11,2019-05-01,2019-10-25,177 days,AD,1.0,Success,14:50:56,0:12:48,2.0,4.0,2.0,,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3,3,1,4,2,3.0,3.0,3.0,3.0,2.0,4.0,2.0,would look away only briefly ,Left,3.0,1.0,1.0,2.0,5.0,,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,No,2.0,1.0,4.0,5.0,3.0,2.0,2.0,3.0,2.0,No,5.0,4.0
Elf,04-07-LE,2,2019-07-03,A,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-25,215 days,GD,2.0,Success,15:39:45,0:15:12,5.0,5.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,3,2,2,6,1,2.0,2.0,2.0,3.0,4.0,4.0,4.0,"He is very ""all over the place"" - not sure what to be more excited about - the kong or the assessor or the dog barking. But he is definitely showing high interest in the kong. Lifts hind quarters and stands with tail wagging excitedly, whines and lip smacks",Left,3.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,No,5.0,4.0
Flora,05-02-LF,2,2019-07-16,A,LR,F,F1,IGDB,2018-03-16,2019-05-01,2019-12-20,233 days,GD,2.0,Success,13:34:50,0:22:23,1.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,1,3,3,5,1,2.0,3.0,2.0,2.0,4.0,6.0,2.0,Well behaved - good self modulation,Left,3.0,1.0,1.0,2.0,7.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,3.0,4.0,1.0,1.0,,1.0,No,4.0,6.0
Zeb,05-04-LZ,2,2019-07-17,A,LR,M,Z1,Private breeder,2018-04-06,2019-05-01,2019-08-06,97 days,W,0.0,Fail,14:11:54,0:15:55,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,4.0,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,3,2,3,6,1,2.0,2.0,6.0,3.0,5.0,4.0,5.0,Jumps up twice during first presentation but maintains sit during the concentration phase - still quite enthralled though,Left,3.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,4.0,4.0,3.0,1.0,,1.0,No,2.0,4.0
Fawn,05-03-LF,2,2019-07-17,B,LR,F,F1,IGDB,2018-03-16,2019-05-01,2019-11-25,208 days,GD,2.0,Success,13:35:14,0:15:19,1.0,5.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6,5,6,6,6,5.0,6.0,6.0,4.0,5.0,6.0,4.0,"dog sits, looks briefly away twice",None,3.0,2.0,1.0,2.0,6.0,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,No,1.0,1.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,No,5.0,6.0
Eldin,05-05-LE,2,2019-07-17,B,LRx,M,E1,IGDB,2018-03-12,2019-05-01,2019-12-13,226 days,GD,2.0,Success,15:34:19,0:16:15,4.0,3.0,2.0,,2.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,4.0,3.0,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,2,4,3,4,2,3.0,3.0,3.0,3.0,3.0,5.0,4.0,got up once from the sit to move closer to the handler,Both,3.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,1.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,No,4.0,4.0
