Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Label,Outcome,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence
Diva,04-01-LD,1,2019-05-20,A,LRx,F,D1,IGDB,2018-02-11,2019-04-24,2019-12-13,233 days,GD,2.0,Success,14:46:21,0:14:36,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,6,3,4,5,5,3.0,3.0,3.0,2.0,,2.0,4.0,"Diva was well behaved during this exercise with only one hind-quarter shuffle. But from her fixation on the kong, and un-diverted attention (apart from one gaze away) she was clearly very interested in it. ",None,3.0,1.0,1.0,,6.0,2.0,4.0,1.0,3.0,4.0,1.0,,,4.0,3.0,5.0,,No,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,No,5.0,4.0
Diva,04-01-LD,1,2019-05-20,B,LRx,F,D1,IGDB,2018-02-11,2019-04-24,2019-12-13,233 days,GD,2.0,Success,14:46:21,0:14:36,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,3,4,5,4,3.0,3.0,3.0,3.0,,4.0,2.0,"settled. reminded once to sit, looked away twice",None,3.0,2.0,1.0,,6.0,,4.0,1.0,2.0,4.0,2.0,,,4.0,4.0,6.0,,No,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,No,3.0,4.0
Earl,04-02-LE,1,2019-05-20,A,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,1.0,Success,15:28:25,0:15:18,4.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,1,2,4,1,3,2.0,2.0,3.0,1.0,,2.0,2.0,"Kept seated, didnt shuffle, looks away for a time, and though he seems fixated I think he is more waiting on handler to make next move rather than having and very high interest over the kong",Left,3.0,1.0,1.0,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,2.0,,Yes,2.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,No,5.0,3.0
Earl,04-02-LE,1,2019-05-20,B,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,1.0,Success,15:28:25,0:15:18,4.0,2.0,4.0,,1.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,,3.0,,,No,Yes,Yes,Yes,Yes,,No,No,Yes,No,No,No,1,3,4,1,4,3.0,3.0,4.0,3.0,,3.0,4.0,stayed sitting,,3.0,1.0,1.0,,4.0,1.0,1.0,,4.0,1.0,1.0,,,1.0,1.0,2.0,,Yes,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,,4.0,4.0
Earl,04-02-LE,2,2019-07-03,A,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,1.0,Success,14:34:35,0:16:56,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,3.0,3.0,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,1,2,3,3,3,2.0,3.0,3.0,1.0,,2.0,2.0,More interested I would say this time than last. Did break the sit once but otherwise quite behaved and turned head away twice,Left,3.0,1.0,2.0,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,2.0,,No,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,No,5.0,4.0
Earl,04-02-LE,2,2019-07-03,B,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,1.0,Success,14:34:35,0:16:56,4.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,,,,Yes,No,No,No,No,,No,Yes,No,No,No,1,2,3,3,3,2.0,3.0,3.0,3.0,,3.0,2.0,"moved once, looked away once",Left,3.0,1.0,2.0,,3.0,1.0,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,3.0,,No,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,No,4.0,3.0
Douglas,04-03-LD,1,2019-05-20,A,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,0.0,Fail,13:36:29,0:15:12,2.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,4,3,3,6,1,3.0,2.0,6.0,3.0,4.0,5.0,5.0,"tail waging, lifts hind quarters and mouths and then at the end jumps up at handler. ",Both,3.0,1.0,3.0,4.0,6.0,2.0,1.0,2.0,1.0,3.0,2.0,,,3.0,1.0,5.0,,No,1.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,No,4.0,5.0
Douglas,04-03-LD,1,2019-05-20,B,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,0.0,Fail,13:36:29,0:15:12,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3,4,4,5,1,3.0,3.0,5.0,3.0,3.0,6.0,5.0,generally sitting but towards the end he jumps up to get the kong,Left,3.0,1.0,2.0,4.0,6.0,1.0,2.0,2.0,2.0,3.0,1.0,,,3.0,1.0,3.0,,No,1.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,No,4.0,5.0
Douglas,04-03-LD,2,2019-07-04,A,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,0.0,Fail,14:31:54,0:17:35,2.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,3,3,4,6,2,3.0,3.0,5.0,4.0,4.0,5.0,5.0,High level of excitement. Jumps up immediately and then once by breaking his sit. His tail is constantly wagging and he is showing anxiety over wanting the toy including lip smacking and shifting weight. ,Both,3.0,3.0,5.0,4.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,No,1.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,No,4.0,3.0
Douglas,04-03-LD,2,2019-07-04,B,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,0.0,Fail,14:31:54,0:17:35,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,1.0,2.0,2.0,3.0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1,3,4,5,1,3.0,4.0,5.0,4.0,4.0,4.0,4.0,"jumped to grab kong prior to being asked to sit, broke sit once",Left,4.0,3.0,4.0,4.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,,,1.0,1.0,2.0,,No,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,No,4.0,3.0
