Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Label,Outcome,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarisation-Dog-Call,S-Obedience_mean,S-Obedience_prod,S-Sensitivity_mean,S-Sensitivity_prod,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Earl,04-02-LE,1,20/05/2019,B,LRx,M,E1,IGDB,12/03/2018,24/04/2019,29/11/2019,219 days,AD,1,Success,15:28:25,00:15:18,5,1,1,,1,2,1,3,3,4,2,2,,3,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,1,3,4,1,4,3,3,4,3,2,4,2,"dog sat and waited, looked away once",Left,3,1,1,2,4,1,1,2,3,1,1,2,1,1,1,2,2,Yes,1,1,3,4,2,3,1,1,1,No,4,4,1.5,2,2.5,6,1,4,3,5,1,1,,3,24,1,0,2.5,0.5,2.25,12,3.5,144,1.25,2,12,2.5,4,2,12,1.75,6,1,1,2,3,2,3,2.5,4,1.333333333,2,2,3.666666667,48
Douglas,04-03-LD,1,20/05/2019,A,LRx,M,D1,IGDB,11/02/2018,24/04/2019,06/08/2019,104 days,W,0,Fail,13:36:29,00:15:12,2,4,2,1,2,1,1,2,2,4,3,1,3,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4,3,3,6,1,2,2,6,3,3,6,5,"Attempted to get the kong as soon as handler had it in her hands, sat very fixated on kong, jumping up at handler toward end, and very eager throughout the concentration phase ",Both,4,1,3,3,6,1,1,2,2,1,1,1,2,3,1,3,3,No,1,1,4,5,3,2,1,2,1,No,4,4,1,1,3,9,2,8,2,4,1,1,0,3,24,1.5,0,2.5,1.833333333,4,216,2.75,24,-1.25,3.75,180,3.5,6,2.5,27,1.5,4,1.666666667,3,2.5,4,2.5,4,3,5,2,6,1,4.333333333,80
Emmy,04-08-LE,1,18/06/2019,B,LRx,F,E1,IGDB,12/03/2018,24/04/2019,19/08/2019,117 days,W,0,Fail,14:24:05,00:16:39,3,3,2,1,1,1,1,4,1,2,4,3,,3,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4,3,3,4,3,3,3,3,2,2,4,2,"took a while to sit, then stands, then dog walks away eventually towards the end for a little while handler encourages back with treat",Left,3,1,1,2,5,2,2,2,3,3,1,1,1,3,2,3,3,No,1,1,3,4,3,2,1,3,1,No,4,4,1,1,2,4,1,3,2.5,6,1.5,2,-1,2.333333333,8,1,0,3.5,3.5,3.5,144,3,81,-0.5,2,12,3.5,10,2.75,54,1.5,3,2.666666667,18,2,3,2,3,2.5,4,2.333333333,9,1,3.666666667,48
Fargo,04-05-LF,1,23/05/2019,A,LR,M,F1,IGDB,16/03/2018,24/04/2019,25/11/2019,215 days,GD,2,Success,13:54:52,00:14:32,3,4,3,1,3,2,1,3,2,3,4,2,4,3,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,6,2,3,2,2,2,2,3,3,3,4,4,Does lift hindquarters but sits back down without any handler intervention. Stares with profound interest but maintains good composure,Righ,3,1,1,1,6,2,1,3,2,1,1,1,1,1,1,1,1,No,1,1,3,3,4,1,2,,1,No,4,4,1.5,2,3,9,1.5,7,3,9,1.5,2,-1,3,24,1.75,0,0.5,0,3.25,72,2.25,24,-1,2.25,12,4,12,1.25,2,1.25,2,1,1,2,3,2,3,2,3,2.5,4,-1,3.333333333,36
Elf,04-07-LE,1,22/05/2019,A,LRx,M,E1,IGDB,12/03/2018,24/04/2019,25/11/2019,215 days,GD,2,Success,15:27:46,00:15:39,4,3,2,1,3,1,1,2,4,3,1,1,4,3,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,3,2,3,5,2,2,2,5,3,3,4,4,"lifts hindquarters briefly, yawns, intense start, whine, gets up and explores when he feels like he is not going to be getting it. ",None,3,3,1,2,2,1,1,1,2,2,3,1,1,2,1,3,3,No,1,1,4,6,4,1,1,2,1,No,5,4,1,1,3,9,2,8,3,8,1,1,0,2.666666667,12,1.75,0,1,0.5,3.25,90,2.75,40,-0.5,2.5,24,1.5,2,2.75,36,1.75,6,1.666666667,4,2.5,4,2.5,4,3.5,6,2.333333333,8,0,5,120
Dugg,05-01-LD,1,22/05/2019,B,LRxGR,M,D1,IGDB,11/02/2018,01/05/2019,25/10/2019,177 days,AD,1,Success,14:15:42,00:15:00,1,5,1,2,1,1,1,3,3,2,2,2,2,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,6,2,3,6,5,4,4,5,4,5,4,5,"initially sniffed around until dog realised that handler had a kong, then sat, stood and eventually jumped at handler x 3",None,3,1,1,2,6,3,3,1,2,3,1,1,1,3,4,3,3,No,1,3,3,4,4,2,2,1,4,No,5,4,1,1,4.5,20,3.5,19,1,1,2.5,6,-1,2.333333333,12,1.25,0,2.5,2.5,4.25,216,4.5,400,0.25,2.75,30,4.5,18,3.25,108,1.25,2,3.333333333,36,2,3,3,9,3.5,12,3,16,0,4,60
Flora,05-02-LF,1,23/05/2019,A,LR,F,F1,IGDB,16/03/2018,01/05/2019,20/12/2019,233 days,GD,2,Success,14:26:31,00:15:14,2,5,1,1,3,3,2,1,1,3,3,1,4,1,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,3,2,6,6,2,2,4,6,4,5,6,4,Whining and doesnt break sit but does nudge forward and backward to gain handlers attention,None,4,1,2,2,4,1,2,1,1,4,2,1,1,4,2,3,4,No,1,2,3,3,3,3,2,3,1,No,5,6,2.5,6,4.5,20,2,14,1.5,2,1,1,0,2.333333333,9,1.25,0,0.5,0,4.25,216,3.5,96,-0.75,3,64,2.5,4,3.25,96,1.25,2,3.333333333,32,2,3,2.5,6,2.5,6,2.333333333,9,1,3.666666667,45
Fawn,05-03-LF,1,29/05/2019,B,LR,F,F1,IGDB,16/03/2018,01/05/2019,25/11/2019,208 days,GD,2,Success,14:58:17,00:16:42,1,5,1,,3,3,2,2,4,3,3,,4,3,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6,4,5,6,4,5,5,6,4,5,7,4,"jumped once when handler got given the kong, sat in front then fine, kept looking over briefly, got up and stood beside the handler",None,3,3,1,2,7,3,1,1,3,2,1,2,1,1,1,2,2,No,2,1,5,6,,2,1,1,1,No,5,6,2.5,6,4.5,20,2,14,1,1,3,3,,3.333333333,36,2,0,3.5,3.5,5.25,720,5,600,-0.25,2.5,24,5,21,2.25,16,1.75,6,1.333333333,2,3.5,10,3,5,3.5,6,1,1,1,5.333333333,150
Zeb,05-04-LZ,1,22/05/2019,A,LR,M,Z1,Private breeder,06/04/2018,01/05/2019,06/08/2019,97 days,W,0,Fail,14:51:27,00:15:38,5,2,1,1,2,1,1,2,4,4,4,4,,3,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,2,2,6,1,2,4,5,3,5,4,4,"Didnt want to sit at first and once he saw the handler had treats was more obsessed with treats, But before that he was definitely heavily enthralled with the kong. No seriously inappropriate behaviour shown ",Righ,3,1,1,2,5,3,2,3,4,1,1,1,1,1,1,1,1,No,1,1,3,4,4,3,1,1,1,No,4,4,1,1,4,15,3,14,3,5,2,3,-2,4,64,1,0,0,0,3.25,72,3,40,-0.25,2.5,24,4,15,1.5,4,1.75,4,1,1,2,3,2,3,2.5,4,2,4,2,3.666666667,48
Eldin,05-05-LE,1,29/05/2019,B,LRx,M,E1,IGDB,12/03/2018,01/05/2019,13/12/2019,226 days,GD,2,Success,14:19:18,00:16:11,2,4,1,,2,2,2,3,4,4,4,3,4,2,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,6,5,5,1,5,4,4,5,3,4,7,4,"dog sat initially but then walk away, unsure if dog was aware of the stuffed kong, shown again and dog sat and waited for it.",Both,3,2,2,2,4,1,1,2,2,1,1,1,1,1,1,2,2,No,1,1,3,5,4,2,2,1,1,No,4,5,2,4,3.5,12,1.5,8,1.5,2,1,1,,4,64,2,0,3.5,2.833333333,4.25,150,4.5,400,0.25,2.75,48,2.5,4,2,12,1.25,2,1,1,2,3,2,3,3,5,2,4,0,4,60
