Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Label,Training,Working,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarization-Dog-Call,S-Obedience_mean,S-Obedience_prod,S-Sensitivity_mean,S-Sensitivity_prod,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Earl,04-02-LE,2,03/07/2019,B,LRx,M,E1,IGDB,12/03/2018,24/04/2019,29/11/2019,219 days,AD,1,Success,Fail,14:34:35,00:16:56,4,2,1,2,1,1,1,3,4,2,1,2,2,3,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,1,3,4,3,3,3,3,3,2,2,4,2,settled,Left,3,1,2,2,4,1,1,2,3,1,1,1,1,1,1,2,2,No,1,1,3,4,4,1,1,1,1,No,4,4,1,1,2,4,1,3,2.5,4,1.5,2,1,2.333333333,8,1.25,0,0.5,0.5,2.75,36,3,81,0.25,2.25,24,2.5,4,2,12,1.5,3,1,1,2,3,2,3,2.5,4,2,4,0,3.666666667,48
Douglas,04-03-LD,2,04/07/2019,A,LRx,M,D1,IGDB,11/02/2018,24/04/2019,06/08/2019,104 days,W,0,Fail,Fail,14:31:54,00:17:35,1,5,1,1,2,1,1,2,4,3,1,1,2,3,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,3,2,3,6,2,2,3,6,4,4,4,5,"Overly excited, mouthing at and jumping at handler for the kong. Eager to receive and struggles to maintain composure",Both,4,3,5,4,6,2,2,3,1,1,1,1,1,1,1,1,2,No,1,1,3,4,3,2,1,1,1,No,4,4,1,1,4,16,3,15,1,1,1.5,2,-1,2.666666667,12,1.25,0,1.833333333,2.5,3.5,108,3.25,72,-0.25,4.5,400,4,12,1.75,8,1,1,1,1,2,3,2,3,2.5,4,1.666666667,3,1,3.666666667,48
Emmy,04-08-LE,2,12/08/2019,B,LRx,F,E1,IGDB,12/03/2018,24/04/2019,19/08/2019,117 days,W,0,Fail,Fail,14:21:07,00:17:43,2,4,1,1,1,1,1,4,4,4,4,3,2,3,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,1,4,4,3,2,3,2,2,1,1,4,2,sits but looks away regularly,Both,3,2,2,2,4,1,1,3,3,2,1,1,1,2,1,2,2,No,1,1,3,4,3,2,1,2,1,No,4,5,1,1,1,1,0,0,1.5,2,1,1,0,4,64,1.25,0,1.666666667,1.666666667,3,48,2.25,24,-0.75,2.25,24,2.5,4,1.75,8,1.5,3,1.666666667,4,2,3,2,3,2.5,4,2,6,1,3.666666667,48
Fargo,04-05-LF,2,03/07/2019,A,LR,M,F1,IGDB,16/03/2018,24/04/2019,25/11/2019,215 days,GD,2,Success,Success,15:09:06,00:16:39,2,4,1,1,1,1,1,2,3,1,4,3,4,3,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,1,2,2,4,2,2,2,4,2,2,4,4,"Breaks sit throughout, circles handler and also tries to exhibit good behaviour to get the handler to give the kong (lies down)",Righ,3,1,2,2,6,,1,3,1,1,1,2,1,,1,1,2,No,1,1,2,4,4,1,1,1,1,No,4,3,1,1,2,4,1,3,1.5,2,1,1,,2.666666667,12,1.75,0,1,1.166666667,2.25,16,2.5,32,0.25,2.75,48,6,6,1.5,4,1.25,2,1,1,1.5,2,1.5,2,2.5,4,2,4,0,3.333333333,32
Dugg,05-01-LD,2,17/07/2019,B,LRxGR,M,D1,IGDB,11/02/2018,01/05/2019,25/10/2019,177 days,AD,1,Success,Success,14:50:56,00:12:48,2,4,2,,2,2,1,3,3,2,3,3,3,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3,3,1,4,2,3,3,3,3,2,4,2,would look away only briefly ,Left,3,1,1,2,5,,2,2,2,3,2,3,3,3,2,3,3,No,2,1,4,5,3,2,2,3,2,No,5,4,1.5,2,2.5,6,1,4,2,4,,1,,2.666666667,18,1.5,0,2.5,2.5,2.75,36,2.75,54,0,2,12,5,5,2.75,54,2.5,36,2.666666667,18,3,8,2.5,4,3,5,2.666666667,18,0,4.666666667,100
Elf,04-07-LE,2,03/07/2019,A,LRx,M,E1,IGDB,12/03/2018,24/04/2019,25/11/2019,215 days,GD,2,Success,Success,15:39:45,00:15:12,5,5,1,1,3,4,3,1,3,4,4,3,4,3,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,3,2,2,6,1,2,2,2,3,4,4,4,"He is very ""all over the place"" - not sure what to be more excited about - the kong or the assessor or the dog barking. But he is definitely showing high interest in the kong. Lifts hind quarters and stands with tail wagging excitedly, whines and lip smacks",Left,3,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,2,No,1,1,3,3,4,1,2,2,1,No,5,4,3.5,12,3.5,12,0,0,3,5,1,1,0,3.666666667,48,1.75,0,2.5,0.333333333,3.25,72,1.75,8,-1.5,2.5,24,2.5,4,1.75,6,1,1,1,1,2,3,2,3,2,3,2.333333333,8,-1,3.666666667,45
Flora,05-02-LF,2,16/07/2019,A,LR,F,F1,IGDB,16/03/2018,01/05/2019,20/12/2019,233 days,GD,2,Success,Success,13:34:50,00:22:23,1,5,1,1,3,3,2,2,3,3,4,3,4,4,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,1,3,3,5,1,2,3,2,2,4,6,2,Well behaved - good self modulation,Left,3,1,1,2,7,2,1,3,2,1,1,1,1,1,1,1,2,No,1,1,3,3,4,1,1,,1,No,4,6,2.5,6,3,8,0.5,2,1,1,1.5,2,-1,3.333333333,36,2,0,1.166666667,0.5,3,45,2,12,-1,2,12,4.5,14,1.5,4,1.25,2,1,1,2,3,2,3,2,3,2.5,4,0,3.333333333,36
Zeb,05-04-LZ,2,17/07/2019,A,LR,M,Z1,Private breeder,06/04/2018,01/05/2019,06/08/2019,97 days,W,0,Fail,Fail,14:11:54,00:15:55,1,5,1,1,1,1,1,4,4,1,2,3,1,4,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,3,2,3,6,1,2,2,6,3,5,4,5,Jumps up twice during first presentation but maintains sit during the concentration phase - still quite enthralled though,Left,3,3,3,4,3,2,1,1,4,1,1,1,1,1,1,1,2,No,1,1,3,4,4,3,1,,1,No,2,4,1,1,4,15,3,14,1,1,1.5,2,-1,2.333333333,8,1.25,0,0.5,0.5,3.5,108,2.75,24,-0.75,3.75,180,2.5,6,2,8,1.75,4,1,1,2,3,2,3,2.5,4,2.5,4,2,3,24
Fawn,05-03-LF,2,17/07/2019,B,LR,F,F1,IGDB,16/03/2018,01/05/2019,25/11/2019,208 days,GD,2,Success,Success,13:35:14,00:15:19,1,5,1,1,3,4,3,1,3,4,4,3,4,3,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6,5,6,6,6,5,6,6,4,5,6,4,"dog sits, looks briefly away twice",None,3,2,1,2,6,,1,2,3,3,1,1,1,3,1,2,2,No,1,1,4,5,4,2,2,2,1,No,5,6,3.5,12,4.5,20,1,8,1,1,1,1,,3.666666667,48,1.75,0,3.5,3.5,5.75,1080,5.75,1080,0,2.5,24,6,6,2,12,1.5,3,2.333333333,9,2.5,4,2.5,4,3,5,2.333333333,8,0,4.666666667,100
Eldin,05-05-LE,2,17/07/2019,B,LRx,M,E1,IGDB,12/03/2018,01/05/2019,13/12/2019,226 days,GD,2,Success,Success,15:34:19,00:16:15,4,3,2,,2,4,2,1,4,3,4,3,4,3,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,2,4,3,4,2,3,3,3,3,3,5,4,got up once from the sit to move closer to the handler,Both,3,2,2,2,4,1,1,2,3,1,1,1,1,1,1,2,2,No,1,1,3,4,4,2,2,1,1,No,4,4,3,8,3,9,0,1,3,8,1,1,,3.666666667,48,1.75,0,2.833333333,2.833333333,3.25,96,2.75,54,-0.5,2.75,48,2.5,4,2,12,1.5,3,1,1,2,3,2,3,2.5,4,2,4,0,3.666666667,48
