Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Outcome,Working,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Obedience_mean,S-Obedience_prod,S-Sensitivity,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarisation-Dog-Call,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Diva,04-01-LD,1,2019-05-20,B,LRx,F,D1,IGDB,2018-02-11,2019-04-24,2019-12-13,233 days,GD,Success,Success,14:46:21,0:14:36,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,3,4,5,4,3.0,3.0,3.0,3.0,,4.0,2.0,"settled. reminded once to sit, looked away twice",None,3.0,2.0,1.0,,6.0,,4.0,1.0,2.0,4.0,2.0,,,4.0,4.0,6.0,,No,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,No,3.0,4.0,1.5,2.0,1.5,2.0,3.0,3.0,1.5,1.0,3.333333333333333,36.0,2.5,2.5,3.5,4.25,300,3.25,108.0,-1.0,2.0,6.0,6.0,6.0,1.0,1.0,,4.666666666666667,96.0,2.0,4.0,4.0,64.0,1.5,2.0,1.5,2.0,2.0,3.0,2.333333333333333,9.0,0.0,2.6666666666666665,18.0
Diva,04-01-LD,1,2019-05-20,B,LRx,F,D1,IGDB,2018-02-11,2019-04-24,2019-12-13,233 days,GD,Success,Success,14:46:21,0:14:36,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,5,3,4,5,5,3.0,4.0,4.0,3.0,3.0,4.0,2.0,sits calmly,None,3.0,1.0,1.0,2.0,6.0,1.0,3.0,1.0,3.0,5.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,No,1.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,No,4.0,4.0,1.5,2.0,1.0,1.0,3.0,9.0,2.0,8.0,3.0,24.0,3.0,2.5,2.5,4.25,300,4.0,240.0,-0.25,2.0,12.0,3.5,6.0,1.0,1.0,0.0,3.25,108.0,2.25,18.0,3.6666666666666665,45.0,2.0,3.0,2.0,3.0,2.0,3.0,2.333333333333333,8.0,0.0,3.333333333333333,36.0
Earl,04-02-LE,1,2019-05-20,A,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,Success,Medical,15:28:25,0:15:18,4.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,1,2,4,1,3,2.0,2.0,3.0,1.0,,2.0,2.0,"Kept seated, didnt shuffle, looks away for a time, and though he seems fixated I think he is more waiting on handler to make next move rather than having and very high interest over the kong",Left,3.0,1.0,1.0,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,2.0,,Yes,2.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,No,5.0,3.0,4.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,3.333333333333333,36.0,2.0,1.0,0.3333333333333333,2.0,8,2.5,36.0,0.5,2.0,6.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,2.0,3.0,1.0,1.0,2.5,6.0,2.0,3.0,1.5,2.0,1.6666666666666667,3.0,0.0,3.333333333333333,30.0
Earl,04-02-LE,1,2019-05-20,A,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,Success,Medical,15:28:25,0:15:18,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,1,2,4,1,3,2.0,2.0,3.0,2.0,2.0,4.0,2.0,"Calm approach, happy with tail wagging, no jumping up or exhibition of inappropriate behaviour",Left,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,Yes,2.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,No,4.0,4.0,3.0,5.0,1.0,1.0,2.0,4.0,1.0,3.0,3.333333333333333,36.0,2.0,1.8333333333333333,0.5,2.0,8,2.5,36.0,0.5,2.0,12.0,1.0,1.0,1.0,1.0,0.0,2.0,12.0,1.75,6.0,1.0,1.0,2.5,6.0,2.0,3.0,2.5,4.0,1.6666666666666667,3.0,2.0,3.6666666666666665,48.0
Earl,04-02-LE,2,2019-07-03,A,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,Success,Medical,14:34:35,0:16:56,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,3.0,3.0,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,1,2,3,3,3,2.0,3.0,3.0,1.0,,2.0,2.0,More interested I would say this time than last. Did break the sit once but otherwise quite behaved and turned head away twice,Left,3.0,1.0,2.0,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,2.0,,No,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,No,5.0,4.0,3.5,12.0,1.0,1.0,1.0,1.0,0.0,0.0,2.333333333333333,8.0,3.0,0.3333333333333333,0.3333333333333333,2.25,18,2.75,54.0,0.5,2.333333333333333,12.0,1.5,2.0,1.5,2.0,1.0,2.333333333333333,8.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,1.5,2.0,2.0,4.0,0.0,3.333333333333333,30.0
Earl,04-02-LE,2,2019-07-03,A,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,Success,Medical,14:34:35,0:16:56,5.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,1,2,3,3,3,2.0,2.0,3.0,2.0,2.0,4.0,4.0,"Excited when first saw kong with handler, lifted hind quarters to sniff the kong during the concentration phase, and very locked stares",Left,3.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,No,4.0,3.0,4.0,15.0,1.0,1.0,2.0,4.0,1.0,3.0,2.333333333333333,8.0,2.5,0.5,0.5,2.25,18,2.5,36.0,0.25,2.75,48.0,2.0,3.0,1.0,1.0,0.0,1.75,6.0,2.0,8.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,2.0,4.0,0.0,3.6666666666666665,48.0
Earl,04-02-LE,1,2019-05-20,B,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,Success,Medical,15:28:25,0:15:18,4.0,2.0,4.0,,1.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,,3.0,,,No,Yes,Yes,Yes,Yes,,No,No,Yes,No,No,No,1,3,4,1,4,3.0,3.0,4.0,3.0,,3.0,4.0,stayed sitting,,3.0,1.0,1.0,,4.0,1.0,1.0,,4.0,1.0,1.0,,,1.0,1.0,2.0,,Yes,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,,4.0,4.0,4.0,16.0,1.5,2.0,3.0,3.0,1.5,1.0,3.333333333333333,36.0,3.0,3.0,0.5,2.25,12,3.5,144.0,1.25,2.6666666666666665,12.0,2.5,4.0,1.0,1.0,,1.5,2.0,2.5,4.0,1.0,1.0,2.0,3.0,2.0,3.0,1.5,2.0,1.3333333333333333,2.0,1.0,3.0,24.0
Earl,04-02-LE,1,2019-05-20,B,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,Success,Medical,15:28:25,0:15:18,5.0,1.0,1.0,,1.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,1,3,4,1,4,3.0,3.0,4.0,3.0,2.0,4.0,2.0,"dog sat and waited, looked away once",Left,3.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,Yes,1.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,No,4.0,4.0,3.0,5.0,1.5,2.0,2.5,6.0,1.0,4.0,3.0,24.0,3.0,2.5,0.5,2.25,12,3.5,144.0,1.25,2.0,12.0,2.5,4.0,1.0,1.0,,2.0,12.0,1.75,6.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,1.3333333333333333,2.0,2.0,3.6666666666666665,48.0
Earl,04-02-LE,2,2019-07-03,B,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,Success,Medical,14:34:35,0:16:56,4.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,,,,Yes,No,No,No,No,,No,Yes,No,No,No,1,2,3,3,3,2.0,3.0,3.0,3.0,,3.0,2.0,"moved once, looked away once",Left,3.0,1.0,2.0,,3.0,1.0,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,3.0,,No,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,No,4.0,3.0,4.0,16.0,1.5,2.0,3.0,3.0,1.5,1.0,2.6666666666666665,16.0,2.5,0.4,0.4,2.25,18,2.75,54.0,0.5,2.333333333333333,12.0,2.0,3.0,1.5,2.0,1.0,2.333333333333333,9.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,0.0,3.333333333333333,36.0
Earl,04-02-LE,2,2019-07-03,B,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,Success,Medical,14:34:35,0:16:56,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,1,3,4,3,3,3.0,3.0,3.0,2.0,2.0,4.0,2.0,settled,Left,3.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,No,4.0,4.0,2.5,4.0,1.0,1.0,2.0,4.0,1.0,3.0,2.333333333333333,8.0,2.5,0.5,0.5,2.75,36,3.0,81.0,0.25,2.25,24.0,2.5,4.0,1.5,2.0,1.0,2.0,12.0,1.5,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,2.0,4.0,0.0,3.6666666666666665,48.0
Douglas,04-03-LD,1,2019-05-20,A,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,Fail,Fail,13:36:29,0:15:12,2.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,4,3,3,6,1,3.0,2.0,6.0,3.0,4.0,5.0,5.0,"tail waging, lifts hind quarters and mouths and then at the end jumps up at handler. ",Both,3.0,1.0,3.0,4.0,6.0,2.0,1.0,2.0,1.0,3.0,2.0,,,3.0,1.0,5.0,,No,1.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,No,4.0,5.0,2.0,4.0,1.0,1.0,3.5,12.0,2.5,11.0,3.0,24.0,3.0,1.6666666666666667,2.5,4.0,216,3.0,36.0,-1.0,3.75,180.0,4.0,12.0,1.5,2.0,-1.0,3.0,15.0,1.5,2.0,2.333333333333333,9.0,2.5,4.0,3.0,8.0,2.5,6.0,2.0,6.0,0.0,3.6666666666666665,48.0
Douglas,04-03-LD,1,2019-05-20,A,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,Fail,Fail,13:36:29,0:15:12,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4,3,3,6,1,2.0,2.0,6.0,3.0,3.0,6.0,5.0,"Attempted to get the kong as soon as handler had it in her hands, sat very fixated on kong, jumping up at handler toward end, and very eager throughout the concentration phase ",Both,4.0,1.0,3.0,3.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,No,1.0,1.0,4.0,5.0,3.0,2.0,1.0,2.0,1.0,No,4.0,4.0,2.0,4.0,1.0,1.0,3.0,9.0,2.0,8.0,3.0,24.0,3.0,2.5,1.8333333333333333,4.0,216,2.75,24.0,-1.25,3.75,180.0,3.5,6.0,1.0,1.0,0.0,2.5,27.0,1.5,4.0,1.6666666666666667,3.0,2.5,4.0,2.5,4.0,3.0,5.0,2.0,6.0,1.0,4.333333333333333,80.0
Douglas,04-03-LD,2,2019-07-04,A,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,Fail,Fail,14:31:54,0:17:35,2.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,3,3,4,6,2,3.0,3.0,5.0,4.0,4.0,5.0,5.0,High level of excitement. Jumps up immediately and then once by breaking his sit. His tail is constantly wagging and he is showing anxiety over wanting the toy including lip smacking and shifting weight. ,Both,3.0,3.0,5.0,4.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,No,1.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,No,4.0,3.0,1.5,2.0,1.0,1.0,4.0,16.0,3.0,15.0,2.6666666666666665,12.0,2.0,1.8333333333333333,2.5,4.0,216,3.25,90.0,-0.75,4.25,300.0,4.0,12.0,1.5,2.0,-1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,2.5,6.0,2.0,4.0,1.6666666666666667,3.0,-1.0,3.0,24.0
Douglas,04-03-LD,2,2019-07-04,A,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,Fail,Fail,14:31:54,0:17:35,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,3,2,3,6,2,2.0,3.0,6.0,4.0,4.0,4.0,5.0,"Overly excited, mouthing at and jumping at handler for the kong. Eager to receive and struggles to maintain composure",Both,4.0,3.0,5.0,4.0,6.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,No,4.0,4.0,1.0,1.0,1.0,1.0,4.0,16.0,3.0,15.0,2.6666666666666665,12.0,2.5,1.8333333333333333,2.5,3.5,108,3.25,72.0,-0.25,4.5,400.0,4.0,12.0,1.5,2.0,-1.0,1.75,8.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,1.6666666666666667,3.0,1.0,3.6666666666666665,48.0
Zodiac,04-04-LZ,2,2019-07-16,B,LR,M,Z1,Private breeder,2018-04-06,2019-04-24,2019-10-25,184 days,GD,Success,Success,14:22:57,0:14:59,1.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3,3,4,4,1,1.0,3.0,4.0,3.0,3.0,4.0,4.0,sits calmly with tail wagging,None,3.0,2.0,2.0,2.0,8.0,,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,4.0,5.0,1.0,1.0,2.0,1.0,No,4.0,4.0,1.0,1.0,2.0,4.0,3.0,9.0,1.0,5.0,3.6666666666666665,48.0,3.0,2.5,2.5,3.5,144,2.25,12.0,-1.25,2.75,48.0,8.0,8.0,1.0,1.0,,1.25,2.0,1.25,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,2.6666666666666665,10.0,0.0,3.6666666666666665,48.0
Zodiac,04-04-LZ,2,2019-07-16,B,LR,M,Z1,Private breeder,2018-04-06,2019-04-24,2019-10-25,184 days,GD,Success,Success,14:22:57,0:14:59,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,2,2,3,4,1,1.0,2.0,3.0,3.0,3.0,4.0,4.0,walked around and lay down and walked around again,None,3.0,1.0,2.0,2.0,6.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,No,4.0,4.0,1.5,2.0,2.0,4.0,3.0,9.0,1.0,5.0,3.6666666666666665,48.0,2.5,2.5,1.8333333333333333,2.75,48,1.75,6.0,-1.0,2.75,48.0,4.0,12.0,1.5,2.0,-1.0,1.25,2.0,1.25,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,2.333333333333333,5.0,0.0,3.6666666666666665,48.0
Minnie,12-02-LM,2,2020-02-19,A,LR,F,M1,IGDB,2018-08-25,2019-12-09,2020-08-31,266 days,GD,Success,Success,13:58:42,00:14:11,3.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,1,3,2,4,1,3.0,2.0,4.0,3.0,4.0,6.0,4.0,"Whining, and starting at kong intently but not breaking sit or acting inappropriately",Righ,3.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,No,1.0,1.0,3.0,3.0,5.0,1.0,1.0,,1.0,No,4.0,3.0,2.5,6.0,1.0,1.0,3.5,12.0,2.5,11.0,3.333333333333333,36.0,3.0,1.8333333333333333,0.5,2.5,24,2.5,24.0,0.0,2.5,24.0,1.5,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,0.0,3.333333333333333,36.0
Minnie,12-02-LM,2,2020-02-19,A,LR,F,M1,IGDB,2018-08-25,2019-12-09,2020-08-31,266 days,GD,Success,Success,13:58:42,00:14:11,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,4.0,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,2,3,2,4,1,3.0,2.0,4.0,2.0,4.0,6.0,4.0,Sits patiently for the duration,Righ,3.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,2.0,3.0,2.0,5.0,1.0,1.0,,1.0,No,4.0,4.0,2.5,6.0,1.0,1.0,3.0,8.0,2.0,7.0,3.333333333333333,32.0,4.0,2.5,0.0,2.75,48,2.5,24.0,-0.25,2.75,48.0,2.5,4.0,1.0,1.0,0.0,0.75,0.0,1.25,2.0,1.0,1.0,2.0,3.0,2.5,6.0,2.0,4.0,3.0,5.0,0.0,3.0,24.0
