"","Variable","Subset","Type","Test","Result","Sign"
"1","Name","info","info",NA,NA,NA
"2","Code","info","info",NA,NA,NA
"3","Data.Collection.Number","info","info",NA,NA,NA
"4","Data.Collection.Date","info","info",NA,NA,NA
"5","Assessor","info","info",NA,NA,NA
"6","Breed","info","info",NA,NA,NA
"7","Sex","info","info",NA,NA,NA
"8","Litter","info","info",NA,NA,NA
"9","Source","info","info",NA,NA,NA
"10","PR.Sup","info","info",NA,NA,NA
"11","DOB","info","info",NA,NA,NA
"12","DOA","info","info",NA,NA,NA
"13","End.Date","info","info",NA,NA,NA
"14","Status","info","info",NA,NA,NA
"15","Familiarisation.Start.Time..MM.SS.","familiarisation","time",NA,NA,NA
"16","Familiarisation.Response..Oriented.to.Handler.","familiarisation","ordinal","Wilcoxon",0.785096459387129,0
"17","Familiarisation.Response..Exploration.","familiarisation","ordinal","Wilcoxon",0.648266620005726,0
"18","Familiarisation.Response..Waiting.","familiarisation","ordinal","Wilcoxon",0.624377905273429,0
"19","Call.Back.Start.Time..MM.SS.","familiarisation","time",NA,NA,NA
"20","Call.Back.Response","familiarisation","ordinal","Wilcoxon",0.236235601117871,0
"21","Walking.Start.Time..MM.SS.","walking","time",NA,NA,NA
"22","Walking.Distractibility","walking","ordinal","Wilcoxon",0.00787378438737038,1
"23","Walking.Pull.on.leash","walking","ordinal","Wilcoxon",0.0891116490137587,0
"24","Walking.Pull.strength","walking","ordinal","Wilcoxon",0.113428629704943,0
"25","Walking.Initiative","walking","ordinal","Wilcoxon",0.286042729041274,0
"26","Standing.Start.Time..MM.SS.","standing","time",NA,NA,NA
"27","Standing.Attempts","standing","count","Wilcoxon",0.350778458097247,0
"28","Standing.Response","standing","ordinal","Wilcoxon",0.175408450894878,0
"29","Sitting.Start.Time..MM.SS.","sitting","time",NA,NA,NA
"30","Sitting.Attempts","sitting","count","Wilcoxon",0.0297385318990742,1
"31","Sitting.Response","sitting","ordinal","Wilcoxon",0.0565085876564244,0
"32","Lying.Start.Time..MM.SS.","sitting","time",NA,NA,NA
"33","Lying.Attempts","lying","count","Wilcoxon",0.588109941846308,0
"34","Lying.Response","lying","ordinal","Wilcoxon",0.299087593900467,0
"35","Lying.Settled","lying","ordinal","Wilcoxon",0.51849742579221,0
"36","Lying.Finish.Time..MM.SS.","lying","time",NA,NA,NA
"37","Body.check.Start.Time..MM.SS.","body","time",NA,NA,NA
"38","Body.check.Response","body","ordinal","Wilcoxon",0.073304029109888,0
"39","Body.check.General..Mouths.","body","categorical","Chisq",NA,NA
"40","Body.check.General..Licks.","body","categorical","Chisq",0.926198535001739,0
"41","Body.check.Finish.Time..MM.SS.","body","time",NA,NA,NA
"42","Tea.Towel.Start.Time..MM.SS.","towel","time",NA,NA,NA
"43","Tea.Towel.First.Response..Indifferent.","towel","categorical","Chisq",0.825348118641414,0
"44","Tea.Towel.First.Response..Turns.head.","towel","categorical","Chisq",0.452179036881218,0
"45","Tea.Towel.First.Response..Attempts.to.Removes.towel.by.moving.","towel","categorical","Chisq",0.351041836367107,0
"46","Tea.Towel.First.Response..Attempts.to.Removes.towel.with.mouth.","towel","categorical","Chisq",0.999999999999999,0
"47","Tea.Towel.First.Response..Plays.","towel","categorical","Chisq",NA,NA
"48","Tea.towel.Second.Response..Indifferent.","towel","categorical","Chisq",0.595664197366314,0
"49","Tea.towel.Second.Response..Turns.head.","towel","categorical","Chisq",1,0
"50","Tea.towel.Second.Response..Attempts.to.Removes.towel.by.moving.","towel","categorical","Chisq",0.511532344744828,0
"51","Tea.towel.Second.Response..Attempts.to.Removes.towel.with.mouth.","towel","categorical","Chisq",1,0
"52","Tea.towel.Second.Response..Plays.","towel","categorical","Chisq",NA,NA
"53","Tea.Towel.Finish.Time..MM.SS.","towel","time",NA,NA,NA
"54","Distractions.Start.Time..MM.SS.","distractions","time",NA,NA,NA
"55","Distractions.First.Response..Object.","distractions","ordinal","Wilcoxon",0.0507768250051903,0
"56","Distractions.First.Response..Human.","distractions","ordinal","Wilcoxon",0.899323158360258,0
"57","Distractions.First.Response..Car.","distractions","ordinal","Wilcoxon",0.40549208833359,0
"58","Distractions.First.Response..Food.","distractions","ordinal","Wilcoxon",0.385266229095834,0
"59","Distractions.Second.Response..Object.","distractions","ordinal","Wilcoxon",0.312358498269784,0
"60","Distractions.Second.Response..Human.","distractions","ordinal","Wilcoxon",0.183998157655609,0
"61","Distractions.Second.Response..Car.","distractions","ordinal","Wilcoxon",0.884635668537361,0
"62","Distractions.Second.Response..Food.","distractions","ordinal","Wilcoxon",0.062629838444531,0
"63","Distractions.Pull.on.leash","distractions","ordinal","Wilcoxon",0.114219594697362,0
"64","Distractions.Pull.strength","distractions","ordinal","Wilcoxon",0.201176043687155,0
"65","Distractions.Finish.Time..MM.SS.","kong","time",NA,NA,NA
"66","Kong.Concentration.Start.Time..MM.SS.","kong","time",NA,NA,NA
"67","Kong.Concentration.Response","kong","ordinal","Wilcoxon",0.592019019591957,0
"68","Kong.Retrieve.Start.Time..MM.SS.","kong","time",NA,NA,NA
"69","Kong.Retrieve.Lateralisation","kong","categorical","Chisq",0.209785428277935,0
"70","Kong.Retrieve.Response.to.stimulus","kong","ordinal","Wilcoxon",0.890230054943497,0
"71","Kong.Retrieve.Response.to.assessor","kong","categorical","Chisq",NA,NA
"72","Kong.Retrieve.Back","kong","ordinal","Wilcoxon",0.842747842234561,0
"73","Kong.Retrieve.Finish.Time..MM.SS.","kong","time",NA,NA,NA
"74","Dog.Start.Time..MM.SS.","dog","time",NA,NA,NA
"75","Dog.Response","dog","ordinal","Wilcoxon",0.668169397489756,0
"76","Dog.Call.Back.Response","dog","ordinal","Wilcoxon",0.515215898857574,0
"77","Dog.Finish.Time..MM.SS.","dog","time",NA,NA,NA
"78","Crate.Start.Time..MM.SS.","crate","time",NA,NA,NA
"79","Crate.Entering","crate","ordinal","Wilcoxon",1,0
"80","Crate.Behaviours..Relaxing.","crate","ordinal","Wilcoxon",0.112583217223486,0
"81","Crate.Behaviours..Sniffing.Exploring.","crate","ordinal","Wilcoxon",0.121310080880242,0
"82","Crate.Behaviours..Attention.Seeking.","crate","ordinal","Wilcoxon",0.0355933037445679,1
"83","Crate.Behaviours..Digging.","crate","ordinal","Wilcoxon",0.332676678438195,0
"84","Crate.Behaviours..Licking.Mouthing.","crate","ordinal","Wilcoxon",0.371756763951064,0
"85","Crate.Behaviours..Whining.","crate","ordinal","Wilcoxon",0.0857737816904054,0
"86","Crate.Behaviours..Barking.","crate","ordinal","Wilcoxon",0.0447669549932763,1
"87","Crate.Response","crate","ordinal","Wilcoxon",0.14142495515459,0
"88","Crate.Urinating","crate","unused",NA,NA,NA
"89","Crate.Finish.Time..MM.SS.","crate","time",NA,NA,NA
"90","Petting.Start.Time..MM.SS.","petting","time",NA,NA,NA
"91","Petting.Stimulus","petting","ordinal","Wilcoxon",0.468603024223964,0
"92","Petting.Holding.dog","petting","ordinal","Wilcoxon",1,0
"93","Petting.Finish.Time..MM.SS.","petting","time",NA,NA,NA
"94","Isolation.Start.Time..MM.SS.","isolation ","time",NA,NA,NA
"95","Isolation.Response..Time.oriented.","isolation ","ordinal","Wilcoxon",0.226543931930084,0
"96","Isolation.Response..Exploration.","isolation ","ordinal","Wilcoxon",0.755781823561178,0
"97","Isolation.Response..Unsettled.Locomotion.","isolation ","ordinal","Wilcoxon",0.452785986082736,0
"98","Isolation.Response..Whining.","isolation ","ordinal","Wilcoxon",0.47352230136625,0
"99","Isolation.Response..Barking.","isolation ","ordinal","Wilcoxon",0.110790626059452,0
"100","Isolation.Urinating","isolation ","unused",NA,NA,NA
"101","Isolation.Finish.Time..MM.SS.","isolation ","time",NA,NA,NA
"102","Noise.Time..MM.SS.","behaviours ","time",NA,NA,NA
"103","Jumps","behaviours ","time",NA,NA,NA
"104","Shakes","behaviours ","time",NA,NA,NA
"105","Stretches","behaviours ","time",NA,NA,NA
"106","Whines","behaviours ","time",NA,NA,NA
"107","Short.Barks","behaviours ","time",NA,NA,NA
"108","Continuous.Barks","behaviours ","time",NA,NA,NA
"109","Growls","behaviours ","time",NA,NA,NA
"110","Scratches","behaviours ","time",NA,NA,NA
"111","Grooms","behaviours ","time",NA,NA,NA
"112","Yawns","behaviours ","time",NA,NA,NA
"113","Short.Barks.Count","behaviours ","count","Wilcoxon",NA,NA
"114","Continuous.Barks.Duration","behaviours ","unused",NA,NA,NA
"115","Continuous.Barks.Count","behaviours ","unused",NA,NA,NA
"116","Whines.Duration","behaviours ","count","Wilcoxon",1,0
"117","Whines.Count","behaviours ","count","Wilcoxon",0.293177459564512,0
"118","Shakes.Count","behaviours ","count","Wilcoxon",0.983478679716068,0
"119","Jumps.Count","behaviours ","unused",NA,NA,NA
