"","No","Yes","NA.s"
"Body check General  Mouths ",55,2,1
"Body check General  Licks ",51,6,1
"Tea Towel First Response  Indifferent ",52,6,0
"Tea Towel First Response  Change from Neutral ",8,50,0
"Tea Towel First Response  Turns head ",11,47,0
"Tea Towel First Response  Attempts to Removes towel by moving ",30,28,0
"Tea Towel First Response  Attempts to Removes towel with mouth ",32,26,0
"Tea Towel First Response  Plays ",51,7,0
"Tea Towel Second Response  Indifferent ",38,20,0
"Tea Towel Second Response  Turns head ",24,34,0
"Tea Towel Second Response  Change from Neutral ",21,37,0
"Tea Towel Second Response  Attempts to Removes towel by moving ",35,23,0
"Tea Towel Second Response  Attempts to Removes towel with mouth ",38,20,0
"Tea Towel Second Response  Plays ",48,10,0
"Crate Urinating",57,0,1
"Isolation Urinating",58,58,0
