"","Significance","Estimate","p_value","OR","2.5 %","97.5 %"
"Familiarisation Response  Oriented to Handler ","***",0.59,0.04,1.81,1.04,3.32
"Familiarisation Response  Exploration ","***",-0.82,0.01,0.44,0.22,0.78
"Familiarisation Response  Waiting ",NA,0.39,0.25,1.48,0.73,3.03
"Call Back Response",NA,-0.11,0.86,0.89,0.2,2.99
"Walking Distractibility",NA,-0.12,0.76,0.88,0.38,1.95
"Walking Pull on leash",NA,-0.3,0.46,0.74,0.3,1.53
"Walking Pull strength",NA,-0.23,0.65,0.79,0.25,1.94
"Walking Initiative","*",0.58,0.14,1.79,0.82,4.03
"Standing Response",NA,0.06,0.82,1.07,0.61,1.89
"Sitting Response",NA,0.11,0.73,1.11,0.61,2.04
"Lying Response",NA,0.11,0.7,1.12,0.64,1.99
"Lying Settled",NA,0.24,0.47,1.27,0.66,2.43
"Body check Table",NA,-0.13,0.76,0.88,0.4,2.31
"Body check Response",NA,0.42,0.42,1.53,0.57,4.7
"Distractions First Response  Teddy ",NA,-0.29,0.2,0.75,0.47,1.16
"Distractions First Response  Human ",NA,-0.27,0.43,0.76,0.37,1.48
"Distractions First Response  Car ",NA,-0.46,0.17,0.63,0.31,1.18
"Distractions First Response  Food ",NA,0.02,0.93,1.02,0.67,1.6
"Distractions Second Response  Teddy ",NA,0.06,0.81,1.06,0.67,1.65
"Distractions Second Response  Human ",NA,-0.19,0.57,0.83,0.42,1.56
"Distractions Second Response  Car ",NA,-0.14,0.68,0.87,0.43,1.69
"Distractions Second Response  Food ",NA,0.26,0.26,1.3,0.84,2.1
"Distractions Pull on leash","**",-0.79,0.07,0.45,0.18,1.03
"Distractions Human",NA,-0.24,0.46,0.79,0.41,1.48
"Kong Presentation Response",NA,-0.1,0.71,0.91,0.54,1.57
"Kong Interaction Response to stimulus",NA,0.61,0.42,1.84,0.4,8.27
"Kong Interaction Response to handler",NA,-0.5,0.25,0.6,0.22,1.32
"Kong Interaction Back",NA,0.27,0.37,1.31,0.69,2.35
"Kong Return Handler",NA,0.51,0.44,1.66,0.4,6.05
"Dog Response",NA,-0.3,0.25,0.74,0.43,1.23
"Dog Call Back Response",NA,0.11,0.77,1.12,0.51,2.3
"Crate Entering",NA,0.57,0.17,1.77,0.76,4.16
"Crate Behaviours  Settled ",NA,-0.07,0.82,0.93,0.48,1.69
"Crate Behaviours  Sniffing Exploring  ","***",1.7,0,5.46,2.14,17.46
"Crate Behaviours  Actively Seeking Attention ","***",-0.9,0.04,0.41,0.14,0.83
"Crate Behaviours  Digging ",NA,-14.3,0.99,0,NA,1.28450636388469e+80
"Crate Behaviours  Whining ",NA,-0.46,0.23,0.63,0.26,1.27
"Crate Behaviours  Barking ",NA,-0.57,0.25,0.56,0.13,1.2
"Crate Self Modulation",NA,-0.28,0.51,0.76,0.32,1.73
"Crate Behaviours  Nudging Crate ",NA,0.85,0.37,2.33,0.29,14.03
"Crate Behaviours  Pawing ",NA,-0.65,0.44,0.52,0.04,1.76
"Crate Stress",NA,-0.5,0.29,0.6,0.22,1.46
"Petting Handler Stimulus",NA,-17.08,0.99,0,NA,3.68560283359708e+67
"Petting Handler Holding dog",NA,-0.18,0.81,0.83,0.13,3.32
"Petting Confidence During",NA,-0.29,0.44,0.75,0.34,1.57
"Petting Responsiveness After",NA,0.37,0.33,1.45,0.67,3.12
"Isolation Response  Time oriented ",NA,-0.12,0.73,0.89,0.45,1.78
"Isolation Response  Exploration ",NA,0.08,0.77,1.09,0.6,1.94
"Isolation Response  Unsettled Pacing ",NA,-0.47,0.28,0.62,0.24,1.36
"Isolation Response  Whining ",NA,-0.52,0.21,0.59,0.23,1.27
"Isolation Response  Barking ",NA,-0.37,0.34,0.69,0.24,1.3
"Reunion Response",NA,0.28,0.47,1.32,0.66,3
"Noise Confidence",NA,-0.51,0.35,0.6,0.19,1.6
"S Familiarisation Handler_mean","**",0.66,0.06,1.94,0.98,4.24
"S Familiarisation Handler_prod",NA,0.09,0.17,1.09,0.96,1.26
"S Walking Pull_mean",NA,-0.29,0.53,0.75,0.26,1.7
"S Walking Pull_prod",NA,0.01,0.91,1.01,0.81,1.2
"S Distractions Pull_mean","***",-0.8,0.04,0.45,0.2,0.92
"S Distractions Pull_prod","***",-0.15,0.05,0.86,0.73,0.98
"S Walking Distractions Pull_mean",NA,-0.45,0.15,0.64,0.33,1.17
"S Walking Distractions Pull_prod","**",-0.12,0.05,0.89,0.78,0.99
"S Obedience_mean",NA,0.28,0.57,1.32,0.5,3.49
"S Obedience_prod",NA,0.01,0.8,1.01,0.96,1.05
"S Sensitivity",NA,-0.04,0.95,0.96,0.26,3.88
"S Tea Towel First Response",NA,-0.22,0.49,0.8,0.41,1.48
"S Tea Towel Second Response",NA,-0.08,0.78,0.93,0.53,1.56
"S Distractions First Response_mean",NA,-0.55,0.22,0.58,0.22,1.32
"S Distractions First Response_prod",NA,0,0.18,1,0.99,1
"S Distractions Second Response_mean",NA,0.06,0.87,1.06,0.52,2.09
"S Distractions Second Response_prod",NA,0,0.43,1,0.99,1
"S Distractions Difference_mean","*",0.77,0.1,2.17,0.89,5.86
"S Kong Response_mean",NA,0.25,0.67,1.29,0.37,4.17
"S Kong Response_prod",NA,0,0.36,1,0.99,1.01
"S Dog Distraction_mean",NA,-0.12,0.72,0.89,0.44,1.72
"S Dog Distraction_prod",NA,-0.03,0.68,0.97,0.85,1.09
"S Call Response_mean",NA,-0.17,0.76,0.84,0.25,2.46
"S Call Response_prod",NA,0.01,0.96,1.01,0.67,1.43
"S Familiarisation Dog Call",NA,-0.27,0.47,0.76,0.36,1.61
"S Crate Response_mean",NA,0.21,0.67,1.23,0.47,3.23
"S Crate Response_prod",NA,-0.01,0.39,0.99,0.95,1.01
"S Crate Stimulus_mean","**",2.21,0.05,9.09,1.05,99.9
"S Crate Stimulus_prod",NA,0.01,0.89,1.01,0.82,1.17
