"","estimate_0","estimate_1","se_0","se_1","z_value_0","z_value_1","p_value_0","p_value_1","deviance"
"Familiarisation Response  Oriented to Handler ",-2.6471,0.5913,0.7866,0.289,-3.3653,2.0459,8e-04,0.0408,53.361
"Familiarisation Response  Exploration ",2.0329,-0.8197,1.3255,0.3167,1.5337,-2.5886,0.1251,0.0096,51.2173
"Familiarisation Response  Waiting ",-1.9317,0.3902,0.6427,0.3408,-3.0058,1.1449,0.0026,0.2522,57.4079
"Call Back Response",-1.2113,-0.1137,0.9373,0.6642,-1.2924,-0.1711,0.1962,0.8641,49.559
"Walking Distractibility",-1.1104,-0.1246,0.8198,0.4071,-1.3545,-0.3061,0.1756,0.7596,59.0444
"Walking Pull on leash",-0.8656,-0.2983,0.6993,0.4031,-1.2377,-0.74,0.2158,0.4593,58.5441
"Walking Pull strength",-1.0024,-0.2327,0.7943,0.5053,-1.2619,-0.4605,0.207,0.6451,58.9128
"Walking Initiative",-2.7749,0.5817,1.0617,0.3959,-2.6138,1.4692,0.009,0.1418,56.979
"Standing Response",-1.5087,0.0649,0.803,0.2863,-1.879,0.2268,0.0603,0.8206,59.0872
"Sitting Response",-1.5802,0.106,0.8166,0.3028,-1.935,0.35,0.053,0.7264,58.5478
"Lying Response",-1.6312,0.1108,0.8178,0.2847,-1.9945,0.3892,0.0461,0.6972,58.9862
"Lying Settled",-1.918,0.2373,0.7971,0.3253,-2.4062,0.7296,0.0161,0.4656,54.9573
"Body check Table",-1.1619,-0.1282,1.5257,0.4279,-0.7616,-0.2997,0.4463,0.7644,48.5737
"Body check Response",-2.619,0.425,1.6567,0.5324,-1.5809,0.7983,0.1139,0.4247,58.4665
"Distractions First Response  Teddy ",-0.3105,-0.2904,0.8396,0.2284,-0.3698,-1.2715,0.7115,0.2036,57.4505
"Distractions First Response  Human ",-0.4426,-0.274,1.1653,0.3479,-0.3798,-0.7877,0.7041,0.4309,58.5024
"Distractions First Response  Car ",0.0765,-0.4629,1.0344,0.3336,0.0739,-1.3876,0.9411,0.1653,57.1039
"Distractions First Response  Food ",-1.4202,0.0192,0.9211,0.216,-1.5418,0.0889,0.1231,0.9291,59.1307
