"","Significance","Estimate","p_value","OR","2.5 %","97.5 %"
"Familiarisation Response  Oriented to Handler ",NA,0.24,0.27,1.28,0.82,1.96
"Familiarisation Response  Exploration ",NA,-0.32,0.15,0.73,0.47,1.14
"Familiarisation Response  Waiting ",NA,0.2,0.5,1.22,0.66,2.13
"Call Back Response",NA,0.2,0.68,1.22,0.43,3.11
"Walking Distractibility",NA,0.07,0.82,1.07,0.58,1.98
"Walking Pull on leash",NA,-0.1,0.69,0.91,0.54,1.45
"Walking Pull strength",NA,-0.12,0.72,0.88,0.43,1.69
"Walking Initiative",NA,0.45,0.17,1.56,0.83,3
"Standing Response",NA,0.11,0.65,1.12,0.7,1.8
"Sitting Response",NA,0.01,0.97,1.01,0.64,1.59
"Lying Response",NA,0.05,0.82,1.05,0.69,1.62
"Lying Settled",NA,0.2,0.43,1.22,0.75,2
"Body check Table","**",-0.48,0.07,0.62,0.37,1.05
"Body check Response",NA,-0.19,0.59,0.83,0.42,1.69
"Distractions First Response  Teddy ",NA,-0.09,0.59,0.91,0.65,1.28
"Distractions First Response  Human ","*",-0.4,0.15,0.67,0.38,1.14
"Distractions First Response  Car ",NA,-0.3,0.25,0.74,0.44,1.22
"Distractions First Response  Food ",NA,0.12,0.54,1.13,0.78,1.71
"Distractions Second Response  Teddy ",NA,-0.02,0.92,0.98,0.68,1.39
"Distractions Second Response  Human ",NA,-0.38,0.19,0.69,0.38,1.18
"Distractions Second Response  Car ",NA,0.02,0.95,1.02,0.6,1.69
"Distractions Second Response  Food ",NA,0.2,0.31,1.22,0.84,1.81
"Distractions Pull on leash",NA,-0.44,0.19,0.65,0.33,1.24
"Distractions Human",NA,-0.34,0.19,0.71,0.42,1.18
"Kong Presentation Response",NA,0.11,0.57,1.12,0.77,1.64
"Kong Interaction Response to stimulus",NA,0.01,0.99,1.01,0.4,2.71
"Kong Interaction Response to handler",NA,0.03,0.91,1.03,0.57,1.79
"Kong Interaction Back",NA,0.22,0.34,1.25,0.76,1.97
"Kong Return Handler",NA,0.4,0.47,1.49,0.47,4.35
"Dog Response",NA,-0.11,0.56,0.9,0.61,1.3
"Dog Call Back Response",NA,0.02,0.94,1.02,0.58,1.74
"Crate Entering",NA,0.16,0.67,1.17,0.54,2.36
"Crate Behaviours  Settled ",NA,0.03,0.89,1.03,0.66,1.57
"Crate Behaviours  Sniffing Exploring  ","**",0.59,0.06,1.8,0.99,3.37
"Crate Behaviours  Actively Seeking Attention ","*",-0.37,0.12,0.69,0.41,1.06
"Crate Behaviours  Digging ",NA,0.48,0.25,1.62,0.66,3.71
"Crate Behaviours  Whining ",NA,-0.19,0.47,0.83,0.47,1.34
"Crate Behaviours  Barking ",NA,-0.31,0.32,0.73,0.34,1.24
"Crate Self Modulation",NA,-0.22,0.49,0.81,0.43,1.5
"Crate Behaviours  Nudging Crate ",NA,0.57,0.19,1.77,0.71,4.15
"Crate Behaviours  Pawing ",NA,0.01,0.98,1.01,0.4,2.08
"Crate Stress",NA,-0.21,0.55,0.81,0.4,1.59
"Petting Handler Stimulus","*",-1.56,0.14,0.21,0.01,1.08
"Petting Handler Holding dog",NA,0.73,0.15,2.07,0.73,5.73
"Petting Confidence During","***",-0.66,0.03,0.51,0.28,0.91
"Petting Responsiveness After",NA,-0.41,0.17,0.67,0.37,1.17
"Isolation Response  Time oriented ",NA,-0.05,0.85,0.95,0.56,1.65
"Isolation Response  Exploration ",NA,0.06,0.8,1.06,0.66,1.68
"Isolation Response  Unsettled Pacing ",NA,0.12,0.63,1.13,0.67,1.82
"Isolation Response  Whining ",NA,-0.17,0.53,0.85,0.49,1.4
"Isolation Response  Barking ",NA,0.07,0.76,1.08,0.64,1.68
"Reunion Response",NA,0,0.99,1,0.57,1.86
"Noise Confidence",NA,-0.2,0.6,0.82,0.36,1.69
"S Familiarisation Handler_mean",NA,0.31,0.27,1.36,0.77,2.35
"S Familiarisation Handler_prod",NA,0.04,0.46,1.04,0.93,1.16
"S Walking Pull_mean",NA,-0.12,0.7,0.89,0.48,1.56
"S Walking Pull_prod",NA,0,0.96,1,0.87,1.14
"S Distractions Pull_mean","**",-0.58,0.05,0.56,0.3,0.99
"S Distractions Pull_prod","**",-0.1,0.06,0.91,0.82,1
"S Walking Distractions Pull_mean",NA,-0.35,0.16,0.7,0.42,1.15
"S Walking Distractions Pull_prod","**",-0.09,0.06,0.91,0.83,1
"S Obedience_mean",NA,0.17,0.65,1.18,0.58,2.44
"S Obedience_prod",NA,0,0.97,1,0.97,1.03
"S Sensitivity","**",-0.83,0.06,0.43,0.17,1.03
"S Tea Towel First Response",NA,-0.3,0.24,0.74,0.44,1.21
"S Tea Towel Second Response",NA,-0.08,0.72,0.92,0.59,1.43
"S Distractions First Response_mean",NA,-0.26,0.43,0.77,0.39,1.45
"S Distractions First Response_prod",NA,0,0.3,1,0.99,1
"S Distractions Second Response_mean",NA,-0.02,0.94,0.98,0.53,1.74
"S Distractions Second Response_prod",NA,0,0.37,1,0.99,1
"S Distractions Difference_mean",NA,0.29,0.4,1.34,0.67,2.67
"S Kong Response_mean",NA,0.34,0.43,1.41,0.59,3.31
"S Kong Response_prod",NA,0.01,0.23,1.01,1,1.01
"S Dog Distraction_mean",NA,-0.03,0.9,0.97,0.6,1.54
"S Dog Distraction_prod",NA,-0.01,0.8,0.99,0.91,1.07
"S Call Response_mean",NA,-0.05,0.91,0.96,0.41,2.1
"S Call Response_prod",NA,-0.01,0.97,0.99,0.73,1.3
"S Familiarisation Dog Call",NA,-0.05,0.87,0.95,0.55,1.7
"S Crate Response_mean",NA,0.01,0.97,1.01,0.48,2.12
"S Crate Response_prod",NA,-0.01,0.22,0.99,0.96,1.01
"S Crate Stimulus_mean","**",0.97,0.08,2.65,0.86,8.37
"S Crate Stimulus_prod",NA,0.01,0.38,1.01,0.98,1.05
"S Crate Handler_mean",NA,-0.41,0.18,0.66,0.34,1.16
"S Crate Handler_prod",NA,-0.03,0.19,0.97,0.91,1.01
"S Petting Stimulus During_mean","***",-1.31,0.02,0.27,0.08,0.75
"S Petting Stimulus During_prod","**",-0.39,0.06,0.68,0.43,0.95
"S Petting Engagement During_mean",NA,-0.78,0.16,0.46,0.15,1.33
