"","Estimate","p_value","OR","2.5 %","97.5 %"
"Familiarisation Response  Oriented to Handler ",-0.48,0.15,0.62,0.92,3.5
"Familiarisation Response  Exploration ",0.15,0.67,1.16,0.36,1.51
"Familiarisation Response  Waiting ",-1.43,0.17,0.24,0.97,74.51
"Call Back Response",-0.85,0.45,0.43,0.42,52.33
"Walking Distractibility",0.03,0.93,1.03,0.42,2.16
"Walking Pull on leash",-1.44,0.03,0.24,1.36,18.06
"Walking Pull strength",-1.9,0.02,0.15,1.55,43.85
"Walking Initiative",0.42,0.31,1.53,0.29,1.54
"Standing Response",0.5,0.16,1.65,0.29,1.21
"Sitting Response",-0.14,0.63,0.87,0.63,2.04
"Lying Response",-0.25,0.34,0.78,0.74,2.07
"Lying Settled",-0.04,0.91,0.97,0.56,1.84
"Body check Table",-0.42,0.14,0.66,0.83,2.6
"Body check Response",-0.45,0.36,0.64,0.58,4.29
"Distractions First Response  Teddy ",-0.14,0.59,0.87,0.69,1.87
"Distractions First Response  Human ",0.19,0.61,1.21,0.38,1.69
"Distractions First Response  Car ",0.79,0.02,2.21,0.22,0.86
"Distractions First Response  Food ",0.18,0.46,1.19,0.5,1.31
"Distractions Second Response  Teddy ",-0.04,0.87,0.96,0.63,1.92
"Distractions Second Response  Human ",-0.19,0.61,0.82,0.59,2.67
"Distractions Second Response  Car ",0.39,0.19,1.47,0.37,1.23
"Distractions Second Response  Food ",0.21,0.4,1.24,0.48,1.34
"Distractions Pull on leash",0.04,0.93,1.04,0.41,2.22
"Distractions Human",0.03,0.94,1.03,0.45,1.99
"Kong Presentation Response",-0.15,0.59,0.86,0.66,1.92
"Kong Interaction Response to stimulus",2.16,0.03,8.63,0.01,0.75
"Kong Interaction Response to handler",0.03,0.94,1.03,0.46,2.13
"Kong Interaction Back",0.37,0.25,1.44,0.37,1.36
"Kong Return Handler",1.27,0.06,3.58,0.06,1.03
"Dog Response",0.03,0.89,1.03,0.6,1.52
"Dog Call Back Response",0.35,0.34,1.42,0.34,1.46
"Crate Entering",-0.26,0.71,0.77,0.39,7.3
"Crate Behaviours  Settled ",0,1,1,0.56,1.76
"Crate Behaviours  Sniffing Exploring  ",0.28,0.43,1.33,0.37,1.55
"Crate Behaviours  Actively Seeking Attention ",-0.87,0.08,0.42,1.07,8.19
"Crate Behaviours  Digging ",0.54,0.39,1.71,0.17,2.34
"Crate Behaviours  Whining ",-0.81,0.12,0.45,0.96,8.04
"Crate Behaviours  Barking ",-15.72,0.99,0,0,NA
"Crate Self Modulation",-0.12,0.79,0.89,0.48,2.91
