"","estimate_0","estimate_1","se_0","se_1","z_value_0","z_value_1","p_value_0","p_value_1","deviance"
"Familiarisation Response  Oriented to Handler ",-0.355,-0.4825,0.7239,0.3363,-0.4904,-1.4348,0.6239,0.1514,57.1544
"Familiarisation Response  Exploration ",-2.0259,0.149,1.6146,0.3533,-1.2548,0.4218,0.2096,0.6732,59.4072
"Familiarisation Response  Waiting ",0.3711,-1.4334,1.1863,1.0334,0.3128,-1.3871,0.7544,0.1654,55.8776
"Call Back Response",-0.2513,-0.8473,1.2758,1.1243,-0.197,-0.7536,0.8438,0.4511,55.5138
"Walking Distractibility",-1.4478,0.0337,0.8166,0.4101,-1.7729,0.0822,0.0762,0.9345,60.0415
"Walking Pull on leash",0.7821,-1.4351,0.922,0.6502,0.8483,-2.2071,0.3963,0.0273,52.7331
"Walking Pull strength",1.2095,-1.8993,1.0527,0.8167,1.149,-2.3257,0.2506,0.02,52.6465
"Walking Initiative",-2.3573,0.4244,1.0373,0.4178,-2.2726,1.0158,0.0231,0.3097,59.0219
"Standing Response",-2.8632,0.5013,1.1553,0.3589,-2.4784,1.3968,0.0132,0.1625,57.9181
"Sitting Response",-0.9881,-0.1405,0.8825,0.2949,-1.1197,-0.4765,0.2628,0.6337,59.8226
"Lying Response",-0.6706,-0.2503,0.7865,0.2601,-0.8527,-0.9622,0.3938,0.3359,59.1364
"Lying Settled",-1.2977,-0.0351,0.8093,0.2959,-1.6035,-0.1187,0.1088,0.9055,60.0342
"Body check Table",-0.0086,-0.4211,0.9569,0.2852,-0.009,-1.4764,0.9928,0.1398,57.9578
"Body check Response",-0.0311,-0.4495,1.4969,0.4927,-0.0208,-0.9124,0.9834,0.3616,59.228
"Distractions First Response  Teddy ",-0.9809,-0.1376,0.8005,0.2545,-1.2254,-0.5405,0.2204,0.5888,59.7489
"Distractions First Response  Human ",-2.0183,0.189,1.2928,0.3695,-1.5612,0.5115,0.1185,0.609,59.7845
"Distractions First Response  Car ",-3.9226,0.7908,1.2108,0.3428,-3.2398,2.3067,0.0012,0.0211,53.701
"Distractions First Response  Food ",-2.0961,0.1773,1.0424,0.2414,-2.0108,0.7346,0.0443,0.4626,59.4894
"Distractions Second Response  Teddy ",-1.2856,-0.0442,0.6989,0.2741,-1.8393,-0.1611,0.0659,0.872,60.022
"Distractions Second Response  Human ",-0.8573,-0.1932,1.0635,0.376,-0.8061,-0.5138,0.4202,0.6074,59.7798
"Distractions Second Response  Car ",-2.383,0.3855,0.8502,0.2915,-2.803,1.3224,0.0051,0.186,58.3163
"Distractions Second Response  Food ",-2.1195,0.2148,0.961,0.2578,-2.2054,0.8332,0.0274,0.4047,59.3572
"Distractions Pull on leash",-1.4787,0.0359,1.1389,0.4235,-1.2984,0.0848,0.1942,0.9324,60.0411
"Distractions Human",-1.5313,0.0286,1.9469,0.378,-0.7865,0.0756,0.4316,0.9397,60.0426
"Kong Presentation Response",-0.8725,-0.1459,0.9856,0.2691,-0.8852,-0.5422,0.376,0.5877,59.7555
"Kong Interaction Response to stimulus",-8.1992,2.1554,3.1033,0.9795,-2.6421,2.2004,0.0082,0.0278,51.7515
"Kong Interaction Response to handler",-1.4357,0.0299,0.7173,0.3853,-2.0015,0.0775,0.0453,0.9382,60.0423
"Kong Interaction Back",-2.0995,0.3672,0.6627,0.3181,-3.168,1.1544,0.0015,0.2483,55.4999
