"","Variable","Subset","Type","Test","dc1_outcome","dc2_outcome","dc1_sign","dc2_sign"
"1","Name","info","info",NA,NA,NA,NA,NA
"2","Code","info","info",NA,NA,NA,NA,NA
"3","Data.Collection.Number","info","info",NA,NA,NA,NA,NA
"4","Data.Collection.Date","info","info",NA,NA,NA,NA,NA
"5","Assessor","info","info",NA,NA,NA,NA,NA
"6","Breed","info","info",NA,NA,NA,NA,NA
"7","Sex","info","info",NA,NA,NA,NA,NA
"8","Litter","info","info",NA,NA,NA,NA,NA
"9","Source","info","info",NA,NA,NA,NA,NA
"10","PR.Sup","info","info",NA,NA,NA,NA,NA
"11","DOB","info","info",NA,NA,NA,NA,NA
"12","DOA","info","info",NA,NA,NA,NA,NA
"13","End.Date","info","info",NA,NA,NA,NA,NA
"14","Status","info","info",NA,NA,NA,NA,NA
"15","Familiarisation.Start.Time..MM.SS.","familiarisation","time",NA,NA,NA,NA,NA
"16","Familiarisation.Response..Oriented.to.Handler.","familiarisation","ordinal","Kruskal",0.0181861974080386,0.822823953207853,1,0
"17","Familiarisation.Response..Exploration.","familiarisation","ordinal","Kruskal",0.00127031255206326,0.104064553666846,1,0
"18","Familiarisation.Response..Waiting.","familiarisation","ordinal","Kruskal",0.00432583205656298,0.265444089800432,1,0
"19","Call.Back.Start.Time..MM.SS.","familiarisation","time",NA,NA,NA,NA,NA
"20","Call.Back.Response","familiarisation","ordinal","Kruskal",0.962689872531667,0.890947763391645,0,0
"21","Walking.Start.Time..MM.SS.","walking","time",NA,NA,NA,NA,NA
"22","Walking.Distractibility","walking","ordinal","Kruskal",0.0867678239201233,0.838711423081753,0,0
"23","Walking.Pull.on.leash","walking","ordinal","Kruskal",0.618241386667195,0.147404468401358,0,0
"24","Walking.Pull.strength","walking","ordinal","Kruskal",0.834674921426666,0.0926819318136344,0,0
"25","Walking.Initiative","walking","ordinal","Kruskal",0.176685774913248,0.0676256427311695,0,0
"26","Standing.Start.Time..MM.SS.","standing","time",NA,NA,NA,NA,NA
"27","Standing.Attempts","standing","count","Kruskal",0.715717797932925,0.277218308579854,0,0
"28","Standing.Response","standing","ordinal","Kruskal",0.813606762826768,0.204138876831054,0,0
"29","Sitting.Start.Time..MM.SS.","sitting","time",NA,NA,NA,NA,NA
"30","Sitting.Attempts","sitting","count","Kruskal",0.640010258126853,0.317888327357654,0,0
