"","Variable","Subset","Type","Test","Result","Sign"
"1","Name","info","info",NA,NA,NA
"2","Code","info","info",NA,NA,NA
"3","Data.Collection.Number","info","info",NA,NA,NA
"4","Data.Collection.Date","info","info",NA,NA,NA
"5","Assessor","info","info",NA,NA,NA
"6","Breed","info","info",NA,NA,NA
"7","Sex","info","info",NA,NA,NA
"8","Litter","info","info",NA,NA,NA
"9","Source","info","info",NA,NA,NA
"10","PR.Sup","info","info",NA,NA,NA
"11","DOB","info","info",NA,NA,NA
"12","DOA","info","info",NA,NA,NA
"13","End.Date","info","info",NA,NA,NA
"14","Status","info","info",NA,NA,NA
"15","Familiarisation.Start.Time..MM.SS.","familiarisation","time",NA,NA,NA
"16","Familiarisation.Response..Oriented.to.Handler.","familiarisation","ordinal","Wilcoxon",0.742760443087267,0
"17","Familiarisation.Response..Exploration.","familiarisation","ordinal","Wilcoxon",0.185436363330278,0
"18","Familiarisation.Response..Waiting.","familiarisation","ordinal","Wilcoxon",0.181210462662479,0
"19","Familiarisation.Comments","familiarisation","comments",NA,NA,NA
"20","Call.Back.Start.Time..MM.SS.","familiarisation","time",NA,NA,NA
"21","Call.Back.Response","familiarisation","ordinal","Wilcoxon",0.0962921339467269,0
"22","Call.Back.Comments","familiarisation","comments",NA,NA,NA
"23","Walking.Start.Time..MM.SS.","walking","time",NA,NA,NA
"24","Walking.Distractibility","walking","ordinal","Wilcoxon",0.580820979836937,0
"25","Walking.Pull.on.leash","walking","ordinal","Wilcoxon",0.293738787815636,0
"26","Walking.Pull.strength","walking","ordinal","Wilcoxon",0.457769096396999,0
"27","Walking.Initiative","walking","ordinal","Wilcoxon",0.137896097926335,0
"28","Walking.Comments","walking","comments",NA,NA,NA
"29","Standing.Start.Time..MM.SS.","standing","time",NA,NA,NA
"30","Standing.Response","standing","ordinal","Wilcoxon",0.150896629466856,0
"31","Standing.Comments","standing","comments",NA,NA,NA
"32","Sitting.Start.Time..MM.SS.","sitting","time",NA,NA,NA
"33","Sitting.Response","sitting","ordinal","Wilcoxon",0.0962540933242875,0
"34","Sitting.Comments","sitting","comments",NA,NA,NA
"35","Lying.Start.Time..MM.SS.","lying","time",NA,NA,NA
"36","Lying.Response","lying","ordinal","Wilcoxon",0.0220401008087323,1
"37","Lying.Settled","lying","ordinal","Wilcoxon",0.00396544601097461,1
"38","Lying.Finish.Time..MM.SS.","lying","time",NA,NA,NA
"39","Lying.Comments","lying","comments",NA,NA,NA
"40","Body.check.Start.Time..MM.SS.","body","time",NA,NA,NA
"41","Body.check.Table","body","ordinal","Wilcoxon",0.650578402314876,0
"42","Body.check.Response","body","ordinal","Wilcoxon",0.595385760422986,0
"43","Body.check.General..Mouths.","body","categorical","Chisq",NA,NA
"44","Body.check.General..Licks.","body","categorical","Chisq",0.362301776471151,0
"45","Body.check.Finish.Time..MM.SS.","body","time",NA,NA,NA
"46","Body.Check.Comments","body","comments",NA,NA,NA
"47","Tea.Towel.Start.Time..MM.SS.","towel","time",NA,NA,NA
"48","Tea.Towel.First.Response..Indifferent.","towel","categorical","Chisq",0.354087137958002,0
"49","Tea.Towel.First.Response..Change.from.Neutral.","towel","categorical","Chisq",0.999999999999999,0
"50","Tea.Towel.First.Response..Turns.head.","towel","categorical","Chisq",NA,NA
"51","Tea.Towel.First.Response..Attempts.to.Removes.towel.by.moving.","towel","categorical","Chisq",NA,NA
"52","Tea.Towel.First.Response..Attempts.to.Removes.towel.with.mouth.","towel","categorical","Chisq",NA,NA
"53","Tea.Towel.First.Response..Plays.","towel","categorical","Chisq",1,0
"54","Tea.Towel.Second.Response..Indifferent.","towel","categorical","Chisq",0.999999999999999,0
"55","Tea.Towel.Second.Response..Turns.head.","towel","categorical","Chisq",0.724780389629365,0
"56","Tea.Towel.Second.Response..Change.from.Neutral.","towel","categorical","Chisq",0.598918943486576,0
"57","Tea.Towel.Second.Response..Attempts.to.Removes.towel.by.moving.","towel","categorical","Chisq",0.276891216779071,0
"58","Tea.Towel.Second.Response..Attempts.to.Removes.towel.with.mouth.","towel","categorical","Chisq",0.755959679133958,0
"59","Tea.Towel.Second.Response..Plays.","towel","categorical","Chisq",0.177026177302524,0
"60","Tea.Towel.Finish.Time..MM.SS.","towel","time",NA,NA,NA
"61","Tea.Towel.Comments","towel","comments",NA,NA,NA
"62","Distractions.Start.Time..MM.SS.","distractions","time",NA,NA,NA
"63","Distractions.First.Response..Teddy.","distractions","ordinal","Wilcoxon",0.00786452119084928,1
"64","Distractions.First.Response..Human.","distractions","ordinal","Wilcoxon",0.722044364155791,0
"65","Distractions.First.Response..Car.","distractions","ordinal","Wilcoxon",0.151132705220726,0
"66","Distractions.First.Response..Food.","distractions","ordinal","Wilcoxon",0.90903787210628,0
"67","Distractions.Second.Response..Teddy.","distractions","ordinal","Wilcoxon",0.0087182551482475,1
"68","Distractions.Second.Response..Human.","distractions","ordinal","Wilcoxon",0.370252281849982,0
"69","Distractions.Second.Response..Car.","distractions","ordinal","Wilcoxon",0.279318691819703,0
"70","Distractions.Second.Response..Food.","distractions","ordinal","Wilcoxon",0.0771791340461611,0
"71","Distractions.Pull.on.leash","distractions","ordinal","Wilcoxon",0.0961652613254119,0
"72","Distractions.Human","distractions","ordinal","Wilcoxon",0.231610964975327,0
"73","Distractions.Finish.Time..MM.SS.","distractions","time",NA,NA,NA
"74","Distractions.Comments","distractions","comments",NA,NA,NA
"75","Kong.Presentation.Start.Time..MM.SS.","kong","time",NA,NA,NA
"76","Kong.Presentation.Response","kong","ordinal","Wilcoxon",0.116851730224759,0
"77","Kong.Interaction.Start.Time..MM.SS.","kong","time",NA,NA,NA
"78","Kong.Interaction.Lateralisation","kong","categorical","Chisq",0.0493010405798154,1
"79","Kong.Interaction.Response.to.stimulus","kong","ordinal","Wilcoxon",0.617858533766404,0
"80","Kong.Interaction.Response.to.handler","kong","ordinal","Wilcoxon",0.880175349399712,0
"81","Kong.Interaction.Back","kong","ordinal","Wilcoxon",0.829437676579498,0
"82","Kong.Interaction.Finish.Time..MM.SS.","kong","time",NA,NA,NA
"83","Kong.Return.Handler","kong","ordinal","Wilcoxon",0.665541859004676,0
"84","Kong.Comments","kong","comments",NA,NA,NA
"85","Dog.Start.Time..MM.SS.","dog","time",NA,NA,NA
"86","Dog.Response","dog","ordinal","Wilcoxon",0.453800488312945,0
"87","Dog.Call.Back.Response","dog","ordinal","Wilcoxon",0.332246404599795,0
"88","Dog.Finish.Time..MM.SS.","dog","time",NA,NA,NA
"89","Dog.Comments","dog","comments",NA,NA,NA
"90","Crate.Start.Time..MM.SS.","crate","time",NA,NA,NA
"91","Crate.Entering","crate","ordinal","Wilcoxon",0.277928476477869,0
"92","Crate.Behaviours..Settled.","crate","ordinal","Wilcoxon",0.0116914278952607,1
"93","Crate.Behaviours..Sniffing.Exploring..","crate","ordinal","Wilcoxon",0.160385269248073,0
"94","Crate.Behaviours..Actively.Seeking.Attention.","crate","ordinal","Wilcoxon",0.0817913306027176,0
"95","Crate.Behaviours..Digging.","crate","ordinal","Wilcoxon",0.752658822012196,0
"96","Crate.Behaviours..Whining.","crate","ordinal","Wilcoxon",0.146632581081286,0
"97","Crate.Behaviours..Barking.","crate","ordinal","Wilcoxon",0.0416328466890791,1
"98","Crate.Self.Modulation","crate","ordinal","Wilcoxon",0.0122505933189825,1
"99","Crate.Behaviours..Nudging.Crate.","crate","ordinal","Wilcoxon",0.281799184902475,0
"100","Crate.Behaviours..Pawing.","crate","ordinal","Wilcoxon",0.720984861901671,0
"101","Crate.Stress","crate","ordinal","Wilcoxon",0.017397809465463,1
"102","Crate.Urinating","crate","categorical","Chisq",NA,NA
"103","Crate.Finish.Time..MM.SS.","crate","time",NA,NA,NA
"104","Crate.Comments","crate","comments",NA,NA,NA
"105","Petting.Start.Time..MM.SS.","petting","time",NA,NA,NA
"106","Petting.Handler.Stimulus","petting","ordinal","Wilcoxon",0.407016027271374,0
"107","Petting.Handler.Holding.dog","petting","ordinal","Wilcoxon",0.758951302067224,0
"108","Petting.Confidence.During","petting","ordinal","Wilcoxon",0.570463495861049,0
"109","Petting.Finish.Time..MM.SS.","petting","time",NA,NA,NA
"110","Petting.Responsiveness.After","petting","ordinal","Wilcoxon",0.0557993062691505,0
"111","Petting.Comments","petting","comments",NA,NA,NA
"112","Isolation.Start.Time..MM.SS.","isolation ","time",NA,NA,NA
"113","Isolation.Response..Time.oriented.","isolation ","ordinal","Wilcoxon",0.919729952622756,0
"114","Isolation.Response..Exploration.","isolation ","ordinal","Wilcoxon",0.482504387908599,0
"115","Isolation.Response..Unsettled.Pacing.","isolation ","ordinal","Wilcoxon",0.594544980689542,0
"116","Isolation.Response..Whining.","isolation ","ordinal","Wilcoxon",1,0
"117","Isolation.Response..Barking.","isolation ","ordinal","Wilcoxon",0.231517033102982,0
"118","Isolation.Urinating","isolation ","categorical","Chisq",NA,NA
"119","Isolation.Finish.Time..MM.SS.","isolation ","time",NA,NA,NA
"120","Isolation.Comments","isolation ","comments",NA,NA,NA
"121","Reunion.Response","isolation ","ordinal","Wilcoxon",0.622387604100478,0
"122","Reunion.Comments","isolation ","comments",NA,NA,NA
"123","Noise.Time..MM.SS.","noise","time",NA,NA,NA
"124","Noise.Confidence","noise","ordinal","Wilcoxon",0.65961087886633,0
"125","Noise.Comments","noise","comments",NA,NA,NA
"126","Jumps","behaviours ","unused",NA,NA,NA
"127","Shakes","behaviours ","unused",NA,NA,NA
"128","Stretches","behaviours ","unused",NA,NA,NA
"129","Whines","behaviours ","unused",NA,NA,NA
"130","Short.Barks","behaviours ","unused",NA,NA,NA
"131","Continuous.Barks","behaviours ","unused",NA,NA,NA
"132","Growls","behaviours ","unused",NA,NA,NA
"133","Scratches","behaviours ","unused",NA,NA,NA
"134","Grooms","behaviours ","unused",NA,NA,NA
"135","Yawns","behaviours ","unused",NA,NA,NA
