"","No","Yes","NA.s"
"Body check General  Mouths ",95,3,1
"Body check General  Licks ",84,14,1
"Tea Towel First Response  Indifferent ",88,10,1
"Tea Towel First Response  Change from Neutral ",13,85,1
"Tea Towel First Response  Turns head ",17,81,1
"Tea Towel First Response  Attempts to Removes towel by moving ",47,51,1
"Tea Towel First Response  Attempts to Removes towel with mouth ",52,46,1
"Tea Towel First Response  Plays ",88,10,1
"Tea Towel Second Response  Indifferent ",72,24,3
"Tea Towel Second Response  Turns head ",31,65,3
"Tea Towel Second Response  Change from Neutral ",26,70,3
"Tea Towel Second Response  Attempts to Removes towel by moving ",50,46,3
"Tea Towel Second Response  Attempts to Removes towel with mouth ",58,38,3
"Tea Towel Second Response  Plays ",83,13,3
"Crate Urinating",95,2,2
"Isolation Urinating",98,1,1
