"","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max.","NA.s"
"Familiarisation Response  Oriented to Handler ",1,1.75,2,2.27083333333333,3,5,3
"Familiarisation Response  Exploration ",1,4,5,4.24242424242424,5,5,0
"Familiarisation Response  Waiting ",1,1,1,1.51020408163265,2,5,1
"Call Back Response",1,1,1,1.32926829268293,2,3,17
"Walking Distractibility",1,1,2,1.91919191919192,3,3,0
"Walking Pull on leash",1,1,2,1.8989898989899,3,4,0
"Walking Pull strength",1,1,1,1.63636363636364,2,4,0
"Walking Initiative",1,2,2,2.39393939393939,3,5,0
"Standing Response",1,2,2,2.46464646464646,3,4,0
"Sitting Response",1,2,3,2.58762886597938,4,4,2
"Lying Response",1,2,3,2.63636363636364,4,4,0
"Lying Settled",1,1,2,2.25773195876289,3,4,2
"Body check Table",1,3,4,3.27956989247312,4,4,6
"Body check Response",1,3,3,2.91919191919192,3,4,0
"Distractions First Response  Teddy ",1,3,4,3.67676767676768,5,6,0
"Distractions First Response  Human ",2,3,3,3.36363636363636,4,5,0
"Distractions First Response  Car ",1,2.5,3,3.12121212121212,4,6,0
"Distractions First Response  Food ",1,4,4,4.22222222222222,5,6,0
"Distractions Second Response  Teddy ",1,2,3,2.6969696969697,3.5,6,0
"Distractions Second Response  Human ",1,2,3,2.95918367346939,4,5,1
"Distractions Second Response  Car ",1,2,3,2.60204081632653,3,5,1
"Distractions Second Response  Food ",1,3,4,3.84536082474227,5,6,2
"Distractions Pull on leash",1,3,3,3.03030303030303,4,4,0
"Distractions Human",3,4,5,5.24242424242424,6,7,0
"Kong Presentation Response",1,2,4,3.56565656565657,5,5,0
"Kong Interaction Response to stimulus",1,3,3,2.95918367346939,3,4,1
"Kong Interaction Response to handler",1,1,1,1.55102040816327,2,3,1
"Kong Interaction Back",1,1,1,1.54736842105263,2,5,4
"Kong Return Handler",1,2,2,2.14736842105263,2,4,4
"Dog Response",1,4,5,4.88888888888889,6,8,0
"Dog Call Back Response",1,1,2,1.79569892473118,2,4,6
"Crate Entering",1,1,1,1.43877551020408,2,4,1
"Crate Behaviours  Settled ",1,1,2,2.24742268041237,3,5,2
"Crate Behaviours  Sniffing Exploring  ",1,2,3,2.70103092783505,3,5,2
"Crate Behaviours  Actively Seeking Attention ",1,1,1,2.07291666666667,3,5,3
"Crate Behaviours  Digging ",1,1,1,1.1340206185567,1,4,2
"Crate Behaviours  Whining ",1,1,1,1.91208791208791,3,5,8
"Crate Behaviours  Barking ",1,1,1,1.47916666666667,1,5,3
"Crate Self Modulation",1,1,2,2.06185567010309,3,3,2
"Crate Behaviours  Nudging Crate ",1,1,1,1.18556701030928,1,3,2
"Crate Behaviours  Pawing ",1,1,1,1.25773195876289,1,4,2
"Crate Stress",1,2,2,2.29896907216495,3,4,2
"Petting Handler Stimulus",1,1,1,1.18367346938776,1,3,1
"Petting Handler Holding dog",1,1,1,1.16326530612245,1,3,1
"Petting Confidence During",1,3,3,3.05102040816327,3,5,1
"Petting Responsiveness After",1,3,4,3.74226804123711,4,6,2
"Isolation Response  Time oriented ",1,3,4,3.93814432989691,5,5,2
"Isolation Response  Exploration ",1,1,2,2.09183673469388,3,5,1
"Isolation Response  Unsettled Pacing ",1,1,2,1.95918367346939,2,5,1
"Isolation Response  Whining ",1,1,2,2.01098901098901,3,5,8
"Isolation Response  Barking ",1,1,1,1.46938775510204,1,5,1
"Reunion Response",1,4,4,4.20618556701031,5,6,2
"Noise Confidence",3,4,4,3.88775510204082,4,6,1
"S Walking Pull_mean",1,1,1.5,1.76767676767677,2.5,4,0
"S Walking Pull_prod",1,1,2,3.77777777777778,6,16,0
"S Distractions Pull_mean",1,3,3,3.28787878787879,4,4.5,0
"S Distractions Pull_prod",1,9,9,11.2929292929293,15.5,20,0
"S Walking Distractions Pull_mean",-2,1,1.5,1.52020202020202,2,3.5,0
"S Walking Distractions Pull_prod",-12,3,8,7.51515151515152,11,19,0
"S Familiarisation Handler_mean",1,1.125,1.5,1.87755102040816,2.5,5,1
"S Familiarisation Handler_prod",1,1,2,3.83838383838384,4,25,0
"S Call Response_mean",1,1,1.5,1.56701030927835,2,3,2
"S Call Response_prod",1,1,2,2.3030303030303,3,8,0
"S Familiarization Dog Call",-3,-1,0,-0.538461538461538,0,1,21
"S Obedience_mean",1,2,2.66666666666667,2.55387205387205,3,4,0
"S Obedience_prod",1,6,12,17.4343434343434,24,64,0
"S Sensitivity_mean",0.75,1.25,1.5,1.58333333333333,1.75,3,0
"S Sensitivity_prod",0,0,0,0.222222222222222,0,8,0
"S Tea Towel First Response",0,1,1.66666666666667,1.6921768707483,2.5,3.5,1
"S Tea Towel Second Response",0,0.5,1.66666666666667,1.49131944444444,2.5,3.5,3
"S Distractions First Response_mean",2,3,3.5,3.5959595959596,4.25,5.5,0
"S Distractions First Response_prod",8,60,144,191.515151515152,256,900,0
"S Distractions Second Response_mean",1.5,2.5,3,3.03956228956229,3.5,5.5,0
"S Distractions Second Response_prod",3,24,54,99.1919191919192,114,600,0
"S Distractions Difference_mean",-2.5,-1,-0.5,-0.565656565656566,-0.25,1.75,0
"S Kong Response_mean",1.5,2,2.5,2.56228956228956,2.75,4.25,0
"S Kong Response_prod",2,12,24,39.5959595959596,48,300,0
"S Dog Distraction_mean",1,2.5,3.5,3.44444444444444,4,6,0
"S Dog Distraction_prod",1,4,6,9.02020202020202,12,32,0
"S Crate Response_mean",0.75,1.75,2.25,2.15051020408163,2.6875,4,1
"S Crate Response_prod",0,4,16,24.7979797979798,27,144,0
"S Crate Stimulus_mean",1.25,1.25,1.5,1.56958762886598,1.75,3.25,2
"S Crate Stimulus_prod",1,2,3,6.22222222222222,4,108,0
"S Crate Handler_mean",1,1,1.33333333333333,1.80584192439863,2.66666666666667,4,2
"S Crate Handler_prod",1,1,2,9.29292929292929,10.5,60,0
"S Petting Stimulus During_mean",1,2,2,2.11734693877551,2.5,4,1
"S Petting Stimulus During_prod",1,3,3,3.71717171717172,4,15,0
"S Petting Engagement During_mean",1,2,2,2.10714285714286,2.5,3.5,1
"S Petting Engagement During_prod",1,3,3,3.49494949494949,4,10,0
"S Petting After_mean",1,2,2.5,2.43877551020408,2.5,3.5,1
"S Petting After_prod",1,3,4,4.23232323232323,4,12,0
"S Isolation Handler_mean",1,2,2.33333333333333,2.46768707482993,3,4.33333333333333,1
"S Isolation Handler_prod",1,4,8,12.3131313131313,15.5,75,0
"S Isolation Stimulus",-4,-1,0,0.13265306122449,1,3,1
"S Sociability_mean",2,3.33333333333333,3.66666666666667,3.67003367003367,4,5.33333333333333,0
"S Sociability_prod",4,36,48,49.1414141414141,60,150,0
