"","estimate_1","p_value_1"
"Lying.Settled",0.3347,0.195
"Body.check.Table",-0.5755,0.0316
"Crate.Behaviours..Sniffing.Exploring..",0.4149,0.1775
"Crate.Behaviours..Actively.Seeking.Attention.",-0.3379,0.1556
"Crate.Behaviours..Nudging.Crate.",0.5827,0.1826
"Petting.Confidence.During",-0.6038,0.0435
"Petting.Responsiveness.After",-0.3942,0.1754
"S.Walking.Distractions.Pull_prod",-0.064,0.1773
"S.Sensitivity_mean",-2.3043,0.0057
"S.Kong.Response_prod",0.0056,0.1976
"S.Crate.Stimulus_mean",0.8758,0.1223
"S.Crate.Handler_mean",-0.402,0.1997
"S.Crate.Handler_prod",-0.0352,0.1765
"S.Petting.Stimulus.During_mean",-1.0546,0.0466
"S.Petting.Stimulus.During_prod",-0.2282,0.168
"S.Petting.Engagement.During_mean",-0.8025,0.1532
"S.Sociability_mean",-0.6653,0.0961
"Tea.Towel.First.Response..Indifferent.",1.09861228866811,0.117682474204554
"Breed",-1.00345090730843,0.0544866147088325
