"","estimate_0","estimate_1","se_0","se_1","z_value_0","z_value_1","p_value_0","p_value_1","deviance"
"Familiarisation.Response..Oriented.to.Handler.",-1.5166,0.079,0.573,0.2212,-2.647,0.3571,0.0081,0.721,98.1282
"Familiarisation.Response..Exploration.",-0.7449,-0.15,0.9574,0.223,-0.7781,-0.6726,0.4365,0.5012,99.1957
"Familiarisation.Response..Waiting.",-1.1653,-0.1316,0.5617,0.3435,-2.0746,-0.3832,0.038,0.7016,99.0232
"Call.Back.Response",-1.6669,0.1856,0.7292,0.4945,-2.2859,0.3754,0.0223,0.7074,80.8071
"Walking.Distractibility",-1.49,0.0602,0.6564,0.3124,-2.2699,0.1928,0.0232,0.8471,99.5946
"Walking.Pull.on.leash",-1.2591,-0.061,0.5305,0.2512,-2.3732,-0.2427,0.0176,0.8082,99.5722
"Walking.Pull.strength",-1.2378,-0.0838,0.6057,0.3428,-2.0437,-0.2443,0.041,0.807,99.5712
"Walking.Initiative",-1.9555,0.2392,0.8594,0.3327,-2.2755,0.7189,0.0229,0.4722,99.1206
"Standing.Response",-1.6216,0.0993,0.6596,0.2413,-2.4584,0.4114,0.014,0.6808,99.4622
"Sitting.Response",-1.5239,0.0674,0.6627,0.2328,-2.2996,0.2893,0.0215,0.7724,98.6347
"Lying.Response",-1.9361,0.207,0.6743,0.2236,-2.8713,0.9256,0.0041,0.3547,98.7553
"Lying.Settled",-2.2016,0.3347,0.6851,0.2582,-3.2134,1.296,0.0013,0.195,94.2548
"Body.check.Table",0.2999,-0.5755,0.843,0.2677,0.3557,-2.1496,0.722,0.0316,83.8939
"Body.check.Response",-1.6137,0.0819,1.1092,0.3672,-1.4548,0.2229,0.1457,0.8236,99.5815
"Distractions.First.Response..Teddy.",-1.6444,0.0727,0.6967,0.1725,-2.3603,0.4215,0.0183,0.6734,99.4529
"Distractions.First.Response..Human.",-0.3292,-0.3182,0.9237,0.2774,-0.3564,-1.1469,0.7216,0.2514,98.284
"Distractions.First.Response..Car.",-0.6622,-0.2327,0.828,0.2635,-0.7998,-0.8831,0.4238,0.3772,98.8394
"Distractions.First.Response..Food.",-1.9288,0.1293,0.896,0.1973,-2.1526,0.6556,0.0313,0.5121,99.1816
"Distractions.Second.Response..Teddy.",-1.0217,-0.1343,0.5421,0.1887,-1.8846,-0.7116,0.0595,0.4767,99.1097
"Distractions.Second.Response..Human.",-0.6497,-0.2454,0.8397,0.2821,-0.7738,-0.8696,0.4391,0.3845,98.404
"Distractions.Second.Response..Car.",-1.3537,-0.0028,0.7268,0.2623,-1.8625,-0.0107,0.0625,0.9915,99.1776
"Distractions.Second.Response..Food.",-1.9713,0.1589,0.8376,0.1998,-2.3534,0.7953,0.0186,0.4264,98.0735
"Distractions.Pull.on.leash",-0.7897,-0.1946,1.0632,0.3478,-0.7427,-0.5597,0.4577,0.5757,99.3187
"Distractions.Human",0.0012,-0.2659,1.3738,0.2648,9e-04,-1.004,0.9993,0.3154,98.6117
"Kong.Presentation.Response",-1.8872,0.1412,0.7788,0.1989,-2.4231,0.7098,0.0154,0.4778,99.1162
"Kong.Interaction.Response.to.stimulus",-0.4838,-0.3206,1.4979,0.5068,-0.323,-0.6327,0.7467,0.5269,95.9967
"Kong.Interaction.Response.to.handler",-1.6261,0.1671,0.5272,0.2858,-3.0845,0.5846,0.002,0.5588,98.8431
"Kong.Interaction.Back",-1.8808,0.2632,0.4845,0.2396,-3.882,1.0986,1e-04,0.2719,91.1027
"Kong.Return.Handler",-2.8922,0.6892,1.2284,0.5409,-2.3544,1.2741,0.0186,0.2026,93.516
"Dog.Response",-1.2335,-0.0288,0.9679,0.1924,-1.2745,-0.1495,0.2025,0.8811,99.6093
"Dog.Call.Back.Response",-1.8896,0.2119,0.6114,0.2882,-3.0907,0.7353,0.002,0.4622,87.9325
"Crate.Entering",-1.7743,0.2376,0.6092,0.3682,-2.9127,0.6453,0.0036,0.5187,95.9895
"Crate.Behaviours..Settled.",-1.656,0.0776,0.5774,0.2226,-2.8679,0.3485,0.0041,0.7275,92.9473
"Crate.Behaviours..Sniffing.Exploring..",-2.6377,0.4149,0.9252,0.3077,-2.8511,1.3485,0.0044,0.1775,91.2429
"Crate.Behaviours..Actively.Seeking.Attention.",-0.8253,-0.3379,0.4897,0.238,-1.6853,-1.4199,0.0919,0.1556,90.3327
"Crate.Behaviours..Digging.",-2.095,0.5242,0.5689,0.4171,-3.6822,1.2568,2e-04,0.2088,91.6199
"Crate.Behaviours..Whining.",-1.1801,-0.1569,0.5364,0.2585,-2.2002,-0.6072,0.0278,0.5437,87.2603
"Crate.Behaviours..Barking.",-0.9468,-0.3826,0.5068,0.3461,-1.8682,-1.1055,0.0617,0.269,91.0776
"Crate.Self.Modulation",-1.0362,-0.2196,0.6887,0.3231,-1.5047,-0.6796,0.1324,0.4967,92.604
"Crate.Behaviours..Nudging.Crate.",-2.1965,0.5827,0.616,0.4371,-3.5659,1.3329,4e-04,0.1826,91.4311
"Crate.Behaviours..Pawing.",-1.5552,0.0602,0.5754,0.4028,-2.703,0.1494,0.0069,0.8812,93.0459
"Crate.Stress",-1.0888,-0.172,0.8416,0.3573,-1.2937,-0.4814,0.1958,0.6302,92.832
"Petting.Handler.Stimulus",-0.4828,-0.7658,0.894,0.771,-0.5401,-0.9933,0.5891,0.3206,97.9977
"Petting.Handler.Holding.dog",-1.9938,0.5316,0.6865,0.5253,-2.9044,1.0121,0.0037,0.3115,98.2173
"Petting.Confidence.During",0.4081,-0.6038,0.8827,0.2992,0.4623,-2.0185,0.6439,0.0435,94.9578
"Petting.Responsiveness.After",0.0923,-0.3942,1.069,0.2909,0.0863,-1.3552,0.9312,0.1754,96.827
"Isolation.Response..Time.oriented.",-1.7307,0.0966,1.1516,0.2821,-1.5028,0.3424,0.1329,0.732,98.5998
"Isolation.Response..Exploration.",-1.2593,-0.049,0.5601,0.2431,-2.2484,-0.2014,0.0245,0.8404,99.1369
"Isolation.Response..Unsettled.Pacing.",-1.9741,0.3004,0.5758,0.2442,-3.4284,1.2304,6e-04,0.2185,97.7024
"Isolation.Response..Whining.",-1.0933,-0.0873,0.5886,0.2702,-1.8574,-0.3231,0.0633,0.7466,95.7408
"Isolation.Response..Barking.",-1.5044,0.0958,0.4414,0.238,-3.4083,0.4024,7e-04,0.6874,99.0208
"Reunion.Response",-1.8398,0.1011,1.3426,0.3101,-1.3703,0.326,0.1706,0.7444,95.8503
"Noise.Confidence",-1.5005,0.0359,1.5071,0.3814,-0.9957,0.094,0.3194,0.9251,99.169
"S.Walking.Pull_mean",-1.2433,-0.0745,0.574,0.2976,-2.166,-0.2502,0.0303,0.8025,99.5684
"S.Walking.Pull_prod",-1.4192,0.0119,0.3665,0.0692,-3.8725,0.1721,1e-04,0.8634,99.6024
"S.Distractions.Pull_mean",-0.1467,-0.3824,0.9833,0.3035,-0.1492,-1.26,0.8814,0.2077,98.0122
"S.Distractions.Pull_prod",-0.7161,-0.0611,0.5665,0.0494,-1.2642,-1.2348,0.2062,0.2169,98.0262
"S.Walking.Distractions.Pull_mean",-1.0325,-0.2339,0.4432,0.261,-2.3294,-0.8963,0.0198,0.3701,98.8314
"S.Walking.Distractions.Pull_prod",-0.9265,-0.064,0.3983,0.0475,-2.326,-1.3493,0.02,0.1773,97.7644
"S.Familiarisation.Handler_mean",-1.4355,0.0395,0.6121,0.2948,-2.3454,0.1341,0.019,0.8934,99.1599
"S.Familiarisation.Handler_prod",-1.233,-0.0385,0.3556,0.0726,-3.4673,-0.531,5e-04,0.5954,99.3132
"S.Call.Response_mean",-1.6124,0.1266,0.7082,0.4139,-2.2767,0.3058,0.0228,0.7598,95.8662
"S.Call.Response_prod",-1.4694,0.0409,0.422,0.1431,-3.4819,0.2859,5e-04,0.775,99.5515
"S.Familiarization.Dog.Call",-1.5972,-0.1336,0.3493,0.301,-4.5728,-0.4439,0,0.6571,73.22
"S.Obedience_mean",-2.3011,0.3564,1.0231,0.3743,-2.2491,0.9522,0.0245,0.341,98.7129
"S.Obedience_prod",-1.4872,0.0064,0.3834,0.0159,-3.8794,0.4007,1e-04,0.6887,99.4751
"S.Sensitivity_mean",2.1042,-2.3043,1.2334,0.833,1.706,-2.7662,0.088,0.0057,91.0291
"S.Sensitivity_prod",-1.335,-2.3088,0.2513,197.1701,-5.3121,-0.0117,0,0.9907,98.2541
"S.Tea.Towel.First.Response",-0.9696,-0.2411,0.4746,0.2586,-2.043,-0.9322,0.0411,0.3512,98.2958
"S.Tea.Towel.Second.Response",-1.4635,0.0426,0.4293,0.226,-3.4093,0.1884,7e-04,0.8506,95.4847
"S.Distractions.First.Response_mean",-1.2181,-0.0434,1.1802,0.3221,-1.0321,-0.1347,0.302,0.8929,99.6135
