"","estimate_0","estimate_1","se_0","se_1","z_value_0","z_value_1","p_value_0","p_value_1","deviance"
"Familiarisation Response  Oriented to Handler ",-0.134,-0.7146,0.8137,0.4093,-0.1647,-1.746,0.8692,0.0808,49.6643
"Familiarisation Response  Exploration ",-4.2456,0.5875,2.4564,0.5209,-1.7284,1.1278,0.0839,0.2594,51.8993
"Familiarisation Response  Waiting ",-0.116,-1.2047,1.1888,1.0171,-0.0976,-1.1845,0.9222,0.2362,51.1231
"Call Back Response",-0.5788,-0.7503,1.2989,1.1249,-0.4456,-0.667,0.6559,0.5048,50.3996
"Walking Distractibility",-1.6094,0,0.8605,0.4376,-1.8704,0,0.0614,1,54.0673
"Walking Pull on leash",0.809,-1.6515,1.037,0.7752,0.7801,-2.1304,0.4353,0.0331,46.6824
"Walking Pull strength",1.6162,-2.4625,1.2842,1.0851,1.2586,-2.2693,0.2082,0.0233,45.2927
"Walking Initiative",-2.8516,0.5319,1.1376,0.4446,-2.5067,1.1963,0.0122,0.2316,52.6376
"Standing Response",-2.6492,0.3543,1.1748,0.3679,-2.2551,0.9631,0.0241,0.3355,53.0863
"Sitting Response",-1.1826,-0.153,0.9352,0.318,-1.2645,-0.4811,0.206,0.6305,53.8371
"Lying Response",-1.1275,-0.1702,0.8359,0.2767,-1.3487,-0.6149,0.1774,0.5386,53.695
"Lying Settled",-1.6094,0,0.8787,0.323,-1.8316,0,0.067,1,54.0673
"Body check Table",0.1097,-0.5421,0.9588,0.2984,0.1144,-1.8168,0.9089,0.0692,50.8776
"Body check Response",-1.9269,0.1031,1.771,0.5614,-1.088,0.1836,0.2766,0.8544,54.0332
"Distractions First Response  Teddy ",-1.2715,-0.1166,0.8365,0.2688,-1.5201,-0.4337,0.1285,0.6645,53.875
"Distractions First Response  Human ",-2.2174,0.1826,1.3852,0.3972,-1.6008,0.4597,0.1094,0.6458,53.8548
"Distractions First Response  Car ",-4.4838,0.8747,1.3524,0.3704,-3.3155,2.3614,9e-04,0.0182,47.27
"Distractions First Response  Food ",-2.421,0.2022,1.1327,0.2603,-2.1374,0.7768,0.0326,0.4373,53.4384
"Distractions Second Response  Teddy ",-1.928,0.1329,0.7617,0.2755,-2.5312,0.4824,0.0114,0.6295,53.8419
"Distractions Second Response  Human ",-1.2475,-0.1316,1.1418,0.4005,-1.0925,-0.3287,0.2746,0.7424,53.9582
"Distractions Second Response  Car ",-2.6896,0.4109,0.9164,0.3063,-2.935,1.3415,0.0033,0.1798,52.307
"Distractions Second Response  Food ",-2.0907,0.142,1.0168,0.2762,-2.0563,0.5143,0.0398,0.607,53.8053
"Distractions Pull on leash",-1.7871,0.0689,1.2267,0.4537,-1.4569,0.1517,0.1452,0.8794,54.0444
"Distractions Human",-1.2048,-0.0804,2.0422,0.4017,-0.5899,-0.2002,0.5552,0.8413,54.0272
"Kong Presentation Response",-1.0697,-0.1537,1.0504,0.2883,-1.0184,-0.5332,0.3085,0.5939,53.7844
"Kong Interaction Response to stimulus",-9.4923,2.4766,3.2193,1.0041,-2.9486,2.4666,0.0032,0.0136,44.1875
"Kong Interaction Response to handler",-1.4659,-0.0881,0.7653,0.4239,-1.9155,-0.2078,0.0554,0.8354,54.0236
"Kong Interaction Back",-2.663,0.532,0.737,0.3318,-3.6132,1.6034,3e-04,0.1088,47.9476
"Kong Return Handler",-4.9483,1.4746,1.6271,0.7115,-3.0412,2.0724,0.0024,0.0382,45.8043
"Dog Response",-1.7613,0.0312,1.2705,0.25,-1.3863,0.1247,0.1657,0.9007,54.0518
"Dog Call Back Response",-2.1046,0.3476,0.7673,0.3922,-2.743,0.8862,0.0061,0.3755,51.8001
"Crate Entering",-1.5168,-0.0765,0.8983,0.6889,-1.6886,-0.1111,0.0913,0.9115,54.0547
"Crate Behaviours  Settled ",-1.2146,-0.158,0.8308,0.3102,-1.4621,-0.5091,0.1437,0.6106,53.8052
"Crate Behaviours  Sniffing Exploring  ",-3.0858,0.5747,1.136,0.3977,-2.7163,1.4451,0.0066,0.1484,51.8884
"Crate Behaviours  Actively Seeking Attention ",-0.4967,-0.7126,0.7388,0.4816,-0.6722,-1.4795,0.5014,0.139,50.861
"Crate Behaviours  Digging ",-2.468,0.7176,0.8649,0.6382,-2.8537,1.1243,0.0043,0.2609,52.917
"Crate Behaviours  Whining ",-0.5909,-0.6392,0.7672,0.508,-0.7702,-1.2583,0.4412,0.2083,50.8027
"Crate Behaviours  Barking ",14.0017,-15.5058,1729.549,1729.5489,0.0081,-0.009,0.9935,0.9928,52.1553
"Crate Self Modulation",-1.5454,-0.0375,0.8805,0.4752,-1.7552,-0.0788,0.0792,0.9372,54.0611
"Crate Behaviours  Nudging Crate ",-0.6699,-0.81,1.1757,1.0104,-0.5698,-0.8017,0.5688,0.4227,53.2315
"Crate Behaviours  Pawing ",14.9442,-16.3793,2586.0366,2586.0365,0.0058,-0.0063,0.9954,0.9949,50.9134
"Crate Stress",-1.2938,-0.1627,1.014,0.4981,-1.276,-0.3266,0.202,0.7439,53.9594
"Petting Handler Stimulus",-1.2286,-0.322,1.1794,1.0197,-1.0417,-0.3157,0.2975,0.7522,53.5898
