"","Variable","Subset","Type","Test","Result","Sign"
"1","Name","info","info",NA,NA,NA
"2","Timestamp","info","info",NA,NA,NA
"3","Dog.code","info","info",NA,NA,NA
"4","Data.Collection.Date","info","info",NA,NA,NA
"5","Data.Collection.Number","info","info",NA,NA,NA
"6","Sex","info","info",NA,NA,NA
"7","Litter","info","info",NA,NA,NA
"8","Status","info","info",NA,NA,NA
"9","Assessor","info","info",NA,NA,NA
"10","Familiarisation.Start.Time..MM.SS.","familiarisation","time",NA,NA,NA
"11","Familiarisation.Response..Oriented.to.Handler.","familiarisation","ordinal","Wilcoxon",0.892470726163586,0
"12","Familiarisation.Response..Exploration.","familiarisation","ordinal","Wilcoxon",0.972184676685773,0
"13","Familiarisation.Response..Waiting.","familiarisation","ordinal","Wilcoxon",0.499121744061286,0
"14","Call.Back.Start.Time..MM.SS.","familiarisation","time",NA,NA,NA
"15","Call.Back.Response","familiarisation","ordinal","Wilcoxon",0.080413215614428,0
"16","Walking.Start.Time..MM.SS.","walking","time",NA,NA,NA
"17","Walking.Distractibility","walking","ordinal","Wilcoxon",0.00170690635311524,1
"18","Walking.Pull.on.leash","walking","ordinal","Wilcoxon",0.0511610946547884,0
"19","Walking.Pull.strength","walking","ordinal","Wilcoxon",0.0947609964065516,0
"20","Walking.Initiative","walking","ordinal","Wilcoxon",0.141402507486613,0
"21","Standing.Start.Time..MM.SS.","standing","time",NA,NA,NA
"22","Standing.Attempts","standing","count","Wilcoxon",0.0815444637083987,0
"23","Standing.Response","standing","ordinal","Wilcoxon",0.0805022111305611,0
"24","Sitting.Start.Time..MM.SS.","sitting","time",NA,NA,NA
"25","Sitting.Attempts","sitting","count","Wilcoxon",0.013157522961528,1
"26","Sitting.Response","sitting","ordinal","Wilcoxon",0.0137162863375245,1
"27","Lying.Start.Time..MM.SS.","sitting","time",NA,NA,NA
"28","Lying.Attempts","lying","count","Wilcoxon",0.62289929352328,0
"29","Lying.Response","lying","ordinal","Wilcoxon",0.33027218453184,0
"30","Lying.Settled","lying","ordinal","Wilcoxon",0.556876920619326,0
"31","Lying.Finish.Time..MM.SS.","lying","time",NA,NA,NA
"32","Body.check.Start.Time..MM.SS.","body","time",NA,NA,NA
"33","Body.check.Response","body","ordinal","Wilcoxon",0.173197271792724,0
"34","Body.check.General..Mouths.","body","categorical","Chisq",NA,NA
"35","Body.check.General..Licks.","body","categorical","Chisq",0.926198535001739,0
"36","Body.check.Finish.Time..MM.SS.","body","time",NA,NA,NA
"37","Tea.Towel.Start.Time..MM.SS.","towel","time",NA,NA,NA
"38","Tea.Towel.First.Response..Indifferent.","towel","categorical","Chisq",0.0214405960488848,1
"39","Tea.Towel.First.Response..Turns.head.","towel","categorical","Chisq",0.452179036881218,0
"40","Tea.Towel.First.Response..Attempts.to.Removes.towel.by.moving.","towel","categorical","Chisq",0.973055126889558,0
"41","Tea.Towel.First.Response..Attempts.to.Removes.towel.with.mouth.","towel","categorical","Chisq",0.0105426467406698,1
"42","Tea.Towel.First.Response..Plays.","towel","categorical","Chisq",0.0733278188190743,0
"43","Tea.towel.Second.Response..Indifferent.","towel","categorical","Chisq",0.000252120844427834,1
"44","Tea.towel.Second.Response..Turns.head.","towel","categorical","Chisq",0.0151522262342257,1
"45","Tea.towel.Second.Response..Attempts.to.Removes.towel.by.moving.","towel","categorical","Chisq",1,0
"46","Tea.towel.Second.Response..Attempts.to.Removes.towel.with.mouth.","towel","categorical","Chisq",1.15344804746075e-06,1
"47","Tea.towel.Second.Response..Plays.","towel","categorical","Chisq",0.00454878210114107,1
"48","Tea.Towel.Finish.Time..MM.SS.","towel","time",NA,NA,NA
"49","Distractions.Start.Time..MM.SS.","distractions","time",NA,NA,NA
"50","Distractions.First.Response..Object.","distractions","ordinal","Wilcoxon",0.0997530279025187,0
"51","Distractions.First.Response..Human.","distractions","ordinal","Wilcoxon",0.874183909011725,0
"52","Distractions.First.Response..Car.","distractions","ordinal","Wilcoxon",0.297766171577324,0
"53","Distractions.First.Response..Food.","distractions","ordinal","Wilcoxon",0.397718867447237,0
"54","Distractions.Second.Response..Object.","distractions","ordinal","Wilcoxon",0.195686564310953,0
