Name,Code,Data Collection Number,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,Data Collection Date,End Date,Status,Timestamp,Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Familiarisation-Comments,Call Back-Start Time (MM:SS) ,Call Back-Response,Call Back-Comments,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Walking-Comments,Standing-Start Time (MM:SS) ,Standing-Response,Standing-Comments,Sitting-Start Time (MM:SS) ,Sitting-Response,Sitting-Comments,Lying-Start Time (MM:SS) ,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Lying-Comments,Body check-Start Time (MM:SS),Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Body Check-Comments,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Tea Towel-Comments,Distractions-Start Time (MM:SS),Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Distractions-Finish Time (MM:SS) ,Distractions-Comments,Kong-Presentation-Start Time (MM:SS) ,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Interaction-Finish Time (MM:SS),Kong-Return-Handler,Kong-Comments,Dog-Start Time (MM:SS),Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Dog-Comments,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Crate-Finish Time (MM:SS),Crate-Comments,Petting-Start Time (MM:SS),Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Finish Time (MM:SS),Petting-Responsiveness-After,Petting-Comments,Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Isolation-Comments,Reunion-Response,Reunion-Comments,Noise-Time (MM:SS),Noise-Confidence,Noise-Comments,Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns
Diva,04-01-LD,1,Allyce,LRx,F,D,IGDB,Catherine,11/02/2018,24/04/2019,25/05/2019,13/12/2019,GD,15/04/2020 09:56:11,,2.0,4.0,1.0,,,1.0,,,2,2,2,1,,,3,,,2.0,Started well but got bored quickly and wanted to move off. Second attempt she lay down immediately where we left her for the duration as it was time for her to do the next section. Officially 3 attempts though as she wasn't asked to lay down. ,,4,3.0,,Wasnt asked to lie down so didnt respond to command but stayed in the down position when asked to stay and didnt break it. ,,4.0,4,No,No,,"Although her tail was slightly lowered, she was otherwise fine and didn't stir. She jumped up as soon as she clicked that I was asking it of her and she stood still. She wagged her tail at the end so I feel she was happy with me checking her. ",,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,"Second response - tried to drop fore-body posture to remove tea-towel (as this was successful in the first response). She didnt realise that it had fallen off and then tried to remove it with her mouth, albeit that it had already fallen off - then realised that it was off and returned to normal state. ",,6,3,4,5,5,3.0,3.0,3.0,2,,2,,"I have marked Diva as indifferent because this would probably be the closest option available to her response. Though Diva wasnt completely indifferent - she didnt show any apprehension or fear, nor did she even approach let alone show high activity. She merely noticed, wagged her tail and moved on without pause. ",,4,"Diva was well behaved during this exercise with only one hind-quarter shuffle. But from her fixation on the kong, and un-diverted attention (apart from one gaze away) she was clearly very interested in it. ",,None,3.0,1,1.0,,,When she retrieved the kong she merely pushed it around with her nose. ,,5,1.0,,"While Diva showed interest on initially seeing the dog, she quickly lost interest and decided to rather investigate her surroundings thereafter. ",,4.0,1.0,3.0,4.0,1.0,,,4.0,3.0,5.0,,No,,Diva spent most of the time showing stress toward the crate - she began whining almost immediately (and I am sure that this would be her whines rather than the other dog as per the timing of it) and constantly pacing and even barking at times. She lay down at the very end when she gave up sniffing but she was definitely not settled. ,,1.0,2.0,3.0,,2.0,,,3,2,2,3,1,No,,,4.0,"I would say she was quite activated and enthused by my reunion even if she didn't stay by my side. Her demeanor changed from distress to happiness and a wagging tail. However, she did tend to pace a little and then come back again. ",,4.0,,,,,,,,,,,
Diva,04-01-LD,1,Susan Turtle,LRx,F,D,IGDB,Catherine,11/02/2018,24/04/2019,20/05/2019,13/12/2019,GD,15/04/2020 20:06:25,1:1,2.0,4.0,1.0,Seemed relaxed and very interested in the crate by scenting,1:56,1.0,,2:04,1,2,1,2,Handler walks in first circle and turns around and walks back in a circle ,3:11,3,,3:58,3.0,when she went into the down the handler left her as advised by Marinara,4:42,4,3.0,5:23,,5:36,2.0,3,No,No,6:1,,6:31,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,6:52,Dog plays with dot during first response and dog goes to roll on second response,7:37,5,3,4,5,4,3.0,3.0,3.0,3,,4,6:28,,8:48,2,"settled. reminded once to sit, looked away twice",9:16,None,3.0,2,1.0,9:28,,Dog only moves slightly away from handler as licking the kong and it's moving. Follow handler after they remove the kong,9:52,5,,10:15,looses interest in dog and explores the environment and comes back towards the handler,11:01,4.0,1.0,2.0,4.0,2.0,,,4.0,4.0,6.0,,No,11:5,,11:56,1.0,1.0,2.0,12:24,2.0,"dog comes to the handler for petting, moves away scenting, comes back for petting and moves away again.",12:31,3,3,3,3,1,No,13:44,,2.0,,14:2,4.0,,,,,,,,,,,
Diva,04-01-LD,1,Susan Turtle,LRx,F,D,IGDB,Catherine,11/02/2018,24/04/2019,20/05/2019,13/12/2019,GD,26/04/2020 11:09:42,,2.0,4.0,1.0,,,1.0,,,2,1,1,2,,,3,,,2.0,,,4,3.0,,dog went down herself ,,3.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,5,3,4,5,5,3.0,4.0,4.0,3,3.0,4,,,,2,sits calmly,,None,3.0,1,1.0,,2.0,,,5,0.0,,dog follows handler when they move towards the crate,,3.0,1.0,3.0,5.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,No,,,,1.0,1.0,3.0,,2.0,"dog initially walks away from handler when first left out, and then interacts with handler",,4,2,2,2,1,No,,,3.0,"calmly interacts with handler, moves away to look at everyone else and comes back again",,4.0,,,,,,,,,,,
Earl,04-02-LE,1,Allyce,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,20/05/2019,29/11/2019,AD,15/04/2020 11:38:49,,4.0,1.0,4.0,Wouldn't leave the side of the handler,,1.0,"Didn't leave so calling back wasn't really necessary. However, tail began wagging and was a lot happier to be back on lead rather than let off on his own - demeanor improved",,2,1,1,3,"Dog very obsessed with handler, when he comes over his initial sniffing and excitement at the environment, he locks attention is drawn to handler support. Even at one time trying to mouth at handlers hand and get attention and play. I would say this is probably a coping mechanism at being unsure over his environment",,3,"Standing Response:
First response he stepped off the platform - handler corrected the position. Thereafter a good and uninterrupted response. ",,4.0,Did sitting response first - when handler brought him onto the platform he immediately assume seated position so the assessors allowed him to first show this response. The sit was not asked so the response was not necessarily as was requested but Earl did keep his position and not move for the duration of the sit,,3,4.0,,Handler did struggle to get the dog into the down position but once in the position the response was excellent. I have scored good as per the difficulty in trying to get the dog into the position initially. The response thereafter was excellent. ,,1.0,3,No,No,,"Early refused to get onto the table, not even wanted to put his fore-paws up and even after food lure and after handler climbs onto table herself in order to encourage.

Immediate change in posture - tail and ears lowered, back posture heightened and turned head toward handler and away from assessor holding him ",,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,,He seemed indifferent but from his body language he was more shutting down with the tea towel rather than being indifferent and hence I have stated indifferent and also change from neutral. Tail stopped wagging and becomes quite inhibited,,1,2,4,1,3,2.0,2.0,3.0,1,,2,,,,2,"Kept seated, didnt shuffle, looks away for a time, and though he seems fixated I think he is more waiting on handler to make next move rather than having and very high interest over the kong",,Left,3.0,1,1.0,,,Difficult to denote lateralisation with surety. However from the left tilt as he lay down and his head facing toward his left I would say he favoured his left paw ,,0,0.0,,A cautious reaction to the dog rather than that of perhaps concern. He doesnt leave the handlers side but I wouldnt say this is due to disinterest. He kept his eyes fixed on the dog passing by and looked over to handler twice for reassurance. ,,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,2.0,,Yes,,Handler mentions that urination is from stress although from the sniffing around the blanket I wouldn't want to rule out that this was perhaps not stress related,,2.0,1.0,3.0,,1.0,,,3,3,3,1,1,No,,Spent half the time at the gate and the other half exploring and sniffing,4.0,Considering Earls quite withdrawn natural demeanour I would call his response activated for him personally even though not necessarily for another dog. I also considered that when they went walking he was so excited to have her back that he made a small vocal wince at being back with her and even mouthed at her hand. ,,3.0,,,,,,,,,,,
Earl,04-02-LE,1,Susan Turtle,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,20/05/2019,29/11/2019,AD,15/04/2020 14:39:14,1:24,4.0,2.0,4.0,Dog went in had a sniff and a shake then never moved from beside handler,,,Dog didn't move from beside handler,1:4,1,2,1,2,Dg stressed during walking can here him panting and will look to hold the lead,3:33,3,Only put 2 down as first time he stood with front feet off the platform and handler reproached the platform again.,2:48,4.0,Panting constantly during sitting,4:16,3,2.0,5:16,"Stayed down, continue to pant.",5:57,,3,,,6:45,Dog not fully relaxed during check,6:55,No,Yes,Yes,Yes,Yes,,No,No,Yes,No,No,No,7:18,Dog was panting and standing in front of the handler.,7:46,1,3,4,1,4,3.0,3.0,4.0,3,,3,8:22,"answered 3 as he was friendly, tail wagging but did not interact with human",8:44,4,stayed sitting,9:07,,3.0,1,1.0,9:2,,followed handler while handler put kong out of sight,9:51,3,0.0,10:15,,10:3,1.0,,4.0,1.0,1.0,,,1.0,1.0,2.0,,Yes,12:08,"urinated in crate after scenting, unsure if it is stress, or if he needed to go as he hadn't gone to prior to test or health",12:1,1.0,1.0,3.0,12:46,1.0,enjoyed the interaction calmly initially but then lost interest,12:52,2,3,2,1,1,,14:22,,3.0,calm and pleasant approach to see handler,15:03,4.0,initially midly reacts to noise but investigates when approaches the bucket,,,,,,,,,,
Earl,04-02-LE,1,Allyce,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,20/05/2019,29/11/2019,AD,21/04/2020 15:46:55,,5.0,1.0,1.0,,,1.0,,,2,1,1,2,,,3,,,4.0,Sat without being asked and assessors decided to do the sit first. ,,3,4.0,,,,1.0,3,No,No,,,,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,,Subtle change in neutrality on second attempt - tail stops wagging and body stiffens slightly,,1,2,4,1,3,2.0,2.0,3.0,2,2.0,4,,,,2,"Calm approach, happy with tail wagging, no jumping up or exhibition of inappropriate behaviour",,Left,3.0,1,1.0,,2.0,,,0,0.0,,Difficult to ascertain whether Earl is interested or cautious without him moving so as to properly read his body language 100% accurately but his tail doesnt appear to moving and he keeps looking toward Ciara in an uncertain way. ,,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,Yes,,,,2.0,1.0,3.0,,3.0,,,3,3,1,1,1,No,,,3.0,,,4.0,,,,,,,,,,,
Earl,04-02-LE,1,Susan Turtle,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,20/05/2019,29/11/2019,AD,21/04/2020 16:11:33,,5.0,1.0,1.0,,,,dog didn't move from beside the handler,,1,2,1,3,dog shows signs of stress by panting and occasionally biting the lead,,3,,,4.0,,,2,2.0,,panting during this time,,,3,No,No,,,,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,,,,1,3,4,1,4,3.0,3.0,4.0,3,2.0,4,,,,2,"dog sat and waited, looked away once",,Left,3.0,1,1.0,,2.0,,,3,0.0,,,,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,Yes,,"may not have gone prior to test, may have a health problem",,1.0,1.0,3.0,,3.0,,,2,3,1,1,1,No,,"stayed at the gate initially, strolled around sniffing and went back to the gate",3.0,,,4.0,,,,,,,,,,,
Earl,04-02-LE,2,Allyce,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,03/07/2019,29/11/2019,AD,15/04/2020 13:22:55,,4.0,3.0,3.0,Early does begin to sniff and explore a little midway through this process however he still doesn't veer far off from the handler,,2.0,,,2,1,1,2,"Definitely more confidence and comfort shown as he is a little more attuned to his environment. However, he is still very fixated on his handler and even tries to mouth her hand a few times for attention. ",,4,,,2.0,"When he finally sat he maintained his position, but it took a number of attempts to get him into that seated position to begin with. ",,1,4.0,,"It took several attempts to get him to go into a down position. He initially moved from seated to standing rather than down, and then moved off the platform. The handler eventually attempts it off the platform and needs a few more goes. When Earl does adopt the down position he maintains it but I wonder if he would if handler were to stand up rather than remain crouched. He did seem settled though in his posture with hand quarters tilted to the side",,3.0,3,No,No,,3 attempts with food lure to get onto the table but jumped up otherwise unassisted. Assumed seated position for the first half of the body check but stood when asked for the second half. Seemed quite head shy and wasnt too fond of having his muzzle eyes and ears checked but seemed fine with the other checks. ,,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,,While I have remarked indifferent this is only because he makes no movements or attempts to get the towel off. His demeanor however subtle though is not neutral as his activity gets inhibited - ie his tail stops wagging. ,,1,2,3,3,3,2.0,3.0,3.0,1,,2,,,,2,More interested I would say this time than last. Did break the sit once but otherwise quite behaved and turned head away twice,,Left,3.0,1,2.0,,,After Marinara had confirmed this time that Earl was using his left paw I feel confident that me seeing him using his left paw in the first video is confirmed. ,,1,0.0,,,,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,2.0,,No,,No urinating but doesnt seem to be a blanket in the crate this time,,1.0,1.0,3.0,,1.0,,,4,1,1,1,1,No,,,4.0,Definitely happier to be with handler. ,,4.0,Slight look over as source but didnt react much at all or really investigate too much. Would have chosen a  more indifferent reaction to this if it were more available. ,,,,,,,,,,
Earl,04-02-LE,2,Susan Turtle,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,03/07/2019,29/11/2019,AD,15/04/2020 20:58:36,0:17,4.0,2.0,4.0,Dog stayed with the handler and moved around the handler towards the end,1:22,2.0,came back calmly,1:28,1,2,1,2,occasionally tries to bite the lead,2:47,4,can hear him panting,4:1,2.0,"took a while to respond to the sit, but once he did he didn't move",5:34,2,3.0,6:29,"dog did it off platform, handler stayed crouched down beside the dog but not giving it attention",6:45,2.0,3,,,7:2,dog not keen on looking in his mouth and moved head away.,7:42,,Yes,No,No,No,No,,No,Yes,No,No,No,8:17,,8:48,1,2,3,3,3,2.0,3.0,3.0,3,,3,9:24,,9:47,2,"moved once, looked away once",10:42,Left,3.0,1,2.0,11:21,,followed handler ,11:42,2,0.0,12:21,"sniff ground around handler, but goes back to standing beside the handler",12:35,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,3.0,,No,13:48,,13:52,1.0,1.0,3.0,14:13,2.0,dog was calm but moved away sniffing the ground,14:24,4,1,1,1,1,No,16:02,possibly one small whine,3.0,,16:37,3.0,,,,,,,,,,,
Earl,04-02-LE,2,Allyce,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,03/07/2019,29/11/2019,AD,21/04/2020 16:21:07,,5.0,3.0,3.0,,,1.0,,,2,1,1,2,,,4,,,2.0,,,1,3.0,,,,2.0,3,No,No,,,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,,Once again - very subtle changes in neutrality,,1,2,3,3,3,2.0,2.0,3.0,2,2.0,4,,,,4,"Excited when first saw kong with handler, lifted hind quarters to sniff the kong during the concentration phase, and very locked stares",,Left,3.0,1,2.0,,2.0,,,2,0.0,,,,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,4,1,1,1,1,No,,,3.0,,,3.0,,,,,,,,,,,
